"","cluster","gene"
"1","Astrocyte","RNF219-AS1"
"2","Astrocyte","ADGRV1"
"3","Astrocyte","RANBP3L"
"4","Astrocyte","LINC00499"
"5","Astrocyte","FGFR3"
"6","Astrocyte","PAMR1"
"7","Astrocyte","ACSS1"
"8","Astrocyte","SLCO1C1"
"9","Astrocyte","COL5A3"
"10","Astrocyte","AQP4"
"11","Astrocyte","GPC5"
"12","Astrocyte","SLC25A18"
"13","Astrocyte","PRODH"
"14","Astrocyte","GRAMD3"
"15","Astrocyte","ETNPPL"
"16","Astrocyte","ACSBG1"
"17","Astrocyte","PRDM16"
"18","Astrocyte","PAPLN"
"19","Astrocyte","BMPR1B"
"20","Astrocyte","LOC105376917"
"21","Astrocyte","STON2"
"22","Astrocyte","F3"
"23","Astrocyte","SPON1"
"24","Astrocyte","MRVI1"
"25","Astrocyte","ARHGEF26"
"26","Astrocyte","HIF3A"
"27","Astrocyte","GLI3"
"28","Astrocyte","GJA1"
"29","Astrocyte","SHROOM3"
"30","Astrocyte","ARHGEF26-AS1"
"31","Astrocyte","CACHD1"
"32","Astrocyte","RGS20"
"33","Astrocyte","OAF"
"34","Astrocyte","FAM189A2"
"35","Astrocyte","LOC101927437"
"36","Astrocyte","GRAMD1C"
"37","Astrocyte","LOC101930275"
"38","Astrocyte","FAM107A"
"39","Astrocyte","MGST1"
"40","Astrocyte","SLC39A12"
"41","Astrocyte","LOC105378763"
"42","Astrocyte","ITPKB"
"43","Astrocyte","PDGFRB"
"44","Astrocyte","ACSS3"
"45","Astrocyte","EZR"
"46","Astrocyte","LOC101929608"
"47","Astrocyte","EYA2"
"48","Astrocyte","GRIN2C"
"49","Astrocyte","RAPGEF3"
"50","Astrocyte","HPSE2"
"51","Astrocyte","EMX2OS"
"52","Astrocyte","APOE"
"53","Astrocyte","ID4"
"54","Astrocyte","FXYD1"
"55","Astrocyte","CDC14A"
"56","Astrocyte","RFX2"
"57","Astrocyte","GNA14"
"58","Astrocyte","EFEMP1"
"59","Astrocyte","PLXNB1"
"60","Astrocyte","ITGA7"
"61","Astrocyte","AGT"
"62","Astrocyte","EMX2"
"63","Astrocyte","CLDN10"
"64","Astrocyte","KCNJ10"
"65","Astrocyte","ACACB"
"66","Astrocyte","IL17RB"
"67","Astrocyte","TLR4"
"68","Astrocyte","AIFM3"
"69","Astrocyte","ALDH1L1"
"70","Astrocyte","MROH7-TTC4"
"71","Astrocyte","ACOT11"
"72","Astrocyte","LOC105376244"
"73","Astrocyte","PAX6"
"74","Astrocyte","HEPACAM"
"75","Astrocyte","LOC105376387"
"76","Astrocyte","HES1"
"77","Astrocyte","LOC101926964"
"78","Astrocyte","YAP1"
"79","Astrocyte","LOC102724687"
"80","Astrocyte","LAMA1"
"81","Astrocyte","EYA1"
"82","Astrocyte","MFGE8"
"83","Astrocyte","ITGA6"
"84","Astrocyte","SPATC1"
"85","Astrocyte","NWD1"
"86","Astrocyte","NBPF26"
"87","Astrocyte","TP53BP2"
"88","Astrocyte","HEPH"
"89","Astrocyte","ADD3-AS1"
"90","Astrocyte","LOC100996763"
"91","Astrocyte","NBPF14"
"92","Astrocyte","LOC101929796"
"93","Astrocyte","KREMEN1"
"94","Astrocyte","NBPF10"
"95","Astrocyte","FBLN1"
"96","Endothelial","ITIH5"
"97","Endothelial","NOSTRIN"
"98","Endothelial","COBLL1"
"99","Endothelial","EBF1"
"100","Endothelial","ADGRF5"
"101","Endothelial","XAF1"
"102","Endothelial","EMCN"
"103","Endothelial","ANO2"
"104","Endothelial","EPAS1"
"105","Endothelial","TNS1"
"106","Endothelial","UACA"
"107","Endothelial","ABCB1"
"108","Endothelial","STOM"
"109","Endothelial","FLT1"
"110","Endothelial","IFI44"
"111","Endothelial","THSD4"
"112","Endothelial","LOC102467224"
"113","Endothelial","LEF1"
"114","Endothelial","CGNL1"
"115","Endothelial","ATP10A"
"116","Endothelial","MAOA"
"117","Endothelial","EMP2"
"118","Endothelial","HLA-E"
"119","Endothelial","LOC105377862"
"120","Endothelial","ANXA3"
"121","Endothelial","PECAM1"
"122","Endothelial","COL1A2"
"123","Endothelial","SAMD9L"
"124","Endothelial","CLDN5"
"125","Endothelial","EGFL7"
"126","Endothelial","SORBS3"
"127","Endothelial","ANXA1"
"128","Endothelial","SHROOM1"
"129","Endothelial","COLEC12"
"130","Endothelial","LMO2"
"131","Endothelial","SPARC"
"132","Endothelial","ITM2A"
"133","Endothelial","GIMAP7"
"134","Endothelial","SYNE2"
"135","Endothelial","MECOM"
"136","Endothelial","SLC7A5"
"137","Endothelial","ENG"
"138","Endothelial","ABCG2"
"139","Endothelial","GGT5"
"140","Endothelial","SLC2A1"
"141","Endothelial","IFITM3"
"142","Endothelial","PALMD"
"143","Endothelial","NKD1"
"144","Endothelial","BGN"
"145","Endothelial","APOLD1"
"146","Endothelial","ERG"
"147","Endothelial","DCN"
"148","Endothelial","KIAA1462"
"149","Endothelial","ID3"
"150","Endothelial","TGM2"
"151","Endothelial","TAGLN2"
"152","Endothelial","MDFIC"
"153","Endothelial","CD58"
"154","Endothelial","CXorf36"
"155","Endothelial","ARL4A"
"156","Endothelial","IFITM2"
"157","Endothelial","S100A10"
"158","Endothelial","CLEC3B"
"159","Endothelial","TXNIP"
"160","Endothelial","IFI27"
"161","Endothelial","TIMP3"
"162","Endothelial","KLF6"
"163","Endothelial","LINC01088"
"164","Endothelial","FLVCR2"
"165","Endothelial","IFITM1"
"166","Endothelial","TMEM204"
"167","Endothelial","VIM"
"168","Endothelial","PDGFB"
"169","Endothelial","TBX18"
"170","Endothelial","ITGA1"
"171","Endothelial","AHNAK"
"172","Endothelial","NLRX1"
"173","Endothelial","PARP9"
"174","Endothelial","ADGRL4"
"175","Endothelial","ATHL1"
"176","Endothelial","TRIOBP"
"177","Endothelial","SLC38A5"
"178","Endothelial","TM4SF1"
"179","Endothelial","MFSD2A"
"180","Endothelial","ZC3HAV1"
"181","Endothelial","GNG11"
"182","Endothelial","WWTR1"
"183","Endothelial","SLC38A3"
"184","Endothelial","RBM20"
"185","Endothelial","PODXL"
"186","Endothelial","SRPX2"
"187","Endothelial","ESAM"
"188","Endothelial","YBX3"
"189","Endothelial","CD34"
"190","Endothelial","HERC2P3"
"191","Endothelial","NOTCH4"
"192","Endothelial","GPR85"
"193","Endothelial","SYNGR2"
"194","Endothelial","MBD6"
"195","Endothelial","AIF1L"
"196","Endothelial","BHMT2"
"197","Endothelial","COL15A1"
"198","Endothelial","LOC105375227"
"199","Endothelial","PGR"
"200","Endothelial","ARHGEF15"
"201","Endothelial","NET1"
"202","Endothelial","CMAHP"
"203","Endothelial","CERS2"
"204","Endothelial","PRELP"
"205","Endothelial","DAB2"
"206","Endothelial","LOC440982"
"207","Endothelial","VWF"
"208","Endothelial","LINC00472"
"209","Endothelial","PDK4"
"210","Endothelial","COL6A3"
"211","Endothelial","SLC19A3"
"212","Endothelial","CASS4"
"213","Endothelial","SHE"
"214","Endothelial","C1orf54"
"215","Endothelial","ITIH2"
"216","Endothelial","SLC5A6"
"217","Endothelial","LAMC3"
"218","Endothelial","LSR"
"219","Endothelial","EHD2"
"220","Endothelial","DUSP1"
"221","Endothelial","ADAMTS12"
"222","Endothelial","LOC105377623"
"223","Endothelial","CLIC5"
"224","Endothelial","SLC7A5P2"
"225","Endothelial","FIRRE"
"226","Endothelial","SLC16A4"
"227","Endothelial","SYPL1"
"228","Endothelial","LOC100996643"
"229","Endothelial","CBLL1"
"230","Endothelial","NR1H3"
"231","Endothelial","SAV1"
"232","LAMP5.PAX6.Other","LAMP5"
"233","LAMP5.PAX6.Other","SV2C"
"234","LAMP5.PAX6.Other","TRPC3"
"235","LAMP5.PAX6.Other","EYA4"
"236","LAMP5.PAX6.Other","BMP6"
"237","Microglia","APBB1IP"
"238","Microglia","CX3CR1"
"239","Microglia","ADAM28"
"240","Microglia","CD74"
"241","Microglia","LPAR6"
"242","Microglia","DOCK8"
"243","Microglia","P2RY12"
"244","Microglia","FYB"
"245","Microglia","SYK"
"246","Microglia","CSF1R"
"247","Microglia","TBXAS1"
"248","Microglia","C3"
"249","Microglia","BLNK"
"250","Microglia","INPP5D"
"251","Microglia","LOC101929497"
"252","Microglia","SLCO2B1"
"253","Microglia","LPCAT2"
"254","Microglia","ATP8B4"
"255","Microglia","AOAH"
"256","Microglia","RUNX1"
"257","Microglia","RASGEF1C"
"258","Microglia","LOC105377684"
"259","Microglia","IKZF1"
"260","Microglia","PTPRC"
"261","Microglia","ARHGAP15"
"262","Microglia","ITGAX"
"263","Microglia","CSF3R"
"264","Microglia","ABCC4"
"265","Microglia","CPED1"
"266","Microglia","LOC105378305"
"267","Microglia","ZFP36L2"
"268","Microglia","RCSD1"
"269","Microglia","PIK3R5"
"270","Microglia","LOC401134"
"271","Microglia","HLA-DRA"
"272","Microglia","LINC01141"
"273","Microglia","ZFP36L1"
"274","Microglia","RHBDF2"
"275","Microglia","FGD2"
"276","Microglia","PALD1"
"277","Microglia","DOCK2"
"278","Microglia","BHLHE41"
"279","Microglia","LAPTM5"
"280","Microglia","MS4A7"
"281","Microglia","OLR1"
"282","Microglia","SAMSN1"
"283","Microglia","HCK"
"284","Microglia","HLA-DRB1"
"285","Microglia","LINC01268"
"286","Microglia","CYBB"
"287","Microglia","ALOX5"
"288","Microglia","CD53"
"289","Microglia","ADAP2"
"290","Microglia","LYN"
"291","Microglia","IFI16"
"292","Microglia","MIS18BP1"
"293","Microglia","CD86"
"294","Microglia","BNC2"
"295","Microglia","IRAK3"
"296","Microglia","SELPLG"
"297","Microglia","LRMP"
"298","Microglia","CYBA"
"299","Microglia","LOC105377918"
"300","Microglia","PCED1B"
"301","Microglia","RGS10"
"302","Microglia","ARHGAP25"
"303","Microglia","IL18"
"304","Microglia","TYROBP"
"305","Microglia","TMEM156"
"306","Microglia","LY86"
"307","Microglia","HAVCR2"
"308","Microglia","MYO1F"
"309","Microglia","SLC2A5"
"310","Microglia","MILR1"
"311","Microglia","CD4"
"312","Microglia","PIK3AP1"
"313","Microglia","PLCG2"
"314","Microglia","LTC4S"
"315","Microglia","C1QC"
"316","Microglia","IL17RA"
"317","Microglia","ADAMTSL2"
"318","Microglia","TFEC"
"319","Microglia","RBM47"
"320","Oligo","PLP1"
"321","Oligo","ST18"
"322","Oligo","MOBP"
"323","Oligo","CERCAM"
"324","Oligo","MOG"
"325","Oligo","ENPP2"
"326","Oligo","SCD"
"327","Oligo","LOC101927459"
"328","Oligo","CARNS1"
"329","Oligo","CNDP1"
"330","Oligo","UGT8"
"331","Oligo","RNASE1"
"332","Oligo","CLMN"
"333","Oligo","OPALIN"
"334","Oligo","LOC101929249"
"335","Oligo","CNTN2"
"336","Oligo","TMEM63A"
"337","Oligo","MYRF"
"338","Oligo","ABCA8"
"339","Oligo","CRYAB"
"340","Oligo","COL4A5"
"341","Oligo","FA2H"
"342","Oligo","CLDN11"
"343","Oligo","MAG"
"344","Oligo","PLD1"
"345","Oligo","LPAR1"
"346","Oligo","CDK18"
"347","Oligo","LOC101927967"
"348","Oligo","ANLN"
"349","Oligo","MAL"
"350","Oligo","CAPN3"
"351","Oligo","CA2"
"352","Oligo","TTYH2"
"353","Oligo","PPP1R14A"
"354","Oligo","LDB3"
"355","Oligo","SLC5A11"
"356","Oligo","FOLH1"
"357","Oligo","ERMN"
"358","Oligo","GPR37"
"359","Oligo","CD22"
"360","Oligo","LINC00609"
"361","Oligo","CTNNA3"
"362","Oligo","GLDN"
"363","Oligo","FAM107B"
"364","Oligo","SH3TC2"
"365","Oligo","NDRG1"
"366","Oligo","KIAA1755"
"367","Oligo","HAPLN2"
"368","Oligo","PMP22"
"369","Oligo","SLC31A2"
"370","Oligo","LINC00844"
"371","Oligo","CD9"
"372","Oligo","TMEM98"
"373","Oligo","LINC00639"
"374","Oligo","PLEKHB1"
"375","Oligo","CDH19"
"376","Oligo","ERBB3"
"377","Oligo","LOC100507336"
"378","Oligo","DBNDD2"
"379","Oligo","PRR5L"
"380","Oligo","LINC00320"
"381","Oligo","FAM124A"
"382","Oligo","RGCC"
"383","Oligo","TMEM235"
"384","Oligo","EVI2A"
"385","Oligo","LRP2"
"386","Oligo","PLA2G16"
"387","Oligo","CPM"
"388","Oligo","DFNB31"
"389","OPC","VCAN"
"390","OPC","PDGFRA"
"391","OPC","COL9A1"
"392","OPC","OLIG1"
"393","OPC","SMOC1"
"394","OPC","GPNMB"
"395","OPC","PRRX1"
"396","OPC","STK32A"
"397","OPC","PLEKHH2"
"398","OPC","COL20A1"
"399","OPC","LOC100506457"
"400","OPC","LOC105379054"
"401","OPC","SULF2"
"402","OPC","CALCRL"
"403","OPC","PPAPDC1A"
"404","OPC","LOC102725045"
"405","OPC","OLIG2"
"406","OPC","MYT1"
"407","OPC","BCHE"
"408","OPC","NTN1"
"409","OPC","TNR"
"410","PVALB","TAC1"
"411","PVALB","LOC101929680"
"412","PVALB","MYO5B"
"413","PVALB","SULF1"
"414","PVALB","KCNAB3"
"415","PVALB","SLC26A4"
"416","PVALB","C8orf4"
"417","PVALB","FBLN7"
"418","PVALB","GABRD"
"419","PVALB","PVALB"
"420","PVALB","FLRT3"
"421","PVALB","SNCG"
"422","PVALB","INPP5J"
"423","PVALB","FAM19A4"
"424","PVALB","LOC100289279"
"425","PVALB","LOC105379106"
"426","PVALB","LOC105374529"
"427","PVALB","NEFH"
"428","PVALB","LOC105374278"
"429","Pyramidal","SV2B"
"430","Pyramidal","SATB2"
"431","Pyramidal","MLIP"
"432","Pyramidal","SLC17A7"
"433","Pyramidal","ENC1"
"434","Pyramidal","LY86-AS1"
"435","Pyramidal","KIAA1211L"
"436","Pyramidal","KCNIP4-IT1"
"437","Pyramidal","LOC105376407"
"438","Pyramidal","NPTX1"
"439","Pyramidal","NWD2"
"440","Pyramidal","LOC105373893"
"441","Pyramidal","ANO3"
"442","Pyramidal","NGEF"
"443","Pyramidal","TESPA1"
"444","Pyramidal","SLC22A25"
"445","Pyramidal","DLGAP1-AS4"
"446","Pyramidal","LOC102724109"
"447","Pyramidal","LINCR-0002"
"448","Pyramidal","SLC6A7"
"449","Pyramidal","LOC284930"
"450","Pyramidal","PTK2B"
"451","Pyramidal","PART1"
"452","Pyramidal","ZBBX"
"453","Pyramidal","LOC105378334"
"454","Pyramidal","MCHR2"
