X1,gene,entrez_id,ensembl_id,class,pct.1,pct.2,avg_log2FC,roc_avg_diff,roc_myAUC,roc_power,MAST_p_val,MAST_p_val_adj,avg_expr,top_log2FC,bretigea_ranking,dan_ranking,bretigea_ranking_best
2216,LOC105375415,105375415,NA,GABAergic,0.685,0.023,7.60144045565438,5.26891702003114,0.839,0.678,0,0,3.383708407344608,7.604120189297768,4,1,1
835,DLX6.AS1,285987,ENSG00000231764,GABAergic,0.816,0.041,7.4645052387348,5.17400076050397,0.903,0.806,0,0,3.8408098780718656,6.234798970728025,3,3,2
831,DLX1,1745,ENSG00000144355,GABAergic,0.549,0.008,5.65554611517287,3.92012584425882,0.772,0.544,0,0,2.2005086615240304,6.9068767039112835,13,4,3
1397,IGF1,3479,ENSG00000017427,GABAergic,0.644,0.05,4.9391251662535,3.42354068342129,0.808,0.616,0,0,2.923243478683584,3.9409259375448853,10,15,4
1155,GAD1,2571,ENSG00000128683,GABAergic,0.984,0.168,6.2197838001767,4.3112256047849,0.985,0.97,0,0,6.220965512020999,3.036769863783218,2,18,5
1156,GAD2,2572,ENSG00000136750,GABAergic,0.896,0.171,7.47728736666442,5.18286065643995,0.936,0.872,0,0,4.8431885344141925,4.669361477216382,1,6,6
3713,SST,6750,ENSG00000157005,GABAergic,0.357,0.052,7.11592087486882,4.93238049150298,0.66,0.32,0,0,2.0274149370969505,4.516481766585583,16,9,7
3793,TAC1,6863,ENSG00000006128,GABAergic,0.316,0.036,6.36587042943953,4.41248513997594,0.645,0.29,0,0,1.7843988722540987,4.697849946459432,23,7,8
254,ARX,170302,ENSG00000004848,GABAergic,0.529,0.013,4.54546673348406,3.1506774506435,0.759,0.518,0,0,1.9266583529080221,3.620584458760004,27,23.5,9
1633,LHX6,26468,ENSG00000106852,GABAergic,0.414,0.034,5.1943897410837,3.60047660376167,0.696,0.392,0,0,1.6951962562043683,5.3877923842716715,26,8,10
4074,VIP,7432,ENSG00000146469,GABAergic,0.248,0.039,8.38293141524522,5.81060527530461,0.608,0.216,0,0,1.5322802884647821,5.413478654264516,28,2,11
1267,GRIP2,80852,ENSG00000144596,GABAergic,0.864,0.167,5.09783606972147,3.53355069868423,0.907,0.814,0,0,3.8506120480564032,3.700032338562452,5.5,15,12
3066,PNOC,5368,ENSG00000168081,GABAergic,0.453,0.078,5.54547887200925,3.84383304498796,0.703,0.406,0,0,1.9042031354695943,4.61945610951306,21,11,13
3555,SLC32A1,140679,ENSG00000101438,GABAergic,0.446,0.006,4.28610733585105,2.97090321542246,0.721,0.442,0,0,1.476136738146216,7.184125564712181,38,12,14
746,CXCL14,9547,ENSG00000145824,GABAergic,0.504,0.128,7.66859633998357,5.31546593191193,0.716,0.432,0,0,3.338976036490429,2.143219895548091,11,38,15
3327,RND3,390,ENSG00000115963,GABAergic,0.422,0.036,4.27375090495203,2.96233839018302,0.697,0.394,0,0,1.7512331103555001,4.189724616570254,32,23.5,16
1562,KIT,3815,ENSG00000157404,GABAergic,0.418,0.104,5.9884538075817,4.15087987263873,0.674,0.348,0,0,2.215878099146174,2.9931881333175996,20,21,17
430,C8orf4,56892,ENSG00000176907,GABAergic,0.321,0.025,4.60813262068674,3.19411413367532,0.65,0.3,0,0,1.5627745242662832,4.3113444705442765,36.5,17,18
3794,TAC3,6866,ENSG00000166863,GABAergic,0.208,0.027,7.18120028250178,4.97762872885239,0.593,0.186,0,0,1.2390024136353663,4.976896942260336,43,5,19
1287,HAPLN1,1404,ENSG00000145681,GABAergic,0.409,0.084,4.93845860787937,3.42307866036357,0.676,0.352,0,0,1.7824871391358585,2.9132450906122913,33,27.5,20
2793,NR2F2,7026,ENSG00000185551,GABAergic,0.329,0.034,4.37839023681209,3.03486884803749,0.651,0.302,0,0,1.345779562349668,4.138793129583444,50.5,22,21
2496,MAFB,9935,ENSG00000204103,GABAergic,0.342,0.02,4.09769546217481,2.84030605639975,0.663,0.326,0,0,1.2823398998155278,4.615765312329647,56.5,25,22
712,CRH,1392,ENSG00000147571,GABAergic,0.307,0.05,4.01234846830792,2.78114802823165,0.632,0.264,0,0,1.5376177970261564,2.975285539825213,53,43.5,23
2101,LOC105372768,105372768,NA,GABAergic,0.373,0.024,3.8884711630063,2.69528282332647,0.677,0.354,0,0,1.3319135764131809,3.6300538888426535,63,37,24
453,CALB2,794,ENSG00000172137,GABAergic,0.239,0.023,5.12460530302139,3.55210571727182,0.61,0.22,0,0,1.0881541410102644,4.739313785776026,65,10,25
3509,SLC10A4,201780,ENSG00000145248,GABAergic,0.251,0.026,4.76165990686278,3.30053113922727,0.615,0.23,0,0,1.1444882728227541,4.258996003622668,66.5,15,26
3952,TOX3,27324,ENSG00000103460,GABAergic,0.679,0.158,3.7609170220313,2.6068690301409,0.793,0.586,0,0,3.1678038216058404,2.431449548291515,19,59,27
2069,LOC105371352,105371352,NA,GABAergic,0.281,0.02,4.01580078385492,2.78354099101945,0.632,0.264,0,0,1.1716379473204035,4.413293853764113,72,27.5,28
1237,GPR149,344758,ENSG00000174948,GABAergic,0.323,0.087,5.09077853537823,3.52865878865251,0.628,0.256,0,0,1.32242500885032,3.9082993935956045,49,13,29
1625,LGI2,55203,ENSG00000153012,GABAergic,0.351,0.058,3.3499486359862,2.32200745205447,0.65,0.3,0,0,1.4522554505595335,2.807045993977164,74,63,30
684,CORT,1325,ENSG00000241563,GABAergic,0.335,0.054,3.54049536204696,2.45408437798841,0.646,0.292,0,0,1.2166001862762434,3.073742414607138,79,51,31
3294,RGS16,6004,ENSG00000143333,GABAergic,0.199,0.012,4.2111515234402,2.91894780538329,0.594,0.188,0,0,0.8793961898944673,3.424149244150179,93,31.5,32
833,DLX5,1749,ENSG00000105880,GABAergic,0.2,0.004,4.08747711942048,2.83322324092959,0.599,0.198,0,0,0.7898609621182358,6.870960881425313,102,19.5,33
3790,SYTL5,94122,ENSG00000147041,GABAergic,0.553,0.205,4.4814963894374,3.10633658702811,0.714,0.428,0,0,2.2324721949861948,3.2191873625041962,22,29.5,34
834,DLX6,1750,ENSG00000006377,GABAergic,0.288,0.002,3.47525031558627,2.40885995798868,0.643,0.286,0,0,0.8260468918965089,8.633237493664225,107,35,35
3194,PVALB,5816,ENSG00000100362,GABAergic,0.234,0.067,4.19595004421489,2.90841094291793,0.589,0.178,0,0,1.0632229092213181,2.8569552662893454,85,39,36
2828,NXPH1,30010,ENSG00000122584,GABAergic,0.796,0.328,4.8297397859619,3.34772051547768,0.841,0.682,0,0,5.054560016874513,1.887933485105445,8,59,37
713,CRHBP,1393,ENSG00000145708,GABAergic,0.305,0.093,3.82649420726801,2.65232367119678,0.615,0.23,0,0,1.2021382416184858,2.6982738840672478,81,52.5,38
2489,LYPD6B,130576,ENSG00000150556,GABAergic,0.533,0.166,3.23356178206004,2.2413342324013,0.708,0.416,0,0,2.1941138784512964,2.64203890750989,40,68,39
2305,LOC105377568,105377568,NA,GABAergic,0.237,0.037,3.71357366178117,2.57405311346529,0.603,0.206,0,0,0.898614993573543,3.653611885012417,103,42,40
2306,LOC105377569,105377569,NA,GABAergic,0.267,0.071,3.94094296810717,2.73165350709102,0.605,0.21,0,0,1.0094164230873672,3.1812547290559996,87,41,41
1260,GRIK1.AS2,100379661,NA,GABAergic,0.291,0.017,3.32664896487268,2.30585735071416,0.637,0.274,0,0,0.9155487985404799,3.223606707306211,114,56,42
1652,LINC00403,100505996,ENSG00000224243,GABAergic,0.57,0.166,3.16602560536201,2.19452172193727,0.726,0.452,0,0,2.56476598133615,1.890046175650266,48,88,43
2794,NR2F2.AS1,644192,ENSG00000247809,GABAergic,0.48,0.199,4.02414143314087,2.78932228855606,0.672,0.344,0,0,2.052124309439129,2.811936090139357,30.5,45,44
2783,NPPC,4880,ENSG00000163273,GABAergic,0.197,0.007,3.58056900937485,2.4818613136485,0.595,0.19,0,0,0.7745206457672482,4.311260231579651,118,40,45
3499,SHISA8,440829,ENSG00000234965,GABAergic,0.201,0.01,3.65028383517494,2.53018394859505,0.596,0.192,0,0,0.7160616440342447,5.184352362333921,120.5,34,46
358,BTBD11,121551,ENSG00000151136,GABAergic,0.845,0.416,5.11509218950762,3.54551172946141,0.857,0.714,0,0,4.1326495990666565,2.7408314920818233,5.5,29.5,47
3133,PROX1,5629,ENSG00000117707,GABAergic,0.408,0.062,3.29167884828101,2.28161791299479,0.678,0.356,0,0,1.8294226466542072,1.2595966908438676,105,130.5,48
3173,PTHLH,5744,ENSG00000087494,GABAergic,0.231,0.08,4.14607841856617,2.87384256620958,0.582,0.164,0,0,1.0021090687933292,2.4529728390920162,99,49.5,49
592,CHRNA2,1135,ENSG00000120903,GABAergic,0.171,0.018,3.93453021644224,2.72720852635485,0.578,0.156,0,0,0.6926492295843784,4.317103865509879,126,31.5,50
1957,LOC102724124,102724124,NA,GABAergic,0.173,0.017,4.19557014437932,2.90814761641801,0.579,0.158,0,0,0.6472580220403507,5.106883911769832,128,19.5,51
2488,LYPD6,130574,ENSG00000187123,GABAergic,0.495,0.178,4.05888580832929,2.81340525425822,0.69,0.38,0,0,1.8917248298156957,1.8239681900180686,56.5,73,52
4140,ZCCHC12,170261,ENSG00000174460,GABAergic,0.267,0.052,3.0380566222678,2.1058203821064,0.61,0.22,0,0,1.0073416045065908,2.570570223565158,126,80,53
2003,LOC105369212,105369212,NA,GABAergic,0.24,0.058,3.29062983746632,2.28089079410621,0.594,0.188,0,0,0.8611640211645007,3.0241432325992514,122,61,54
1265,GRIN3A,116443,ENSG00000198785,GABAergic,0.763,0.347,3.67471947203381,2.54712144138897,0.795,0.59,0,0,3.9867728045518116,1.9807670212132367,14,73,55
1862,LOC101928174,101928174,ENSG00000250007,GABAergic,0.336,0.094,3.04063595434226,2.10760823886153,0.629,0.258,0,0,1.1274245184254807,2.546241668562634,113,79,56
1851,LOC101927870,101927870,NA,GABAergic,0.255,0.106,4.50307935163107,3.12129675642078,0.583,0.166,0,0,0.7932897020014177,3.2747679984997644,108,26,57
