"","gene","entrez_id","ensembl_id","subclass","pct.1","pct.2","avg_log2FC","roc_avg_diff","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"1","AARD",441376,"ENSG00000205002","LAMP5",0.373,0.054,3.18986891839357,2.21104864714031,0.665,0.33,0,0
"2","ABCA10",10349,"ENSG00000154263","VLMC",1,0.745,4.23452648672823,2.93515009528208,0.998,0.996,5.10489120096978e-12,2.56679034475962e-07
"3","ABCA2",20,"ENSG00000107331","Oligodendrocyte",0.951,0.533,4.50632570421979,3.12354695656477,0.922,0.844,0,0
"4","ABCA4",24,"ENSG00000198691","VLMC",0.636,0.124,6.32222177813799,4.38223020039103,0.791,0.582,5.73506096728455e-12,2.88364600496035e-07
"5","ABCA6",23460,"ENSG00000154262","VLMC",1,0.592,4.3974976901867,3.04811312547178,0.962,0.924,3.10435355924086e-10,1.56090001312189e-05
"6","ABCA9",10350,"ENSG00000154258","VLMC",1,0.631,5.57170942717618,3.86201468034643,1,1,3.09680263820328e-19,1.55710333451499e-14
"7","ABCB1",5243,"ENSG00000085563","Endothelial",0.943,0.226,8.54638893211765,5.92390539226608,0.964,0.928,2.50977538148814e-231,1.26194015956605e-226
"8","ABCB11",8647,"ENSG00000276582, ENSG00000073734","L5 ET",0.43,0.056,3.60486066538536,2.49869900652331,0.696,0.392,1.25330499510026e-75,6.30174284586361e-71
"9","ABCB5",340273,"ENSG00000004846","PAX6",0.606,0.253,4.05495982558049,2.81068397038497,0.723,0.446,1.09725703007639e-267,5.51711807292709e-263
"10","ABCC3",8714,"ENSG00000108846","L5/6 IT Car3",0.81,0.244,4.35006994446087,3.01523871724162,0.86,0.72,0,0
"11","ABCC4",10257,"ENSG00000125257","Microglia",0.9,0.613,5.86881953656662,4.06795571498627,0.875,0.75,0,0
"12","ABCG1",9619,"ENSG00000160179","Oligodendrocyte",0.497,0.378,2.66301362540925,1.84586038624514,0.593,0.186,6.01950334914507e-120,3.02666647898363e-115
"13","ABHD2",11057,"ENSG00000140526","OPC",0.946,0.8,2.78847100416169,1.93282081460783,0.851,0.702,1.92415546542392e-301,9.674846095698e-297
"14","ABI3BP",25890,"ENSG00000154175","VIP",0.372,0.299,3.65806076183961,2.53557450338609,0.555,0.11,9.78089069782706e-236,4.91792965177442e-231
"15","ABO",28,"ENSG00000175164, ENSG00000281879","L6 CT",0.577,0.119,2.81552846657771,1.9515756183946,0.744,0.488,0,0
"16","ABR",29,"ENSG00000159842, ENSG00000276016, ENSG00000278741","Microglia",0.951,0.934,2.85235421660306,1.97710128319669,0.794,0.588,3.3227075774666e-251,1.67069059702598e-246
"17","ABTB1",80325,"ENSG00000114626","Pericyte",0.312,0.39,3.33370235012976,2.3107463848185,0.514,0.028,1.27989656926529e-11,6.43544793992282e-07
"18","ACBD7",414149,"ENSG00000176244","Astrocyte",0.378,0.071,4.84737630950482,3.35994522204634,0.664,0.328,0,0
"19","ACER2",340485,"ENSG00000177076","Endothelial",0.5,0.352,4.0101637547508,2.7796337001892,0.62,0.24,1.06400201720138e-13,5.34990854269028e-09
"20","ACER3",55331,"ENSG00000078124","Oligodendrocyte",0.849,0.782,2.57537018888233,1.78511058532191,0.714,0.428,1.82804288961261e-322,9.19158245326118e-318
"21","ACOT11",26027,"ENSG00000162390","Astrocyte",0.869,0.381,4.19871021303264,2.91032414615182,0.86,0.72,0,0
"22","ACOX2",8309,"ENSG00000168306","VLMC",0.455,0.117,4.83637000550282,3.35231623345897,0.682,0.364,9.43248241829872e-05,1
"23","ACP6",51205,"ENSG00000162836","Astrocyte",0.552,0.279,2.81275398742327,1.94965249599119,0.673,0.346,5.97175000159009e-178,3.00265561829951e-173
"24","ACSBG1",23205,"ENSG00000103740","Astrocyte",0.928,0.207,6.70821360117812,4.6497793442505,0.95,0.9,0,0
"25","ACSF2",80221,"ENSG00000167107","Astrocyte",0.42,0.125,4.64401003877899,3.21898246487174,0.665,0.33,0,0
"26","ACSL1",2180,"ENSG00000151726","Oligodendrocyte",0.447,0.383,2.60911398021863,1.80849999914808,0.564,0.128,2.11918582837187e-109,1.06554782636366e-104
"27","ACSL5",51703,"ENSG00000197142","Endothelial",0.414,0.235,3.94123182953452,2.73185373057497,0.604,0.208,1.3950901507661e-06,0.0701465278706705
"28","ACSS1",84532,"ENSG00000154930","Astrocyte",0.928,0.074,6.22620738962959,4.31567809770324,0.955,0.91,0,0
"29","ACTB",60,"ENSG00000075624","Pericyte",0.969,0.855,2.98052872297397,2.06594508090735,0.787,0.574,1.51590902272717e-09,7.6221421571745e-05
"30","ACVR1",90,"ENSG00000115170","Endothelial",0.8,0.647,3.84779945732,2.66709134520144,0.731,0.462,3.03952013434715e-26,1.52830111875109e-21
