"","gene","entrez_id","ensembl_id","subclass","pct.1","pct.2","avg_log2FC","roc_avg_diff","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"1","A2M",2,"ENSG00000175899","Microglia",0.881,0.441,5.1412589715885,3.56364916068509,0.883,0.766,0,0
"2","A2M",2,"ENSG00000175899","Pericyte",0.531,0.448,3.93515859221208,2.72764408324805,0.643,0.286,2.81654196482997e-14,1.41618546533616e-09
"3","A2M",2,"ENSG00000175899","Endothelial",0.943,0.447,5.26724457098542,3.65097572369822,0.943,0.886,7.4184675317165e-88,3.73007965962238e-83
"4","AARD",441376,"ENSG00000205002","LAMP5",0.373,0.054,3.18986891839357,2.21104864714031,0.665,0.33,0,0
"5","AASS",10157,"ENSG00000008311","Oligodendrocyte",0.544,0.186,3.33534671211827,2.31188616969467,0.705,0.41,0,0
"6","AASS",10157,"ENSG00000008311","Astrocyte",0.799,0.185,3.91224095483996,2.71175878751847,0.854,0.708,0,0
"7","AASS",10157,"ENSG00000008311","VLMC",0.545,0.201,3.10704025486595,2.15363619254659,0.708,0.416,0.00102796499694826,1
"8","AASS",10157,"ENSG00000008311","OPC",0.618,0.194,3.03785910720901,2.10568347510028,0.737,0.474,1.95914999683971e-198,9.85080209910976e-194
"9","ABCA1",19,"ENSG00000165029","VLMC",0.818,0.422,4.97983767938983,3.45176044711524,0.812,0.624,1.43811491901893e-07,0.00723098562431909
"10","ABCA1",19,"ENSG00000165029","Astrocyte",0.681,0.416,2.84470754697811,1.97180101570547,0.696,0.392,2.37622618038265e-204,1.1947902857582e-199
"11","ABCA10",10349,"ENSG00000154263","VLMC",1,0.745,4.23452648672823,2.93515009528208,0.998,0.996,5.10489120096978e-12,2.56679034475962e-07
"12","ABCA2",20,"ENSG00000107331","Oligodendrocyte",0.951,0.533,4.50632570421979,3.12354695656477,0.922,0.844,0,0
"13","ABCA4",24,"ENSG00000198691","VLMC",0.636,0.124,6.32222177813799,4.38223020039103,0.791,0.582,5.73506096728455e-12,2.88364600496035e-07
"14","ABCA6",23460,"ENSG00000154262","VLMC",1,0.592,4.3974976901867,3.04811312547178,0.962,0.924,3.10435355924086e-10,1.56090001312189e-05
"15","ABCA8",10351,"ENSG00000141338","VLMC",1,0.167,6.02699852410756,4.1775970342241,0.992,0.984,2.96713185836988e-21,1.49190356970696e-16
"16","ABCA8",10351,"ENSG00000141338","Oligodendrocyte",0.853,0.138,7.94142202296141,5.50457428485236,0.913,0.826,0,0
"17","ABCA9",10350,"ENSG00000154258","VLMC",1,0.631,5.57170942717618,3.86201468034643,1,1,3.09680263820328e-19,1.55710333451499e-14
"18","ABCB1",5243,"ENSG00000085563","Endothelial",0.943,0.226,8.54638893211765,5.92390539226608,0.964,0.928,2.50977538148814e-231,1.26194015956605e-226
"19","ABCB11",8647,"ENSG00000276582, ENSG00000073734","L5 ET",0.43,0.056,3.60486066538536,2.49869900652331,0.696,0.392,1.25330499510026e-75,6.30174284586361e-71
"20","ABCB5",340273,"ENSG00000004846","PAX6",0.606,0.253,4.05495982558049,2.81068397038497,0.723,0.446,1.09725703007639e-267,5.51711807292709e-263
"21","ABCC3",8714,"ENSG00000108846","L5/6 IT Car3",0.81,0.244,4.35006994446087,3.01523871724162,0.86,0.72,0,0
