"","gene","entrez_id","ensembl_id","subclass","pct.1","pct.2","avg_log2FC","roc_avg_diff","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"1","A1BG",1,"ENSG00000121410","Oligodendrocyte",0.168,0.275,1.6303660617519,1.13008363898395,0.458,0.084,7.14742214828734e-118,3.59379533038036e-113
"2","A1BG",1,"ENSG00000121410","Pericyte",0.125,0.271,2.49027641951935,1.72612807900475,0.442,0.116,3.16541279558869e-06,0.159160120774995
"3","A2M",2,"ENSG00000175899","Endothelial",0.943,0.447,5.26724457098542,3.65097572369822,0.943,0.886,7.40013604243333e-88,3.7208624034959e-83
"4","A2M",2,"ENSG00000175899","Microglia",0.881,0.441,5.1412589715885,3.56364916068509,0.883,0.766,0,0
"5","A2M",2,"ENSG00000175899","Pericyte",0.531,0.448,3.93515859221208,2.72764408324805,0.643,0.286,2.81192889703738e-14,1.41386596871936e-09
"6","A2ML1",144568,"ENSG00000166535","Astrocyte",0.575,0.443,2.1429757867917,1.48539762462289,0.596,0.192,3.84777881007515e-47,1.93470166349388e-42
"7","A4GALT",53947,"ENSG00000128274","VLMC",0.273,0.16,2.6784184359873,1.85653818726438,0.568,0.136,4.93484419463094e-06,0.248128900950239
"8","A4GALT",53947,"ENSG00000128274","Pericyte",0.312,0.16,5.13239110913571,3.55750242682835,0.594,0.188,5.78332542248037e-54,2.90791385567736e-49
"9","A4GALT",53947,"ENSG00000128274","Endothelial",0.271,0.16,3.02766408496974,2.09861682417938,0.567,0.134,9.88023081245251e-28,4.96787885480925e-23
"10","A4GNT",51146,"ENSG00000118017","L5/6 IT Car3",0.158,0.022,2.10068527529896,1.45608407581726,0.569,0.138,1.75180709641902e-137,8.80826126150448e-133
"11","AAAS",8086,"ENSG00000094914","Astrocyte",0.407,0.447,1.22507799696484,0.849159359562205,0.499,0.002,6.53313792420953e-15,3.28492707967179e-10
"12","AACS",65985,"ENSG00000081760","L5/6 NP",0.882,0.669,1.15114499606177,0.797912908435906,0.695,0.39,1.14771152295676e-80,5.77080830857888e-76
"13","AACSP1",729522,NA,"L6 CT",0.179,0.045,2.14047602165128,1.48366491946375,0.569,0.138,1.11631242517594e-218,5.61293050502716e-214
"14","AADACL2.AS1",NA,NA,"Microglia",0.167,0.133,4.01298535390349,2.78158948368656,0.522,0.044,7.82285956139936e-59,3.93341201606721e-54
"15","AADACL2.AS1",NA,NA,"L3/5 IT",0.168,0.127,1.20578660987158,0.835787588989422,0.522,0.044,1.77829596859125e-78,8.94144995967365e-74
"16","AAED1",195827,"ENSG00000158122","Microglia",0.124,0.174,1.19001698499599,0.824856917968415,0.476,0.048,0.000925847108637174,1
"17","AAMDC",28971,"ENSG00000087884","Astrocyte",0.483,0.443,1.39922930909657,0.969871850557128,0.536,0.0720000000000001,8.35371075253119e-13,4.20032930348021e-08
"18","AAMDC",28971,"ENSG00000087884","Oligodendrocyte",0.359,0.448,1.60888686103272,1.11519539156477,0.469,0.0620000000000001,1.51269685708601e-35,7.60599106711416e-31
"19","AARD",441376,"ENSG00000205002","LAMP5",0.373,0.054,3.18986891839357,2.21104864714031,0.665,0.33,0,0
"20","AARD",441376,"ENSG00000205002","L6b",0.348,0.064,1.67439164938121,1.1605998509217,0.642,0.284,1.18601275387346e-159,5.96339072775115e-155
"21","AASDH",132949,"ENSG00000157426","Astrocyte",0.596,0.689,1.1292526153645,0.782738266479855,0.506,0.012,1.10560007677007e-25,5.55906774600759e-21
"22","AASS",10157,"ENSG00000008311","Astrocyte",0.799,0.185,3.91224095483996,2.71175878751847,0.854,0.708,0,0
"23","AASS",10157,"ENSG00000008311","Microglia",0.216,0.201,1.43946693703834,0.997762448917388,0.512,0.024,0.000197974220956183,1
"24","AASS",10157,"ENSG00000008311","OPC",0.618,0.194,3.03785910720901,2.10568347510028,0.737,0.474,1.86052636193153e-198,9.3549126004279e-194
"25","AASS",10157,"ENSG00000008311","Pericyte",0.312,0.201,2.47799949589403,1.71761836400791,0.573,0.146,0.0033354958246701,1
"26","AASS",10157,"ENSG00000008311","Oligodendrocyte",0.544,0.186,3.33534671211827,2.31188616969467,0.705,0.41,0,0
"27","AASS",10157,"ENSG00000008311","VLMC",0.545,0.201,3.10704025486595,2.15363619254659,0.708,0.416,0.00102816379634118,1
"28","AATF",26574,"ENSG00000276072, ENSG00000275700","Oligodendrocyte",0.356,0.49,1.32975822084302,0.921718161603745,0.442,0.116,2.09099236919242e-36,1.05137187315364e-31
"29","AATF",26574,"ENSG00000276072, ENSG00000275700","VLMC",0.545,0.485,2.31813850659025,1.60681116999047,0.549,0.0980000000000001,NA,NA
"30","AATF",26574,"ENSG00000276072, ENSG00000275700","Microglia",0.307,0.487,1.25149912381372,0.86747308914472,0.401,0.198,3.28034188149474e-23,1.64938870143437e-18
"31","AATK",9625,"ENSG00000181409","Oligodendrocyte",0.581,0.54,2.30005647215097,1.59427765880009,0.594,0.188,2.73274710300007e-240,1.37405257085946e-235
