"","gene","entrez_id","ensembl_id","subclass","pct.1","pct.2","avg_log2FC","roc_avg_diff","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"1","A2M",2,"ENSG00000175899","Pericyte",0.531,0.448,3.93515859221208,2.72764408324805,0.643,0.286,2.81675576434975e-14,1.4162929658727e-09
"2","A2M",2,"ENSG00000175899","Microglia",0.881,0.441,5.1412589715885,3.56364916068509,0.883,0.766,0,0
"3","A2M",2,"ENSG00000175899","Endothelial",0.943,0.447,5.26724457098542,3.65097572369822,0.943,0.886,7.44978511581381e-88,3.74582645408234e-83
"4","A2ML1",144568,"ENSG00000166535","Astrocyte",0.575,0.443,2.1429757867917,1.48539762462289,0.596,0.192,3.88276469517869e-47,1.9522929163828e-42
"5","AARD",441376,"ENSG00000205002","LAMP5",0.373,0.054,3.18986891839357,2.21104864714031,0.665,0.33,0,0
"6","AASS",10157,"ENSG00000008311","Oligodendrocyte",0.544,0.186,3.33534671211827,2.31188616969467,0.705,0.41,0,0
"7","AASS",10157,"ENSG00000008311","OPC",0.618,0.194,3.03785910720901,2.10568347510028,0.737,0.474,1.93369819508458e-198,9.72282789470476e-194
"8","AASS",10157,"ENSG00000008311","VLMC",0.545,0.201,3.10704025486595,2.15363619254659,0.708,0.416,0.00102814484601259,1
"9","AASS",10157,"ENSG00000008311","Astrocyte",0.799,0.185,3.91224095483996,2.71175878751847,0.854,0.708,0,0
"10","AATF",26574,"ENSG00000276072, ENSG00000275700","VLMC",0.545,0.485,2.31813850659025,1.60681116999047,0.549,0.0980000000000001,NA,NA
"11","AATK",9625,"ENSG00000181409","Oligodendrocyte",0.581,0.54,2.30005647215097,1.59427765880009,0.594,0.188,3.30602928790782e-240,1.66230458625293e-235
"12","ABCA1",19,"ENSG00000165029","Astrocyte",0.681,0.416,2.84470754697811,1.97180101570547,0.696,0.392,2.34311672122736e-204,1.17814251860033e-199
"13","ABCA1",19,"ENSG00000165029","VLMC",0.818,0.422,4.97983767938983,3.45176044711524,0.812,0.624,1.4386614018744e-07,0.00723373339476469
"14","ABCA1",19,"ENSG00000165029","OPC",0.538,0.42,2.20689983031113,1.52970639515838,0.588,0.176,2.09832489128583e-37,1.05505873858743e-32
"15","ABCA10",10349,"ENSG00000154263","VLMC",1,0.745,4.23452648672823,2.93515009528208,0.998,0.996,5.10776665308034e-12,2.56823615083532e-07
"16","ABCA2",20,"ENSG00000107331","Oligodendrocyte",0.951,0.533,4.50632570421979,3.12354695656477,0.922,0.844,0,0
"17","ABCA4",24,"ENSG00000198691","VLMC",0.636,0.124,6.32222177813799,4.38223020039103,0.791,0.582,5.74730339605075e-12,2.88980162056828e-07
"18","ABCA6",23460,"ENSG00000154262","VLMC",1,0.592,4.3974976901867,3.04811312547178,0.962,0.924,3.10608855599792e-10,1.56177238684132e-05
"19","ABCA8",10351,"ENSG00000141338","Oligodendrocyte",0.853,0.138,7.94142202296141,5.50457428485236,0.913,0.826,0,0
"20","ABCA8",10351,"ENSG00000141338","VLMC",1,0.167,6.02699852410756,4.1775970342241,0.992,0.984,2.97101973454965e-21,1.49385843272891e-16
"21","ABCA9",10350,"ENSG00000154258","VLMC",1,0.631,5.57170942717618,3.86201468034643,1,1,3.09995365887102e-19,1.55868769921694e-14
"22","ABCA9",10350,"ENSG00000154258","Pericyte",0.469,0.631,2.39435756884627,1.65964219809815,0.464,0.072,0.00900562051225032,1
"23","ABCB1",5243,"ENSG00000085563","L6 CT",0.525,0.21,2.01731755758032,1.39829797733087,0.686,0.372,0,0
"24","ABCB1",5243,"ENSG00000085563","Endothelial",0.943,0.226,8.54638893211765,5.92390539226608,0.964,0.928,2.58198052773713e-231,1.2982456291515e-226
"25","ABCB11",8647,"ENSG00000276582, ENSG00000073734","L5 ET",0.43,0.056,3.60486066538536,2.49869900652331,0.696,0.392,1.23576418740196e-75,6.21354591067578e-71
"26","ABCB5",340273,"ENSG00000004846","PAX6",0.606,0.253,4.05495982558049,2.81068397038497,0.723,0.446,1.21807104079229e-267,6.12458300020771e-263
"27","ABCB7",22,"ENSG00000131269","VLMC",0.273,0.546,2.09778640141637,1.45407472955875,0.391,0.218,NA,NA
"28","ABCC3",8714,"ENSG00000108846","L5/6 IT Car3",0.81,0.244,4.35006994446087,3.01523871724162,0.86,0.72,0,0
"29","ABCC4",10257,"ENSG00000125257","Microglia",0.9,0.613,5.86881953656662,4.06795571498627,0.875,0.75,0,0
"30","ABCC9",10060,"ENSG00000069431","Pericyte",0.625,0.331,4.89052279619476,3.38985208764654,0.717,0.434,6.05658547953044e-15,3.0453117449627e-10
"31","ABCC9",10060,"ENSG00000069431","L5/6 NP",0.733,0.324,2.54894018672449,1.76679070384402,0.765,0.53,4.85223999365973e-231,2.43975479121205e-226
"32","ABCC9",10060,"ENSG00000069431","L6 CT",0.819,0.303,2.28871194416367,1.58641423121092,0.822,0.644,0,0
"33","ABCC9",10060,"ENSG00000069431","Astrocyte",0.469,0.328,2.51836490959168,1.74559753670458,0.6,0.2,1.03397410551257e-84,5.19892519992775e-80
"34","ABCD3",5825,"ENSG00000117528","VLMC",0.727,0.603,2.19980761790293,1.5247904481237,0.644,0.288,NA,NA
"35","ABCG1",9619,"ENSG00000160179","Oligodendrocyte",0.497,0.378,2.66301362540925,1.84586038624514,0.593,0.186,6.0847441315465e-120,3.05947019678289e-115
"36","ABCG2",9429,"ENSG00000118777","Microglia",0.479,0.437,4.1928666704838,2.90627371110962,0.568,0.136,9.21380496986112e-244,4.63279327689587e-239
"37","ABCG2",9429,"ENSG00000118777","Endothelial",0.957,0.437,8.85730498477448,6.13941597755598,0.967,0.934,0,0
"38","ABCG2",9429,"ENSG00000118777","Pericyte",0.406,0.437,2.17311810915221,1.50629069038261,0.499,0.002,0.000519215430984655,1
"39","ABHD14B",84836,"ENSG00000114779","Pericyte",0.188,0.395,2.20076736480349,1.52545569398189,0.432,0.136,4.55449674402553e-09,0.000229004650786348
"40","ABHD17B",51104,"ENSG00000107362","Oligodendrocyte",0.515,0.495,2.28718172160601,1.58535356175945,0.557,0.114,2.31670210949131e-99,1.16486098767332e-94
"41","ABHD2",11057,"ENSG00000140526","OPC",0.946,0.8,2.78847100416169,1.93282081460783,0.851,0.702,1.86627147195751e-301,9.38379958814955e-297
"42","ABHD3",171586,"ENSG00000158201","Endothelial",0.5,0.555,2.75250323735518,1.90788985845486,0.519,0.038,2.77338177158598e-05,1
"43","ABHD3",171586,"ENSG00000158201","Microglia",0.508,0.556,2.56541027183577,1.77820689690249,0.506,0.012,1.05181739578224e-22,5.28864304773268e-18
"44","ABI3BP",25890,"ENSG00000154175","VIP",0.372,0.299,3.65806076183961,2.53557450338609,0.555,0.11,1.02789312881938e-235,5.16834944101672e-231
"45","ABL1",25,"ENSG00000097007","VLMC",0.818,0.762,2.15487549471871,1.49364587362198,0.575,0.15,NA,NA
"46","ABLIM1",3983,"ENSG00000099204","Astrocyte",0.997,0.947,2.47836761540097,1.71787352500626,0.927,0.854,0,0
"47","ABLIM1",3983,"ENSG00000099204","Endothelial",1,0.948,2.0977611050804,1.45405719547479,0.812,0.624,5.01584525590192e-14,2.52201715312004e-09
"48","ABLIM3",22885,"ENSG00000173210","L5/6 NP",0.929,0.515,2.10716737185617,1.46057712277001,0.836,0.672,4.01221041913254e-272,2.01737952084403e-267
"49","ABLIM3",22885,"ENSG00000173210","Endothelial",0.514,0.522,3.18446049612454,2.20729981449324,0.578,0.156,9.54767502274788e-15,4.80066647818786e-10
"50","ABLIM3",22885,"ENSG00000173210","VLMC",0.364,0.522,2.75039267637655,1.90642692906312,0.472,0.056,0.0249988588264338,1
