"","gene","entrez_id","ensembl_id","subclass","pct.1","pct.2","avg_log2FC","roc_avg_diff","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"1","A1BG",1,"ENSG00000121410","Oligodendrocyte",0.168,0.275,1.6303660617519,1.13008363898395,0.458,0.084,7.90767447651532e-118,3.97605780353667e-113
"2","A1BG",1,"ENSG00000121410","Pericyte",0.125,0.271,2.49027641951935,1.72612807900475,0.442,0.116,3.1715353603163e-06,0.159467969452064
"3","A2M",2,"ENSG00000175899","Microglia",0.881,0.441,5.1412589715885,3.56364916068509,0.883,0.766,0,0
"4","A2M",2,"ENSG00000175899","Endothelial",0.943,0.447,5.26724457098542,3.65097572369822,0.943,0.886,7.44397780847363e-88,3.74290648187863e-83
"5","A2M",2,"ENSG00000175899","Pericyte",0.531,0.448,3.93515859221208,2.72764408324805,0.643,0.286,2.81667935602085e-14,1.41625454700084e-09
"6","A2ML1",144568,"ENSG00000166535","Astrocyte",0.575,0.443,2.1429757867917,1.48539762462289,0.596,0.192,3.86418389362458e-47,1.94295030355337e-42
"7","A4GALT",53947,"ENSG00000128274","Endothelial",0.271,0.16,3.02766408496974,2.09861682417938,0.567,0.134,1.06595140083892e-27,5.35971023855818e-23
"8","A4GALT",53947,"ENSG00000128274","VLMC",0.273,0.16,2.6784184359873,1.85653818726438,0.568,0.136,4.94336957657796e-06,0.248557565679917
"9","A4GALT",53947,"ENSG00000128274","Pericyte",0.312,0.16,5.13239110913571,3.55750242682835,0.594,0.188,7.2962307075623e-54,3.6686177620694e-49
"10","AAMDC",28971,"ENSG00000087884","Oligodendrocyte",0.359,0.448,1.60888686103272,1.11519539156477,0.469,0.0620000000000001,1.52481287179054e-35,7.66691160065001e-31
"11","AARD",441376,"ENSG00000205002","LAMP5",0.373,0.054,3.18986891839357,2.21104864714031,0.665,0.33,0,0
"12","AARD",441376,"ENSG00000205002","L6b",0.348,0.064,1.67439164938121,1.1605998509217,0.642,0.284,1.18623020597607e-159,5.9644840986683e-155
"13","AASS",10157,"ENSG00000008311","Astrocyte",0.799,0.185,3.91224095483996,2.71175878751847,0.854,0.708,0,0
"14","AASS",10157,"ENSG00000008311","Pericyte",0.312,0.201,2.47799949589403,1.71761836400791,0.573,0.146,0.00333673951524799,1
"15","AASS",10157,"ENSG00000008311","VLMC",0.545,0.201,3.10704025486595,2.15363619254659,0.708,0.416,0.00102818766465672,1
"16","AASS",10157,"ENSG00000008311","Oligodendrocyte",0.544,0.186,3.33534671211827,2.31188616969467,0.705,0.41,0,0
"17","AASS",10157,"ENSG00000008311","OPC",0.618,0.194,3.03785910720901,2.10568347510028,0.737,0.474,1.9040655916532e-198,9.57383220139144e-194
"18","AATF",26574,"ENSG00000276072, ENSG00000275700","VLMC",0.545,0.485,2.31813850659025,1.60681116999047,0.549,0.0980000000000001,NA,NA
"19","AATK",9625,"ENSG00000181409","Oligodendrocyte",0.581,0.54,2.30005647215097,1.59427765880009,0.594,0.188,3.08400170894923e-240,1.55066689927676e-235
"20","ABCA1",19,"ENSG00000165029","VLMC",0.818,0.422,4.97983767938983,3.45176044711524,0.812,0.624,1.43879152810552e-07,0.00723438768246738
"21","ABCA1",19,"ENSG00000165029","Astrocyte",0.681,0.416,2.84470754697811,1.97180101570547,0.696,0.392,2.29904452885186e-204,1.155982579552e-199
"22","ABCA1",19,"ENSG00000165029","OPC",0.538,0.42,2.20689983031113,1.52970639515838,0.588,0.176,2.08788377653518e-37,1.04980884167965e-32
"23","ABCA10",10349,"ENSG00000154263","VLMC",1,0.745,4.23452648672823,2.93515009528208,0.998,0.996,5.10845142729291e-12,2.56858046215715e-07
"24","ABCA12",26154,"ENSG00000144452","L5/6 NP",0.379,0.251,1.57765067410244,1.0935441166626,0.579,0.158,2.16815873213411e-44,1.09017189210435e-39
