"","gene","entrez_id","ensembl_id","subclass","pct.1","pct.2","avg_log2FC","roc_avg_diff","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"1","A2ML1",144568,"ENSG00000166535","Astrocyte",0.575,0.443,2.1429757867917,1.48539762462289,0.596,0.192,3.88276469517869e-47,1.9522929163828e-42
"2","AARD",441376,"ENSG00000205002","LAMP5",0.373,0.054,3.18986891839357,2.21104864714031,0.665,0.33,0,0
"3","AATF",26574,"ENSG00000276072, ENSG00000275700","VLMC",0.545,0.485,2.31813850659025,1.60681116999047,0.549,0.0980000000000001,NA,NA
"4","AATK",9625,"ENSG00000181409","Oligodendrocyte",0.581,0.54,2.30005647215097,1.59427765880009,0.594,0.188,3.30602928790782e-240,1.66230458625293e-235
"5","ABCA10",10349,"ENSG00000154263","VLMC",1,0.745,4.23452648672823,2.93515009528208,0.998,0.996,5.10776665308034e-12,2.56823615083532e-07
"6","ABCA2",20,"ENSG00000107331","Oligodendrocyte",0.951,0.533,4.50632570421979,3.12354695656477,0.922,0.844,0,0
"7","ABCA4",24,"ENSG00000198691","VLMC",0.636,0.124,6.32222177813799,4.38223020039103,0.791,0.582,5.74730339605075e-12,2.88980162056828e-07
"8","ABCA6",23460,"ENSG00000154262","VLMC",1,0.592,4.3974976901867,3.04811312547178,0.962,0.924,3.10608855599792e-10,1.56177238684132e-05
"9","ABCB11",8647,"ENSG00000276582, ENSG00000073734","L5 ET",0.43,0.056,3.60486066538536,2.49869900652331,0.696,0.392,1.23576418740196e-75,6.21354591067578e-71
"10","ABCB5",340273,"ENSG00000004846","PAX6",0.606,0.253,4.05495982558049,2.81068397038497,0.723,0.446,1.21807104079229e-267,6.12458300020771e-263
"11","ABCB7",22,"ENSG00000131269","VLMC",0.273,0.546,2.09778640141637,1.45407472955875,0.391,0.218,NA,NA
"12","ABCC4",10257,"ENSG00000125257","Microglia",0.9,0.613,5.86881953656662,4.06795571498627,0.875,0.75,0,0
"13","ABCD3",5825,"ENSG00000117528","VLMC",0.727,0.603,2.19980761790293,1.5247904481237,0.644,0.288,NA,NA
"14","ABCG1",9619,"ENSG00000160179","Oligodendrocyte",0.497,0.378,2.66301362540925,1.84586038624514,0.593,0.186,6.0847441315465e-120,3.05947019678289e-115
"15","ABHD14B",84836,"ENSG00000114779","Pericyte",0.188,0.395,2.20076736480349,1.52545569398189,0.432,0.136,4.55449674402553e-09,0.000229004650786348
"16","ABHD17B",51104,"ENSG00000107362","Oligodendrocyte",0.515,0.495,2.28718172160601,1.58535356175945,0.557,0.114,2.31670210949131e-99,1.16486098767332e-94
"17","ABHD2",11057,"ENSG00000140526","OPC",0.946,0.8,2.78847100416169,1.93282081460783,0.851,0.702,1.86627147195751e-301,9.38379958814955e-297
"18","ABI3BP",25890,"ENSG00000154175","VIP",0.372,0.299,3.65806076183961,2.53557450338609,0.555,0.11,1.02789312881938e-235,5.16834944101672e-231
"19","ABL1",25,"ENSG00000097007","VLMC",0.818,0.762,2.15487549471871,1.49364587362198,0.575,0.15,NA,NA
"20","ABO",28,"ENSG00000175164, ENSG00000281879","L6 CT",0.577,0.119,2.81552846657771,1.9515756183946,0.744,0.488,0,0
"21","ABR",29,"ENSG00000159842, ENSG00000276016, ENSG00000278741","Microglia",0.951,0.934,2.85235421660306,1.97710128319669,0.794,0.588,3.36382776290878e-251,1.69136623746816e-246
"22","ABTB1",80325,"ENSG00000114626","Pericyte",0.312,0.39,3.33370235012976,2.3107463848185,0.514,0.028,1.2800549504612e-11,6.43624429641397e-07
"23","ACBD7",414149,"ENSG00000176244","Astrocyte",0.378,0.071,4.84737630950482,3.35994522204634,0.664,0.328,0,0
"24","ACER2",340485,"ENSG00000177076","Endothelial",0.5,0.352,4.0101637547508,2.7796337001892,0.62,0.24,1.06507625021549e-13,5.35530989370850e-09
"25","ACER3",55331,"ENSG00000078124","Oligodendrocyte",0.849,0.782,2.57537018888233,1.78511058532191,0.714,0.428,1.87744945419674e-322,9.44000360064661e-318
"26","ACHE",43,"ENSG00000087085","VIP",0.46,0.196,2.43681307395947,1.68907011176662,0.649,0.298,0,0
"27","ACOT11",26027,"ENSG00000162390","Astrocyte",0.869,0.381,4.19871021303264,2.91032414615182,0.86,0.72,0,0
"28","ACOX2",8309,"ENSG00000168306","VLMC",0.455,0.117,4.83637000550282,3.35231623345897,0.682,0.364,9.44083095661206e-05,1
"29","ACP6",51205,"ENSG00000162836","Astrocyte",0.552,0.279,2.81275398742327,1.94965249599119,0.673,0.346,5.85663877314677e-178,2.94477654152593e-173
"30","ACSBG1",23205,"ENSG00000103740","Astrocyte",0.928,0.207,6.70821360117812,4.6497793442505,0.95,0.9,0,0
"31","ACSF2",80221,"ENSG00000167107","Astrocyte",0.42,0.125,4.64401003877899,3.21898246487174,0.665,0.33,0,0
"32","ACSL1",2180,"ENSG00000151726","Oligodendrocyte",0.447,0.383,2.60911398021863,1.80849999914808,0.564,0.128,2.14288664958882e-109,1.07746483627976e-104
"33","ACSL5",51703,"ENSG00000197142","Endothelial",0.414,0.235,3.94123182953452,2.73185373057497,0.604,0.208,1.39569738792949e-06,0.0701770603624828
"34","ACSL6",23305,"ENSG00000164398","Astrocyte",0.898,0.778,2.1364801739081,1.48089520886663,0.764,0.528,3.04977448604378e-243,1.53345710932767e-238
"35","ACSS1",84532,"ENSG00000154930","Astrocyte",0.928,0.074,6.22620738962959,4.31567809770324,0.955,0.91,0,0
"36","ACSS2",55902,"ENSG00000131069","Oligodendrocyte",0.553,0.514,2.47512606398181,1.71562665277942,0.575,0.15,1.99554500338132e-145,1.00337998315016e-140
"37","ACTB",60,"ENSG00000075624","Pericyte",0.969,0.855,2.98052872297397,2.06594508090735,0.787,0.574,1.5159540897169e-09,7.62236875850556e-05
"38","ACTG1",71,"ENSG00000184009","Pericyte",0.594,0.592,2.13798349225703,1.48193722974167,0.541,0.0820000000000001,NA,NA
"39","ACTR3",10096,"ENSG00000115091","Microglia",0.503,0.673,2.12340191384139,1.47183004977476,0.464,0.072,1.54616427636777e-46,7.77426859800481e-42
"40","ACVR1",90,"ENSG00000115170","Endothelial",0.8,0.647,3.84779945732,NA,NA,NA,3.04243825061511e-26,1.52976837679179e-21
"41","ADAM19",8728,"ENSG00000135074","VLMC",0.455,0.495,3.52279551971235,2.44181578217782,0.569,0.138,0.000217202350996781,1
"42","ADAM28",10863,"ENSG00000042980","Microglia",0.879,0.093,8.02189906750609,5.5603567213783,0.929,0.858,0,0
"43","ADAMTS10",81794,"ENSG00000142303","Pericyte",0.719,0.707,2.4375115585086,1.68955426436251,0.591,0.182,0.000750095076283257,1
"44","ADAMTS16",170690,"ENSG00000145536","Other IT",0.768,0.393,2.32443200259513,1.61117348900212,0.758,0.516,4.54687234790122e-163,2.28621288524821e-158
"45","ADAMTS3",9508,"ENSG00000156140","L2/3 IT",0.787,0.441,2.1991466875373,1.52433232610423,0.763,0.526,0,0
"46","ADAMTS4",9507,"ENSG00000158859","Oligodendrocyte",0.351,0.042,5.22951768472419,3.62482543885495,0.66,0.32,0,0
"47","ADAMTSL2",9719,"ENSG00000197859","Microglia",0.453,0.246,4.09226375198171,2.83654108179378,0.639,0.278,2.90660742808311e-212,1.46147128091447e-207
"48","ADAP1",11033,"ENSG00000105963","Oligodendrocyte",0.499,0.536,2.18689948322564,1.51584321096585,0.535,0.0700000000000001,2.91563400653322e-175,1.46600993482497e-170
"49","ADCY3",109,"ENSG00000138031","VLMC",0.727,0.684,2.622293880528,1.81763560988759,0.634,0.268,0.048373978790151,1
"50","ADCY4",196883,"ENSG00000129467, ENSG00000284814","Endothelial",0.414,0.028,6.46167908120702,4.47889463682182,0.699,0.398,1.23067826151255e-130,6.18797336671123e-126
"51","ADCY6",112,"ENSG00000174233","Pericyte",0.438,0.557,3.20433307200352,2.22107443443423,0.48,0.04,0.000198574237126266,1
"52","ADCY7",113,"ENSG00000121281","Microglia",0.509,0.269,4.8372642766668,3.35293609499493,0.665,0.33,1.18057280068672e-249,5.93603809913289e-245
"53","ADCYAP1",116,"ENSG00000141433","L2/3 IT",0.501,0.083,2.59672928331858,1.79991558140972,0.711,0.422,0,0
"54","ADGRA3",166647,"ENSG00000152990","Astrocyte",0.864,0.334,4.2192640540602,2.92457098310975,0.865,0.73,0,0
"55","ADGRB1",575,"ENSG00000181790","Astrocyte",0.657,0.681,2.00573505016451,1.39026959497179,0.58,0.16,1.37276320026139e-122,6.90239064723429e-118
"56","ADGRE5",976,"ENSG00000123146","VLMC",0.455,0.269,2.78727546688024,1.93199213131195,0.622,0.244,0.00745160378930765,1
"57","ADGRL4",64123,"ENSG00000162618","Endothelial",0.771,0.101,7.88056261846924,5.46238976021805,0.872,0.744,3.7170994803041e-140,1.86899478969171e-135
"58","ADGRV1",84059,"ENSG00000164199","Astrocyte",1,0.755,6.66788019123501,4.62182235486606,1,1,0,0
"59","ADHFE1",137872,"ENSG00000147576","Astrocyte",0.72,0.253,3.65300343160875,NA,NA,NA,0,0
"60","ADIRF",10974,"ENSG00000148671","Pericyte",0.562,0.025,7.46825266265132,5.17659827682607,0.776,0.552,9.12613731143532e-41,4.58871310156279e-36
"61","ADORA2A.AS1",NA,NA,"Pericyte",0.5,0.509,4.14552771276615,2.87346084603698,0.547,0.0940000000000001,3.82380115733962e-12,1.92264545992193e-07
"62","ADORA2B",136,"ENSG00000170425","Astrocyte",0.481,0.189,5.06795635072671,3.51283965570709,0.678,0.356,0,0
"63","ADPGK",83440,"ENSG00000159322","Microglia",0.413,0.374,3.27656655398625,2.27114286881258,0.564,0.128,2.23251710352695e-100,1.12253192482439e-95
"64","ADRA1B",147,"ENSG00000170214","VIP",0.725,0.366,2.579481575936,1.78796038166636,0.741,0.482,0,0
"65","ADRA2A",150,"ENSG00000150594","L6b",0.482,0.079,2.1208322071418,1.47004886482106,0.702,0.404,6.09223144336754e-258,3.06323489203963e-253
"66","ADTRP",84830,"ENSG00000111863","L6b",0.744,0.174,2.49210835629571,1.72739788081625,0.802,0.604,0,0
"67","AFAP1L1",134265,"ENSG00000157510","Endothelial",0.386,0.106,6.20311645688486,4.29967268277474,0.656,0.312,2.65264898947723e-41,1.33377843839905e-36
"68","AFMID",125061,"ENSG00000183077","Oligodendrocyte",0.501,0.344,3.09407456542345,2.1446490614655,0.622,0.244,1.90323968090965e-319,9.56967943958181e-315
"69","AGAP2",116986,"ENSG00000135439","Pericyte",0.281,0.544,2.7677003149729,1.91842366995834,0.42,0.16,5.76779266624318e-08,0.00290010383051373
"70","AGFG1",3267,"ENSG00000173744","Endothelial",0.843,0.879,2.39456201760344,1.65978391117776,0.647,0.294,3.77003112842032e-08,0.00189560935168102
"71","AGFG2",3268,"ENSG00000106351","Astrocyte",0.503,0.397,2.26909727595984,1.57281837924782,0.58,0.16,4.3919248839433e-64,2.20830375089553e-59
"72","AGO2",27161,"ENSG00000123908","Pericyte",0.406,0.683,2.36435110395795,1.63884330156225,0.412,0.176,3.19147133940614e-05,1
"73","AGPAT4",56895,"ENSG00000026652","Oligodendrocyte",0.855,0.814,2.21446172794731,1.53494790318459,0.714,0.428,2.20803360781771e-296,1.11022137834682e-291
"74","AGRN",375790,"ENSG00000188157","Pericyte",0.688,0.448,3.2665371556814,2.26419101965487,0.713,0.426,8.19085427573158e-14,4.1184434383806e-09
"75","AGT",183,"ENSG00000135744","Astrocyte",0.607,0.02,6.32981071868191,4.38749045313249,0.797,0.594,0,0
"76","AHCYL1",10768,"ENSG00000168710","Astrocyte",0.897,0.659,2.84378855471862,1.97116401881185,0.821,0.642,0,0
"77","AHCYL2",23382,"ENSG00000158467","Astrocyte",0.989,0.877,3.0399761155517,2.10715087346424,0.916,0.832,0,0
"78","AHDC1",27245,"ENSG00000126705","VLMC",0.636,0.643,2.45374526024258,1.70080660894947,0.657,0.314,0.000139060437590438,1
"79","AHSA2",130872,NA,"Microglia",0.388,0.548,2.08608918473543,1.44596683679595,0.479,0.042,9.91823145768893e-89,4.98698595924057e-84
"80","AIF1",199,"ENSG00000237727, ENSG00000235588, ENSG00000235985, ENSG00000206428, ENSG00000204472, ENSG00000234836","Microglia",0.428,0.006,7.92352502323433,5.49216902995105,0.712,0.424,0,0
"81","AIFM3",150209,"ENSG00000183773","Astrocyte",0.655,0.283,3.88790910020643,2.69489323108144,0.749,0.498,0,0
"82","AK4",205,"ENSG00000162433","Astrocyte",0.531,0.403,2.3091810676713,1.60060234645877,0.6,0.2,1.32837688710028e-72,6.67921182602893e-68
"83","AK7",122481,"ENSG00000140057","Pericyte",0.281,0.367,2.98596821400119,2.06971544877654,0.466,0.0679999999999999,0.0394324900736488,1
"84","AKAP7",9465,"ENSG00000118507","VLMC",0.909,0.737,4.39916018126983,3.04926547647877,0.857,0.714,2.67928036987697e-08,0.00134716896277784
"85","AKIRIN1",79647,"ENSG00000174574","VLMC",0.364,0.473,3.01076029322086,2.08690000858788,0.457,0.086,NA,NA
"86","AKR1A1",10327,"ENSG00000117448","Microglia",0.384,0.414,3.10016526210594,2.14887081069862,0.507,0.014,9.87436886047075e-32,4.9649314067333e-27
"87","ALCAM",214,"ENSG00000170017","Oligodendrocyte",0.954,0.609,2.28475641245607,1.58367246556019,0.842,0.684,0,0
"88","ALDH1A1",216,"ENSG00000165092","VLMC",0.364,0.084,4.93733173174949,3.42229756935131,0.649,0.298,0.0018646673458064,1
"89","ALDH1A2",8854,"ENSG00000128918","VLMC",0.818,0.224,5.53729111486932,3.8381577242113,0.864,0.728,6.86212058176294e-11,3.45034284971622e-06
"90","ALDH1L1",10840,"ENSG00000144908","Astrocyte",0.728,0.065,6.11811638664384,4.24075512373978,0.85,0.7,0,0
"91","ALDH2",217,"ENSG00000111275","Astrocyte",0.698,0.496,2.64942889644512,1.83644416966498,0.674,0.348,4.07869251923322e-160,2.05080738559565e-155
"92","ALDH7A1",501,"ENSG00000164904","Astrocyte",0.79,0.543,2.92447947069147,2.02709469971523,0.729,0.458,3.64941909898411e-259,1.8349644171602e-254
"93","ALOX5",240,"ENSG00000012779, ENSG00000275565","Microglia",0.623,0.202,7.07539820459463,4.90429231685367,0.764,0.528,0,0
"94","ALOX5AP",241,"ENSG00000132965","Microglia",0.369,0.114,7.42503051505328,5.14663896708074,0.645,0.29,0,0
"95","ALPL",249,"ENSG00000162551","Endothelial",0.7,0.231,7.39754371722265,5.12758657066182,0.798,0.596,1.60353569934092e-172,8.06273784985609e-168
"96","AMER2",219287,"ENSG00000165566","Oligodendrocyte",0.77,0.398,3.80522551106385,2.63758133438869,0.792,0.584,0,0
"97","AMOT",154796,"ENSG00000126016","Astrocyte",0.442,0.168,3.24491187251866,2.2492015156018,0.655,0.31,2.30487505771939e-179,1.15891422777189e-174
"98","AMZ1",155185,"ENSG00000174945","OPC",0.459,0.354,2.59419585832976,1.79815954502156,0.581,0.162,8.45780521697776e-62,4.25266904114859e-57
"99","AMZ2",51321,"ENSG00000196704","Astrocyte",0.986,0.699,4.06426622412943,2.81713467430033,0.946,0.892,0,0
