"","gene","entrez_id","ensembl_id","class","pct.1","pct.2","avg_log2FC","roc_avg_diff","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"1","A2M",2,"ENSG00000175899","Non-neuronal",0.42,0.451,3.23251756148607,2.24061043385458,0.521,0.042,8.80457843269338e-235,4.42703008174256e-230
"2","AAMDC",28971,"ENSG00000087884","Non-neuronal",0.369,0.453,1.52608696275342,1.05780287552182,0.467,0.0659999999999999,2.52104570234491e-50,1.26760698959605e-45
"3","AASS",10157,"ENSG00000008311","Non-neuronal",0.56,0.161,4.74296397182939,3.28757210457095,0.729,0.458,0,0
"4","ABCA1",19,"ENSG00000165029","Non-neuronal",0.468,0.417,2.0736741853867,1.43736141500073,0.545,0.0900000000000001,4.08590899913026e-72,2.05443590385268e-67
"5","ABCA13",154664,"ENSG00000179869","Non-neuronal",0.293,0.314,1.57066084273641,1.08869913475865,0.501,0.002,6.00521470122466e-66,3.01948200392277e-61
"6","ABCA2",20,"ENSG00000107331","Non-neuronal",0.513,0.554,3.28852020229923,2.27942850643814,0.575,0.15,0,0
"7","ABCA8",10351,"ENSG00000141338","Non-neuronal",0.454,0.135,7.11781816368813,4.9336955918988,0.683,0.366,0,0
"8","ABCB5",340273,"ENSG00000004846","GABAergic",0.29,0.245,2.27915411028231,1.5797892456038,0.53,0.0600000000000001,1.7550216592933e-273,8.82442440509266e-269
"9","ABCC4",10257,"ENSG00000125257","Non-neuronal",0.644,0.614,3.61813628081573,2.50790096192907,0.558,0.116,6.68611796501018e-207,3.36184697398677e-202
"10","ABCG1",9619,"ENSG00000160179","Non-neuronal",0.35,0.386,1.86923174304551,1.29565271250515,0.494,0.012,9.64611619922993e-48,4.8501636861348e-43
"11","ABCG2",9429,"ENSG00000118777","Non-neuronal",0.468,0.434,4.5257236549625,3.1369925914307,0.545,0.0900000000000001,2.81582402458312e-290,1.41582447780064e-285
"12","ABI3BP",25890,"ENSG00000154175","GABAergic",0.306,0.304,2.31537692868104,1.60489699004881,0.507,0.014,9.18692552771576e-73,4.61927802459076e-68
