"","gene","entrez_id","ensembl_id","subclass","pct.1","pct.2","avg_log2FC","roc_avg_diff","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"1","A2ML1",144568,"ENSG00000166535","Astrocyte",0.575,0.369,2.62812181836196,1.82167522856567,0.638,0.276,1.00330987235162e-86,5.0447423691712e-82
"2","AARD",441376,"ENSG00000205002","LAMP5",0.455,0.042,3.74009835405622,2.59243862913096,0.712,0.424,4.7840549874613e-155,2.40547068824542e-150
"3","AASS",10157,"ENSG00000008311","Astrocyte",0.799,0.279,2.0399656332884,1.41399642715304,0.796,0.592,3.41574725084856e-314,1.71747187519916e-309
"4","AATK",9625,"ENSG00000181409","Oligodendrocyte",0.581,0.411,2.60566059705853,1.80610629634727,0.644,0.288,2.49281402445715e-201,1.2534118196373e-196
"5","ABCA10",10349,"ENSG00000154263","VLMC",1,0.468,5.24673979853626,3.63676289848707,0.999,0.998,2.49901312198078e-14,1.25652878786315e-09
"6","ABCA12",26154,"ENSG00000144452","L5/6 NP",0.443,0.23,2.42164545686742,1.67855672074345,0.634,0.268,7.47396236858853e-31,3.75798301855e-26
"7","ABCA2",20,"ENSG00000107331","Oligodendrocyte",0.951,0.439,4.54369580909075,3.14944993939329,0.928,0.856,0,0
"8","ABCA4",24,"ENSG00000198691","VLMC",0.636,0.09,6.90608356473136,4.78693235160492,0.8,0.6,2.34138816046706e-16,1.17727338096444e-11
"9","ABCA6",23460,"ENSG00000154262","VLMC",1,0.351,5.23021867182147,3.62531132608503,0.98,0.96,1.31110612489252e-12,6.59237270657206e-08
"10","ABCB1",5243,"ENSG00000085563","Endothelial",0.943,0.185,8.60821224309732,5.96675804596451,0.966,0.932,1.51280411700617e-186,7.60653038071872e-182
"11","ABCB11",8647,"ENSG00000276582, ENSG00000073734","L5 ET",0.415,0.057,2.81348597368931,1.9501598702077,0.687,0.374,1.53058755070739e-24,7.69594726371185e-20
"12","ABCB5",340273,"ENSG00000004846","PAX6",0.576,0.255,3.69271854804227,2.55959745017692,0.704,0.408,1.05303085935734e-48,5.29474446393464e-44
"13","ABCC3",8714,"ENSG00000108846","L5/6 IT Car3",0.646,0.204,3.14235454851688,2.17811419562419,0.769,0.538,3.73172164443529e-44,1.87634696003851e-39
"14","ABCC4",10257,"ENSG00000125257","Microglia",0.9,0.613,5.17193660476497,3.58491327562761,0.868,0.736,0,0
"15","ABCD2",225,"ENSG00000173208","Astrocyte",0.602,0.363,2.59885781608132,1.80139096789295,0.665,0.33,2.14139658563198e-113,1.07671561722161e-108
"16","ABCG1",9619,"ENSG00000160179","Oligodendrocyte",0.497,0.312,2.49411608467498,1.72878953208167,0.619,0.238,2.11820746190133e-105,1.06505589391861e-100
"17","ABHD17B",51104,"ENSG00000107362","Oligodendrocyte",0.515,0.407,2.28814942078893,1.58602431971972,0.594,0.188,6.72242013715758e-91,3.38010006916421e-86
"18","ABHD2",11057,"ENSG00000140526","OPC",0.946,0.716,2.64994618350581,1.83680272573264,0.852,0.704,1.50168277480514e-259,7.55061115999772e-255
"19","ABLIM1",3983,"ENSG00000099204","Astrocyte",0.997,0.84,3.01399713601881,2.08914361704719,0.948,0.896,0,0
"20","ABO",28,"ENSG00000175164, ENSG00000281879","L6 CT",0.707,0.127,2.85843931908914,1.98131915482832,0.808,0.616,5.70843808723199e-118,2.87025975464112e-113
"21","ABR",29,"ENSG00000159842, ENSG00000276016, ENSG00000278741","Microglia",0.951,0.84,2.76200994689008,1.91447940736539,0.811,0.622,2.15406776559892e-206,1.08308681322079e-201
"22","ABTB2",25841,"ENSG00000166016","Oligodendrocyte",0.637,0.392,3.42271311732637,2.37244394714032,0.696,0.392,0,0
"23","ACACB",32,"ENSG00000076555","Astrocyte",0.933,0.409,3.88463043510743,2.69262063361207,0.91,0.82,0,0
"24","ACBD7",414149,"ENSG00000176244","Astrocyte",0.378,0.064,4.74807681750698,3.291116059137,0.666,0.332,8.45476610997347e-295,4.25114094775576e-290
"25","ACER2",340485,"ENSG00000177076","Endothelial",0.5,0.277,4.24594005489885,2.94306137787968,0.65,0.3,5.03468197468069e-17,2.5314884436892e-12
