"","gene","entrez_id","ensembl_id","class","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"1","AASS",10157,"ENSG00000008311","Non-neuronal",0.56,0.14,3.26766113541397,0.735,0.47,0,0
"2","ABCA8",10351,"ENSG00000141338","Non-neuronal",0.454,0.109,5.23814026538592,0.692,0.384,0,0
"3","ABCG2",9429,"ENSG00000118777","Non-neuronal",0.468,0.407,3.26400494817927,0.566,0.132,1.38712213359201e-81,6.97458879991398e-77
"4","ABTB2",25841,"ENSG00000166016","Non-neuronal",0.552,0.338,3.28235440360092,0.663,0.326,0,0
"5","ACACB",32,"ENSG00000076555","Non-neuronal",0.58,0.373,3.01434530067978,0.666,0.332,0,0
"6","ACSBG1",23205,"ENSG00000103740","Non-neuronal",0.382,0.18,3.95471097640903,0.626,0.252,0,0
"7","ACSS1",84532,"ENSG00000154930","Non-neuronal",0.421,0.056,4.17970207512544,0.691,0.382,0,0
"8","ACSS3",79611,"ENSG00000111058","Non-neuronal",0.355,0.234,2.83737231528825,0.58,0.16,2.23030610257318e-138,1.12142021143482e-133
"9","ACTL6B",51412,"ENSG00000077080","Neuronal",0.65,0.122,2.51304371785798,0.793,0.586,0,0
"10","ADGRG1",9289,"ENSG00000205336","Non-neuronal",0.447,0.192,2.74106468184512,0.649,0.298,7.04094896284293e-277,3.54025954800705e-272
"11","ADGRL2",23266,"ENSG00000117114","Neuronal",0.952,0.627,3.36596884667165,0.916,0.832,0,0
"12","ADGRV1",84059,"ENSG00000164199","Non-neuronal",0.684,0.761,3.12417026421859,0.494,0.012,1.16950048165545e-80,5.88036537181175e-76
"13","AHNAK",79026,"ENSG00000124942","Non-neuronal",0.534,0.422,2.65779979223131,0.607,0.214,2.37781261223804e-172,1.19558795955941e-167
"14","ANKRD18B",441459,"ENSG00000230453","Neuronal",0.517,0.181,2.64463058164345,0.695,0.39,0,0
"15","ANKRD30B",374860,"ENSG00000180777","Neuronal",0.573,0.157,3.49214160352359,0.742,0.484,0,0
"16","ANKRD30BL",554226,"ENSG00000163046","Neuronal",0.964,0.514,2.99248875853058,0.942,0.884,0,0
"17","ANKRD34C.AS1",NA,NA,"Neuronal",0.732,0.126,3.5843672832429,0.843,0.686,0,0
"18","ANLN",54443,"ENSG00000011426","Non-neuronal",0.397,0.16,3.18331224240206,0.637,0.274,3.28842574608e-275,1.65345334938648e-270
"19","AOAH",313,"ENSG00000136250","Non-neuronal",0.481,0.428,2.90767430694875,0.556,0.112,1.98165862234454e-87,9.9639777190106e-83
"20","APBB1IP",54518,"ENSG00000077420","Non-neuronal",0.432,0.258,4.95726366768209,0.617,0.234,1.51447247439941e-219,7.61491904852767e-215
"21","APCDD1",147495,"ENSG00000154856","Non-neuronal",0.369,0.034,3.99639615374817,0.672,0.344,0,0
"22","APOD",347,"ENSG00000189058","Non-neuronal",0.566,0.234,3.87157086420402,0.711,0.422,0,0
"23","ARHGAP24",83478,"ENSG00000138639","Non-neuronal",0.787,0.777,3.38767284249623,0.625,0.25,9.43027920791956e-314,4.74163868853404e-309
"24","ARHGAP31",57514,"ENSG00000031081","Non-neuronal",0.436,0.137,3.02056162763791,0.667,0.334,0,0
"25","ASIC2",40,"ENSG00000108684","Neuronal",0.974,0.673,3.675709536534,0.935,0.87,0,0
"26","ATP10B",23120,"ENSG00000118322","Non-neuronal",0.744,0.543,3.15618430412331,0.732,0.464,0,0
"27","ATP13A4",84239,"ENSG00000127249","Non-neuronal",0.522,0.281,3.31710343421516,0.666,0.332,0,0
"28","ATP1A2",477,"ENSG00000018625","Non-neuronal",0.429,0.143,4.49678788359981,0.664,0.328,0,0
"29","BCAS1",8537,"ENSG00000064787","Non-neuronal",0.638,0.169,4.88847708787295,0.779,0.558,0,0
"30","BCL11A",53335,"ENSG00000119866","Neuronal",0.84,0.298,3.18315324862781,0.87,0.74,0,0
"31","BEST1",7439,"ENSG00000167995","Non-neuronal",0.535,0.344,3.0220945894435,0.647,0.294,6.37462483657499e-220,3.20522511407827e-215
"32","BMP7",655,"ENSG00000101144","Non-neuronal",0.386,0.159,2.77043878883479,0.634,0.268,8.84094395481489e-310,4.44531502992047e-305
"33","BMPR1B",658,"ENSG00000138696","Non-neuronal",0.694,0.546,3.63845993363937,0.698,0.396,0,0
"34","BNC2",54796,"ENSG00000173068","Non-neuronal",0.59,0.45,4.10942000584257,0.634,0.268,1.15824584804373e-209,5.82377594854869e-205
"35","C10orf11",83938,"ENSG00000148655","Non-neuronal",0.803,0.713,2.84257165287606,0.669,0.338,2.11418689702717e-266,1.06303431369423e-261
"36","C10orf90",118611,"ENSG00000154493","Non-neuronal",0.626,0.183,4.66575257175181,0.768,0.536,0,0
"37","C11orf87",399947,"ENSG00000185742","Neuronal",0.658,0.035,2.70067400096498,0.816,0.632,0,0
"38","C3",718,"ENSG00000125730","Non-neuronal",0.377,0.211,4.66404570434693,0.606,0.212,1.99206883091401e-205,1.00163212887187e-200
"39","C8orf34",116328,"ENSG00000165084","Neuronal",0.885,0.446,3.74192191208283,0.873,0.746,0,0
