"","gene","entrez_id","ensembl_id","subclass","pct.1","pct.2","avg_log2FC","roc_avg_diff","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"1","A2ML1",144568,"ENSG00000166535","Astrocyte",0.575,0.369,2.62713345087263,1.82099014442708,0.638,0.276,1.40308643727104e-86,7.05485891524252e-82
"2","AARD",441376,"ENSG00000205002","LAMP5",0.455,0.042,3.74016282752526,2.59248331873425,0.712,0.424,7.39845805129194e-155,3.7200186927701e-150
"3","AATK",9625,"ENSG00000181409","Oligodendrocyte",0.581,0.411,2.60582334785616,1.80621910660378,0.644,0.288,2.5131709601544e-201,1.26364749047524e-196
"4","ABCA1",19,"ENSG00000165029","VLMC",0.818,0.433,4.05562554248644,2.81114541018138,0.796,0.592,1.67405397154262e-05,0.841731077431346
"5","ABCA10",10349,"ENSG00000154263","VLMC",1,0.468,5.24649685928477,3.63659450582985,0.999,0.998,2.49616441571428e-14,1.2550964298653e-09
"6","ABCA2",20,"ENSG00000107331","Oligodendrocyte",0.951,0.439,4.54272126913228,3.14877443976874,0.928,0.856,0,0
"7","ABCA4",24,"ENSG00000198691","VLMC",0.636,0.09,6.90618347974916,4.7870016074178,0.8,0.6,2.28346037734645e-16,1.14814671233357e-11
"8","ABCA6",23460,"ENSG00000154262","VLMC",1,0.351,5.23035891339073,3.62540853413336,0.98,0.96,1.30499631469399e-12,6.56165196991283e-08
"9","ABCB1",5243,"ENSG00000085563","Endothelial",0.943,0.185,8.60833582793428,5.96684370844581,0.966,0.932,1.34504415733982e-186,6.76301652752037e-182
"10","ABCB5",340273,"ENSG00000004846","PAX6",0.576,0.255,3.69279293253237,2.5596490095765,0.704,0.408,8.87824283605334e-49,4.46406928039598e-44
"11","ABCC4",10257,"ENSG00000125257","Microglia",0.9,0.613,5.17208292083141,3.58501469419653,0.868,0.736,0,0
"12","ABCD2",225,"ENSG00000173208","Astrocyte",0.602,0.363,2.59901580603578,1.80150047818443,0.665,0.33,2.20592887104162e-113,1.10916309564844e-108
"13","ABCG2",9429,"ENSG00000118777","Endothelial",0.957,0.433,7.38956010531575,5.12205275257786,0.964,0.928,0,0
"14","ABHD2",11057,"ENSG00000140526","OPC",0.946,0.716,2.65010094428493,1.83690999773035,0.852,0.704,1.39803328098083e-259,7.0294511400997e-255
"15","ABLIM1",3983,"ENSG00000099204","Astrocyte",0.997,0.84,3.01408917299173,2.08920741221548,0.948,0.896,0,0
"16","ABLIM3",22885,"ENSG00000173210","Endothelial",0.514,0.428,3.13007716872977,NA,NA,NA,4.19421959808818e-12,2.10889555611472e-07
"17","ABR",29,"ENSG00000276016, ENSG00000278741, ENSG00000159842","Microglia",0.951,0.84,2.76210468110765,1.91454507212119,0.811,0.622,2.11465687137427e-206,1.0632706214957e-201
"18","ABTB2",25841,"ENSG00000166016","Oligodendrocyte",0.637,0.392,3.42246956195094,2.37227512741852,0.695,0.39,0,0
"19","ACACB",32,"ENSG00000076555","Astrocyte",0.933,0.409,3.88478405804747,2.69272711691982,0.91,0.82,0,0
"20","ACBD7",414149,"ENSG00000176244","Astrocyte",0.378,0.065,4.74808952842164,3.29112486967166,0.666,0.332,1.66793338869199e-294,8.38653587168219e-290
"21","ACER2",340485,"ENSG00000177076","Endothelial",0.5,0.277,4.24607324205338,2.94315369618032,0.65,0.3,4.98761481264596e-17,2.50782260394651e-12
"22","ACOT11",26027,"ENSG00000162390","Astrocyte",0.869,0.345,4.297001553741,2.97845451183728,0.869,0.738,0,0
"23","ACOX2",8309,"ENSG00000168306","VLMC",0.455,0.126,3.70391679948518,2.56735948659177,0.676,0.352,0.00341893701782563,1
"24","ACP6",51205,"ENSG00000162836","Astrocyte",0.552,0.205,2.6433341263311,1.83221959694429,0.697,0.394,1.07440047542517e-175,5.40219303048527e-171
"25","ACSBG1",23205,"ENSG00000103740","Astrocyte",0.928,0.188,5.61365819998608,3.89109135394757,0.946,0.892,0,0
