"","Gene","Entrez gene ID","Ensembl gene ID","Cell group","Prevalence in cell group ('pct.1')","Prevalence in all other cells ('pct.2')","Average log2 fold change","AUC from ROC test","Power from ROC test","Mast test p","Mast test FDR (q)","Used in MGP"
"1","SST",6750,"ENSG00000157005","SST",0.972,0.106,6.65935503363702,0.977,0.954,0,0,TRUE
"2","NMU",10874,"ENSG00000109255","SST",0.744,0.199,5.50900486218309,0.833,0.666,0,0,TRUE
"3","LOC105373154",105373154,NA,"SST",0.578,0.181,4.35378471065022,0.734,0.468,3.26789164909191e-147,1.6431286000799e-142,FALSE
"4","GRIK1",2897,"ENSG00000171189","SST",0.994,0.573,4.16654299259791,0.975,0.95,5.54581129390184e-274,2.78848937668679e-269,TRUE
"5","KLF5",688,"ENSG00000102554","SST",0.51,0.061,4.14160944204004,0.733,0.466,1.11229393425018e-139,5.59272513080332e-135,TRUE
"6","CORT",1325,"ENSG00000241563","SST",0.644,0.088,4.02333239370619,0.792,0.584,3.11288778777638e-164,1.56519110857184e-159,TRUE
"7","SLC9A2",6549,"ENSG00000115616","SST",0.439,0.139,3.99130161900128,0.669,0.338,2.41320761276385e-102,1.21338491977379e-97,TRUE
"8","FBN2",2201,"ENSG00000138829","SST",0.479,0.249,3.96507561440561,0.648,0.296,1.2010031207752e-96,6.0387637915698e-92,TRUE
"9","COL25A1",84570,"ENSG00000188517","SST",0.86,0.567,3.9492343372401,0.826,0.652,5.4423606624395e-215,2.7364733646812e-210,TRUE
"10","LOC105372768",105372768,NA,"SST",0.803,0.075,3.86659616328442,0.874,0.748,4.64185976739412e-238,2.33397350964344e-233,FALSE
"11","TRHDE",29953,"ENSG00000072657","SST",0.946,0.555,3.69220712413687,0.9,0.8,1.69908292055377e-205,8.54315883283642e-201,TRUE
"12","TRPC6",7225,"ENSG00000137672","SST",0.664,0.226,3.66308491917253,0.768,0.536,1.58467582139546e-138,7.96790849755849e-134,TRUE
"13","ELFN1",392617,"ENSG00000225968","SST",0.729,0.188,3.55013733880953,0.816,0.632,1.15471020324347e-190,5.80599837292848e-186,FALSE
"14","LOC105377567",105377567,NA,"SST",0.986,0.746,3.53322068027737,0.928,0.856,3.12457613301271e-304,1.57106812544012e-299,FALSE
"15","LOC105377574",105377574,NA,"SST",0.929,0.513,3.50501614542842,0.893,0.786,3.49876585290269e-242,1.759214458498e-237,FALSE
"16","MAFB",9935,"ENSG00000204103","SST",0.453,0.045,3.4906552762491,0.707,0.414,1.32214968378246e-108,6.64790082502661e-104,FALSE
"17","LOC105377569",105377569,NA,"SST",0.453,0.086,3.45535213301605,0.692,0.384,6.04549164056132e-88,3.03973365179064e-83,FALSE
"18","SLC47A1",55244,"ENSG00000142494","SST",0.558,0.146,3.44769242753067,0.73,0.46,7.67650429616474e-116,3.85982312515459e-111,FALSE
"19","TRB",6957,NA,"SST",0.826,0.388,3.44569906132608,0.838,0.676,1.79897732321773e-204,9.04543787887106e-200,FALSE
"20","LOC105377568",105377568,NA,"SST",0.419,0.059,3.32237106504004,0.685,0.37,6.20236504551164e-91,3.11861116853371e-86,FALSE
"21","OTOF",9381,"ENSG00000115155","SST",0.402,0.163,3.29770842416991,0.635,0.27,8.87580638387398e-68,4.46284420787568e-63,FALSE
"22","GRIK1.AS2",NA,NA,"SST",0.661,0.056,3.28967094296839,0.804,0.608,2.55321864839581e-180,1.2837838685999e-175,FALSE
"23","DKK2",27123,"ENSG00000155011","SST",0.564,0.253,3.18132165712961,0.694,0.388,1.17306271277124e-86,5.89827662608509e-82,FALSE
"24","LINC00290",728081,"ENSG00000248197","SST",0.92,0.765,3.13890444597778,0.786,0.572,5.60092649746931e-211,2.81620185219255e-206,FALSE
"25","TRIM67",440730,"ENSG00000119283","SST",0.521,0.145,3.01834542632322,0.709,0.418,9.64476984402931e-96,4.84948672527638e-91,FALSE
"26","COL19A1",1310,"ENSG00000082293","SST",0.818,0.471,2.96912508292279,0.795,0.59,1.37689359778796e-112,6.92315869903764e-108,FALSE
