"","gene","entrez_id","ensembl_id","subclass","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"1","ABCA1",19,"ENSG00000165029","VLMC",0.818,0.479,3.14545043100111,0.803,0.606,5.48016680925311e-07,0.0275548267336056
"2","ABCA10",10349,"ENSG00000154263","VLMC",1,0.679,3.03817404594861,0.997,0.994,1.56278569624257e-11,7.85784275927727e-07
"3","ABCA2",20,"ENSG00000107331","Oligodendrocyte",0.951,0.565,3.09583152059075,0.921,0.842,0,0
"4","ABCA4",24,"ENSG00000198691","VLMC",0.636,0.162,4.02662386110196,0.782,0.564,3.69360471882901e-10,1.85718138867441e-05
"5","ABCA6",23460,"ENSG00000154262","VLMC",1,0.543,3.17011064263487,0.967,0.934,2.5384524960464e-10,1.27635929953709e-05
"6","ABCA9",10350,"ENSG00000154258","VLMC",1,0.603,3.95082789788111,1,1,2.41263281614459e-18,1.21309590628566e-13
"7","ABCB1",5243,"ENSG00000085563","Endothelial",0.943,0.241,5.85672962871141,0.964,0.928,1.07060722608339e-215,5.3831201934699e-211
"8","ABCB11",8647,"ENSG00000276582, ENSG00000073734","L5 ET",0.458,0.071,2.80894673675837,0.705,0.41,3.93728344600418e-15,1.97970548948536e-10
"9","ABCB5",340273,"ENSG00000004846","PAX6",0.664,0.315,2.8903327503857,0.734,0.468,1.47162475364592e-129,7.39947642380706e-125
"10","ABCC3",8714,"ENSG00000108846","L5/6 IT Car3",0.772,0.288,2.58270224760249,0.823,0.646,1.82201897069329e-212,9.16129358654295e-208
"11","ABCC4",10257,"ENSG00000125257","Microglia",0.9,0.685,3.85351657284651,0.867,0.734,0,0
"12","ABCC9",10060,"ENSG00000069431","Pericyte",0.625,0.368,3.27613981146345,0.711,0.422,2.48115808465249e-15,1.24755109654412e-10
"13","ABCG2",9429,"ENSG00000118777","Endothelial",0.957,0.52,5.59952151122578,0.964,0.928,0,0
"14","ABTB2",25841,"ENSG00000166016","Oligodendrocyte",0.637,0.469,2.86774740112923,0.689,0.378,0,0
"15","ACACB",32,"ENSG00000076555","Astrocyte",0.933,0.479,3.13959806645738,0.917,0.834,0,0
"16","ACBD7",414149,"ENSG00000176244","Astrocyte",0.378,0.089,3.32710711037408,0.658,0.316,0,0
"17","ACER2",340485,"ENSG00000177076","Endothelial",0.5,0.39,2.69222889815846,0.609,0.218,8.26444636690701e-14,4.15544627774451e-09
"18","ACOT11",26027,"ENSG00000162390","Astrocyte",0.869,0.441,2.81729012307262,0.852,0.704,0,0
"19","ACOX2",8309,"ENSG00000168306","VLMC",0.455,0.149,2.96284260078456,0.671,0.342,0.000416568719740434,1
"20","ACSBG1",23205,"ENSG00000103740","Astrocyte",0.928,0.258,4.2638722707334,0.946,0.892,0,0
"21","ACSF2",80221,"ENSG00000167107","Astrocyte",0.42,0.155,2.81995836363913,0.656,0.312,0,0
"22","ACSL5",51703,"ENSG00000197142","Endothelial",0.414,0.252,2.68165444801195,0.6,0.2,4.98979558856776e-07,0.0250891911988776
"23","ACSS1",84532,"ENSG00000154930","Astrocyte",0.928,0.114,3.58048173979108,0.946,0.892,0,0
"24","ACVR1",90,"ENSG00000115170","Endothelial",0.8,0.671,2.70445130902939,0.737,0.474,2.03878260211723e-31,1.02512028017056e-26
"25","ADAM28",10863,"ENSG00000042980","Microglia",0.879,0.087,5.73315820105207,0.93,0.86,0,0
"26","ADAMTS3",9508,"ENSG00000156140","IT",0.808,0.397,2.71669945099374,0.81,0.62,0,0
