"","gene","entrez_id","ensembl_id","class","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"1","AASS",10157,"ENSG00000008311","Non-neuronal",0.56,0.168,3.55546476358563,0.732,0.464,0,0
"2","ABCA8",10351,"ENSG00000141338","Non-neuronal",0.454,0.185,4.84547392932772,0.67,0.34,0,0
"3","ABCG2",9429,"ENSG00000118777","Non-neuronal",0.468,0.54,3.15486110752375,0.517,0.034,2.8313900444488e-239,1.4236512282493e-234
"4","ABTB2",25841,"ENSG00000166016","Non-neuronal",0.552,0.464,3.17808673758166,0.626,0.252,0,0
"5","ACACB",32,"ENSG00000076555","Non-neuronal",0.58,0.484,2.95324916660912,0.637,0.274,0,0
"6","ACSBG1",23205,"ENSG00000103740","Non-neuronal",0.382,0.272,3.70816805217204,0.595,0.19,0,0
"7","ACSS1",84532,"ENSG00000154930","Non-neuronal",0.421,0.08,4.18039116663769,0.684,0.368,0,0
"8","ACSS3",79611,"ENSG00000111058","Non-neuronal",0.355,0.333,2.82804629088703,0.545,0.0900000000000001,0,0
"9","ADAMTS3",9508,"ENSG00000156140","Neuronal",0.702,0.265,2.63045695265102,0.756,0.512,0,0
"10","ADGRG1",9289,"ENSG00000205336","Non-neuronal",0.447,0.2,2.9499424851429,0.649,0.298,0,0
"11","ADGRL2",23266,"ENSG00000117114","Neuronal",0.986,0.627,3.55297633156224,0.959,0.918,0,0
"12","ADGRV1",84059,"ENSG00000164199","Non-neuronal",0.684,0.87,3.06487023344647,0.454,0.092,0,0
"13","AGBL4",84871,"ENSG00000186094","Neuronal",0.999,0.798,2.54198184572967,0.962,0.924,0,0
"14","AHNAK",79026,"ENSG00000124942","Non-neuronal",0.534,0.544,2.58489357319754,0.572,0.144,0,0
"15","ANKRD18B",441459,"ENSG00000230453","Neuronal",0.627,0.181,2.93183803300037,0.756,0.512,0,0
"16","ANKRD30B",374860,"ENSG00000180777","Neuronal",0.662,0.157,3.51684576050039,0.787,0.574,0,0
"17","ANKRD30BL",554226,"ENSG00000163046","Neuronal",0.977,0.514,3.09128763489228,0.948,0.896,0,0
"18","ANKRD34C.AS1",NA,NA,"Neuronal",0.783,0.126,3.68454250281158,0.869,0.738,0,0
"19","ANLN",54443,"ENSG00000011426","Non-neuronal",0.397,0.186,3.43304315013397,0.631,0.262,0,0
"20","AOAH",313,"ENSG00000136250","Non-neuronal",0.481,0.539,2.64971616148612,0.515,0.03,3.07349098651933e-202,1.54538200293179e-197
"21","APBB1IP",54518,"ENSG00000077420","Non-neuronal",0.432,0.353,4.99741929151339,0.588,0.176,0,0
"22","APCDD1",147495,"ENSG00000154856","Non-neuronal",0.369,0.046,3.95260442919023,0.668,0.336,0,0
"23","APOD",347,"ENSG00000189058","Non-neuronal",0.566,0.273,3.96303217517756,0.702,0.404,0,0
"24","ARHGAP15",55843,"ENSG00000075884","Non-neuronal",0.431,0.46,2.59390942308615,0.524,0.048,3.03022406256744e-188,1.52362696089954e-183
"25","ARHGAP24",83478,"ENSG00000138639","Non-neuronal",0.787,0.895,3.36762036484347,0.582,0.164,0,0
"26","ARHGAP31",57514,"ENSG00000031081","Non-neuronal",0.436,0.182,2.99446791564023,0.655,0.31,0,0
"27","ARNTL2",56938,"ENSG00000029153","Neuronal",0.705,0.149,2.52288666762696,0.814,0.628,0,0
"28","ASIC2",40,"ENSG00000108684","Neuronal",0.991,0.673,3.56606656509914,0.952,0.904,0,0
"29","ATP10B",23120,"ENSG00000118322","Non-neuronal",0.744,0.679,3.31959856554894,0.713,0.426,0,0
"30","ATP13A4",84239,"ENSG00000127249","Non-neuronal",0.522,0.354,3.33033860471342,0.647,0.294,0,0
"31","ATP1A2",477,"ENSG00000018625","Non-neuronal",0.429,0.203,3.96229521362304,0.643,0.286,0,0
"32","AXL",558,"ENSG00000167601","Non-neuronal",0.533,0.444,2.51497160263393,0.608,0.216,0,0
"33","B2M",567,"ENSG00000166710, ENSG00000273686","Non-neuronal",0.61,0.326,2.52798460456173,0.693,0.386,0,0
"34","BCAS1",8537,"ENSG00000064787","Non-neuronal",0.638,0.242,4.86800960071912,0.766,0.532,0,0
"35","BCL11A",53335,"ENSG00000119866","Neuronal",0.903,0.298,3.44996796798586,0.917,0.834,0,0
"36","BEST1",7439,"ENSG00000167995","Non-neuronal",0.535,0.413,3.01685364063473,0.634,0.268,0,0
"37","BMP7",655,"ENSG00000101144","Non-neuronal",0.386,0.214,2.94905852708695,0.617,0.234,0,0
"38","BNC2",54796,"ENSG00000173068","Non-neuronal",0.59,0.593,3.77346565018647,0.586,0.172,0,0
"39","C10orf11",83938,"ENSG00000148655","Non-neuronal",0.803,0.841,2.99080171439733,0.642,0.284,0,0
"40","C10orf90",118611,"ENSG00000154493","Non-neuronal",0.626,0.279,4.37885628507965,0.746,0.492,0,0
"41","C11orf87",399947,"ENSG00000185742","Neuronal",0.72,0.035,2.73630675095867,0.847,0.694,0,0
"42","C3",718,"ENSG00000125730","Non-neuronal",0.377,0.303,4.59269868724118,0.575,0.15,0,0
"43","C8orf34",116328,"ENSG00000165084","Neuronal",0.869,0.446,3.358846256061,0.823,0.646,0,0
"44","CA2",760,"ENSG00000104267","Non-neuronal",0.459,0.194,2.77150435060989,0.66,0.32,0,0
"45","CABP1",9478,"ENSG00000157782","Neuronal",0.933,0.204,2.79861242619612,0.932,0.864,0,0
"46","CACNA1B",774,"ENSG00000148408","Neuronal",0.998,0.41,3.01416295066629,0.975,0.95,0,0
"47","CACNG3",10368,"ENSG00000006116","Neuronal",0.926,0.265,3.19357802587912,0.932,0.864,0,0
"48","CAMKV",79012,"ENSG00000164076","Neuronal",0.819,0.036,2.55222275023851,0.895,0.79,0,0
"49","CAPN3",825,"ENSG00000092529","Non-neuronal",0.47,0.285,3.28897159759483,0.638,0.276,0,0
"50","CARNS1",57571,"ENSG00000172508","Non-neuronal",0.428,0.088,4.74473540376637,0.685,0.37,0,0
"51","CBLN2",147381,"ENSG00000141668","Neuronal",0.609,0.101,4.36391849114128,0.774,0.548,0,0
"52","CCDC144NL",339184,NA,"Neuronal",0.443,0.047,2.83579496358885,0.705,0.41,0,0
"53","CCDC85A",114800,"ENSG00000055813","Neuronal",0.882,0.205,2.58136998740729,0.9,0.8,0,0
"54","CCSER1",401145,"ENSG00000184305","Neuronal",1,0.87,2.76028354683935,0.979,0.958,0,0
"55","CD22",933,"ENSG00000012124","Non-neuronal",0.401,0.154,4.03983612883301,0.65,0.3,0,0
"56","CD38",952,"ENSG00000004468","Non-neuronal",0.378,0.389,2.88387143252281,0.534,0.0680000000000001,4.84001271172912e-313,2.43360679158452e-308
"57","CD9",928,"ENSG00000010278","Non-neuronal",0.453,0.144,4.83058833573404,0.683,0.366,0,0
"58","CDC14A",8556,"ENSG00000079335","Non-neuronal",0.426,0.251,3.32679559024107,0.627,0.254,0,0
"59","CDH1",999,"ENSG00000039068","Non-neuronal",0.471,0.495,2.72332231573497,0.55,0.1,0,0
"60","CDH12",1010,"ENSG00000154162","Neuronal",0.993,0.904,3.61169495902161,0.877,0.754,0,0
"61","CDH18",1016,"ENSG00000145526","Neuronal",0.994,0.75,2.83617989388747,0.936,0.872,0,0
"62","CDH23",64072,"ENSG00000107736","Non-neuronal",0.389,0.356,2.60752390084866,0.553,0.106,2.20777247463394e-260,1.11009007797069e-255
"63","CDH7",1005,"ENSG00000081138","Neuronal",0.59,0.236,2.58072425957197,0.713,0.426,0,0
"64","CDH9",1007,"ENSG00000113100","Neuronal",0.908,0.321,4.99658881670074,0.913,0.826,0,0
"65","CDK18",5129,"ENSG00000117266","Non-neuronal",0.489,0.33,3.01465821490718,0.633,0.266,0,0
"66","CECR2",27443,"ENSG00000099954","Non-neuronal",0.835,0.791,3.24101549992334,0.731,0.462,0,0
"67","CELF4",56853,"ENSG00000101489","Neuronal",0.995,0.254,2.81805171655217,0.971,0.942,0,0
"68","CERCAM",51148,"ENSG00000167123","Non-neuronal",0.576,0.272,4.73412095805935,0.713,0.426,0,0
"69","CHD5",26038,"ENSG00000116254","Neuronal",0.975,0.133,3.49649787350948,0.975,0.95,0,0
"70","CHD7",55636,"ENSG00000171316","Non-neuronal",0.619,0.233,3.20223797734718,0.745,0.49,0,0
"71","CHRM3",1131,"ENSG00000133019","Neuronal",0.993,0.845,3.95892786686678,0.944,0.888,0,0
"72","CKMT1B",1159,"ENSG00000237289","Neuronal",0.866,0.026,4.04508819175177,0.927,0.854,0,0
"73","CLDN10",9071,"ENSG00000134873","Non-neuronal",0.397,0.399,2.68003451803782,0.543,0.0860000000000001,0,0
"74","CLDN11",5010,"ENSG00000013297","Non-neuronal",0.553,0.339,4.20303694318973,0.679,0.358,0,0
"75","CLDND1",56650,"ENSG00000080822","Non-neuronal",0.509,0.565,2.54340100670999,0.565,0.13,0,0
"76","CLIC4",25932,"ENSG00000169504","Non-neuronal",0.625,0.499,3.47348440652134,0.667,0.334,0,0
"77","CLMN",79789,"ENSG00000165959","Non-neuronal",0.544,0.297,3.34949564550535,0.679,0.358,0,0
"78","CNDP1",84735,"ENSG00000150656","Non-neuronal",0.533,0.258,5.30733807946476,0.694,0.388,0,0
"79","CNKSR3",154043,"ENSG00000153721","Non-neuronal",0.494,0.428,2.54625487885962,0.588,0.176,0,0
"80","CNR1",1268,"ENSG00000118432","Neuronal",0.669,0.047,3.68426693940088,0.82,0.64,0,0
"81","CNTN2",6900,"ENSG00000184144","Non-neuronal",0.457,0.442,2.65748977974649,0.579,0.158,0,0
"82","CNTN5",53942,"ENSG00000149972","Neuronal",0.996,0.875,3.07242750226131,0.887,0.774,0,0
"83","COL24A1",255631,"ENSG00000171502","Neuronal",0.897,0.541,3.10652152470639,0.791,0.582,0,0
"84","COL4A5",1287,"ENSG00000188153","Non-neuronal",0.635,0.434,5.15031907322392,0.716,0.432,0,0
"85","COL5A3",50509,"ENSG00000080573","Non-neuronal",0.47,0.536,2.85988665136642,0.528,0.056,0,0
"86","COL9A2",1298,"ENSG00000049089","Non-neuronal",0.493,0.053,4.81646679736392,0.732,0.464,0,0
"87","COLEC12",81035,"ENSG00000158270","Non-neuronal",0.372,0.334,3.07426955901001,0.556,0.112,2.26198857070144e-300,1.13735047323439e-295
"88","CORO6",84940,"ENSG00000167549","Neuronal",0.948,0.031,2.98154872333081,0.963,0.926,0,0
"89","CPM",1368,"ENSG00000135678","Non-neuronal",0.532,0.366,3.96187724119977,0.655,0.31,0,0
"90","CPNE4",131034,"ENSG00000196353","Neuronal",0.877,0.473,2.66301226329424,0.826,0.652,0,0
"91","CPNE9",151835,"ENSG00000144550","Neuronal",0.705,0.159,2.50324690307666,0.809,0.618,0,0
"92","CRYAB",1410,"ENSG00000109846","Non-neuronal",0.491,0.227,3.48618542473007,0.671,0.342,0,0
"93","CSF1R",1436,"ENSG00000182578","Non-neuronal",0.38,0.236,3.96731950270775,0.596,0.192,0,0
"94","CSRP1",1465,"ENSG00000159176","Non-neuronal",0.43,0.123,3.64521435646732,0.673,0.346,0,0
"95","CST3",1471,"ENSG00000101439","Non-neuronal",0.499,0.217,3.53213730116326,0.682,0.364,0,0
"96","CTNNA3",29119,"ENSG00000183230","Non-neuronal",0.952,0.991,2.67367183021841,0.573,0.146,2.81463717011142e-301,1.41522771550372e-296
"97","CUEDC1",404093,"ENSG00000180891","Non-neuronal",0.616,0.477,2.68509408259433,0.656,0.312,0,0
"98","CYP27A1",1593,"ENSG00000135929","Non-neuronal",0.413,0.213,2.96606949849159,0.628,0.256,0,0
"99","CYP4X1",260293,"ENSG00000186377","Neuronal",0.831,0.162,2.71646356468031,0.882,0.764,0,0
"100","DAAM2",23500,"ENSG00000146122","Non-neuronal",0.597,0.176,4.2458492179795,0.754,0.508,0,0
"101","DCLK1",9201,"ENSG00000133083","Neuronal",0.997,0.414,2.69157421456566,0.972,0.944,0,0
"102","DGCR5",26220,NA,"Neuronal",0.917,0.236,2.71036711750989,0.923,0.846,0,0
