"","gene","X","entrez_id","ensembl_gene_id","subclass","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj","hMC_overlap","used"
"1","ABCA1",1,19,"ENSG00000165029","VLMC",0.818,0.463,3.24464720636306,0.807,0.614,3.21120454648517e-07,0.0161462575801821,TRUE,TRUE
"2","ABCA10",2,10349,"ENSG00000154263","VLMC",1,0.696,3.05037462238906,0.998,0.996,6.71360122099399e-12,3.37566582992799e-07,FALSE,FALSE
"3","ABCA2",3,20,"ENSG00000107331","Oligodendrocyte",0.951,0.564,3.10599040228601,0.921,0.842,0,0,TRUE,TRUE
"4","ABCA4",4,24,"ENSG00000198691","VLMC",0.636,0.146,4.16472963147576,0.786,0.572,7.64819772336852e-11,3.84559029728692e-06,FALSE,FALSE
"5","ABCA6",5,23460,"ENSG00000154262","VLMC",1,0.553,3.17130700047905,0.968,0.936,1.71389701268234e-10,8.61764556946807e-06,FALSE,TRUE
"6","ABCA9",6,10350,"ENSG00000154258","VLMC",1,0.607,3.96130369149188,1,1,6.72267579750346e-19,3.38022861774271e-14,FALSE,FALSE
"7","ABCB1",7,5243,"ENSG00000085563","Endothelial",0.943,0.243,5.78500312064647,0.964,0.928,4.05861845481558e-206,2.04071394526582e-201,TRUE,TRUE
"8","ABCB5",8,340273,"ENSG00000004846","PAX6",0.636,0.298,2.78730765967834,0.725,0.45,4.00428320187689e-171,2.01339363673572e-166,FALSE,FALSE
"9","ABCC3",9,8714,"ENSG00000108846","L5/6 IT Car3",0.748,0.271,2.54799861707206,0.812,0.624,1.19422560255768e-244,6.00468575222028e-240,FALSE,TRUE
"10","ABCC4",10,10257,"ENSG00000125257","Microglia",0.9,0.671,3.85255223254632,0.867,0.734,0,0,TRUE,TRUE
"11","ABCC9",11,10060,"ENSG00000069431","Pericyte",0.625,0.365,3.29503205873109,0.711,0.422,4.42297672308702e-15,2.22391692613538e-10,TRUE,TRUE
"12","ABCG2",12,9429,"ENSG00000118777","Endothelial",0.957,0.496,5.77243155014902,0.965,0.93,0,0,TRUE,TRUE
"13","ABTB2",13,25841,"ENSG00000166016","Oligodendrocyte",0.637,0.438,3.03178390332852,0.698,0.396,0,0,FALSE,TRUE
"14","ACACB",14,32,"ENSG00000076555","Astrocyte",0.933,0.455,3.28581546068754,0.921,0.842,0,0,TRUE,TRUE
"15","ACBD7",15,414149,"ENSG00000176244","Astrocyte",0.378,0.084,3.3286091410486,0.66,0.32,0,0,TRUE,TRUE
"16","ACER2",16,340485,"ENSG00000177076","Endothelial",0.5,0.385,2.69909878948786,0.609,0.218,1.59021351111563e-13,7.99575255524049e-09,TRUE,FALSE
"17","ACOT11",17,26027,"ENSG00000162390","Astrocyte",0.869,0.43,2.82045817596097,0.852,0.704,0,0,TRUE,TRUE
"18","ACOX2",18,8309,"ENSG00000168306","VLMC",0.455,0.143,3.0512082253748,0.673,0.346,0.000388342630396167,1,TRUE,TRUE
"19","ACSBG1",19,23205,"ENSG00000103740","Astrocyte",0.928,0.24,4.4152667298697,0.948,0.896,0,0,TRUE,TRUE
"20","ACSF2",20,80221,"ENSG00000167107","Astrocyte",0.42,0.144,2.95131577498479,0.66,0.32,0,0,FALSE,TRUE
"21","ACSL5",21,51703,"ENSG00000197142","Endothelial",0.414,0.248,2.71732136851421,0.601,0.202,5.84814722803097e-07,0.0294050690772625,TRUE,TRUE
"22","ACSS1",22,84532,"ENSG00000154930","Astrocyte",0.928,0.101,3.78578161873765,0.949,0.898,0,0,TRUE,TRUE
"23","ACVR1",23,90,"ENSG00000115170","Endothelial",0.8,0.658,2.73024624509171,0.739,0.478,1.05056045471397e-30,5.28232302234731e-26,TRUE,TRUE
"24","ADAM28",24,10863,"ENSG00000042980","Microglia",0.879,0.085,5.73691803687398,0.93,0.86,0,0,TRUE,TRUE
"25","ADAMTS3",25,9508,"ENSG00000156140","IT",0.816,0.387,2.68530341891753,0.821,0.642,0,0,TRUE,TRUE
"26","ADAMTS4",26,9507,"ENSG00000158859","Oligodendrocyte",0.351,0.047,3.5937637219006,0.658,0.316,0,0,TRUE,TRUE
"27","ADAMTS9.AS2",27,NA,NA,"Pericyte",0.844,0.441,2.57752035704794,0.823,0.646,1.87993150241277e-14,9.45248358728163e-10,TRUE,TRUE
"28","ADAMTSL1",28,92949,"ENSG00000178031","L6 CT",0.992,0.803,3.02271929654557,0.963,0.926,0,0,TRUE,TRUE
"29","ADAMTSL2",29,9719,"ENSG00000197859","Microglia",0.453,0.281,2.70547291370471,0.628,0.256,1.62590026952747e-190,8.1751891452111e-186,FALSE,FALSE
"30","ADAP2",30,55803,"ENSG00000184060","Microglia",0.617,0.243,5.01392323305156,0.754,0.508,0,0,TRUE,TRUE
"31","ADCY4",31,196883,"ENSG00000129467, ENSG00000284814","Endothelial",0.414,0.033,4.4365142746628,0.697,0.394,8.21988845240686e-107,4.13304211275469e-102,TRUE,TRUE
"32","ADCY7",32,113,"ENSG00000121281","Microglia",0.509,0.303,3.25229455461011,0.655,0.31,5.01574147332682e-226,2.52196497020346e-221,TRUE,TRUE
"33","ADGRA3",33,166647,"ENSG00000152990","Astrocyte",0.864,0.341,2.9324722954601,0.868,0.736,0,0,TRUE,TRUE
"34","ADGRL4",34,64123,"ENSG00000162618","Endothelial",0.771,0.103,5.90772130216668,0.873,0.746,3.79479131255306e-226,1.9080590198648e-221,TRUE,TRUE
"35","ADGRV1",35,84059,"ENSG00000164199","Astrocyte",1,0.8,4.59207199116621,1,1,0,0,TRUE,TRUE
