"","gene","entrez_id","ensembl_gene_id","subclass","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"1","AARD",441376,"ENSG00000205002","LAMP5",0.382,0.049,2.28193216183607,0.672,0.344,0,0
"2","AASS",10157,"ENSG00000008311","Astrocyte",0.799,0.211,2.25279922409035,0.843,0.686,0,0
"3","ABCA1",19,"ENSG00000165029","VLMC",0.818,0.463,3.24464720636306,0.807,0.614,3.21283766588856e-07,0.0161544690678543
"4","ABCA10",10349,"ENSG00000154263","VLMC",1,0.696,3.05037462238906,0.998,0.996,6.71910644619705e-12,3.37843391221234e-07
"5","ABCA2",20,"ENSG00000107331","Oligodendrocyte",0.951,0.564,3.10599040228601,0.921,0.842,0,0
"6","ABCA4",24,"ENSG00000198691","VLMC",0.636,0.146,4.16472963147576,0.786,0.572,7.66698252352762e-11,3.85503548265492e-06
"7","ABCA6",23460,"ENSG00000154262","VLMC",1,0.553,3.17130700047905,0.968,0.936,1.71536257773954e-10,8.62501457713219e-06
"8","ABCA9",10350,"ENSG00000154258","VLMC",1,0.607,3.96130369149188,1,1,6.73268620524144e-19,3.38526195085745e-14
"9","ABCB1",5243,"ENSG00000085563","Endothelial",0.943,0.243,5.78500312064647,0.964,0.928,4.14148208956862e-206,2.082378609456e-201
"10","ABCB11",8647,"ENSG00000276582, ENSG00000073734","L5 ET",0.427,0.067,2.43430920533114,0.691,0.382,3.70443152161301e-44,1.86262521338224e-39
"11","ABCB5",340273,"ENSG00000004846","PAX6",0.636,0.298,2.78730765967834,0.725,0.45,5.14477304290527e-171,2.5868433337032e-166
"12","ABCC3",8714,"ENSG00000108846","L5/6 IT Car3",0.748,0.271,2.54799861707206,0.812,0.624,7.30820445417238e-245,3.67463828160242e-240
"13","ABCC4",10257,"ENSG00000125257","Microglia",0.9,0.671,3.85255223254632,0.867,0.734,0,0
"14","ABCC9",10060,"ENSG00000069431","Pericyte",0.625,0.365,3.29503205873109,0.711,0.422,4.42786167887058e-15,2.22637313075292e-10
"15","ABI3BP",25890,"ENSG00000154175","VIP",0.366,0.337,2.16572646873457,0.528,0.056,2.56810773043283e-72,1.29127024793893e-67
"16","ABLIM3",22885,"ENSG00000173210","Endothelial",0.514,0.538,2.15958174285349,0.573,0.146,2.03923018089567e-14,1.02534532725615e-09
"17","ABO",28,"ENSG00000281879, ENSG00000175164","L6 CT",0.762,0.153,2.08302335546926,0.83,0.66,1.07599371535552e-302,5.41020400017908e-298
"18","ABTB1",80325,"ENSG00000114626","Pericyte",0.312,0.38,2.34489215635636,0.518,0.036,1.38988380776365e-11,6.98847477381643e-07
"19","ABTB2",25841,"ENSG00000166016","Oligodendrocyte",0.637,0.438,3.03178390332852,0.698,0.396,0,0
"20","ACACB",32,"ENSG00000076555","Astrocyte",0.933,0.455,3.28581546068754,0.921,0.842,0,0
"21","ACBD7",414149,"ENSG00000176244","Astrocyte",0.378,0.084,3.3286091410486,0.66,0.32,0,0
"22","ACER2",340485,"ENSG00000177076","Endothelial",0.5,0.385,2.69909878948786,0.609,0.218,1.59165571347328e-13,8.003004092915e-09
"23","ACOT11",26027,"ENSG00000162390","Astrocyte",0.869,0.43,2.82045817596097,0.852,0.704,0,0
"24","ACOX2",8309,"ENSG00000168306","VLMC",0.455,0.143,3.0512082253748,0.673,0.346,0.000388703678447539,1
"25","ACSBG1",23205,"ENSG00000103740","Astrocyte",0.928,0.24,4.4152667298697,0.948,0.896,0,0
"26","ACSF2",80221,"ENSG00000167107","Astrocyte",0.42,0.144,2.95131577498479,0.66,0.32,0,0
"27","ACSL5",51703,"ENSG00000197142","Endothelial",0.414,0.248,2.71732136851421,0.601,0.202,5.85098631772733e-07,0.0294193443041648
"28","ACSS1",84532,"ENSG00000154930","Astrocyte",0.928,0.101,3.78578161873765,0.949,0.898,0,0
"29","ACTB",60,"ENSG00000075624","Pericyte",0.969,0.826,2.29363071734889,0.804,0.608,4.85193636740598e-12,2.4396021248954e-07
"30","ACTN4",81,"ENSG00000282844, ENSG00000130402","Endothelial",0.7,0.637,2.31229789752348,0.646,0.292,9.94291551931131e-18,4.99939735226492e-13
"31","ACVR1",90,"ENSG00000115170","Endothelial",0.8,0.658,2.73024624509171,0.739,0.478,1.05174163495361e-30,5.28826211471025e-26
"32","ADAM19",8728,"ENSG00000135074","VLMC",0.455,0.502,2.42731923260052,0.568,0.136,0.000205913741075991,1
"33","ADAM28",10863,"ENSG00000042980","Microglia",0.879,0.085,5.73691803687398,0.93,0.86,0,0
"34","ADAMTS17",170691,"ENSG00000140470","OPC",0.872,0.563,2.28376881201002,0.83,0.66,0,0
"35","ADAMTS3",9508,"ENSG00000156140","IT",0.816,0.387,2.68530341891753,0.821,0.642,0,0
"36","ADAMTS4",9507,"ENSG00000158859","Oligodendrocyte",0.351,0.047,3.5937637219006,0.658,0.316,0,0
"37","ADAMTS6",11174,"ENSG00000049192","VIP",0.775,0.59,2.37682483998718,0.737,0.474,0,0
"38","ADAMTSL1",92949,"ENSG00000178031","L6 CT",0.992,0.803,3.02271929654557,0.963,0.926,0,0
"39","ADAMTSL2",9719,"ENSG00000197859","Microglia",0.453,0.281,2.70547291370471,0.628,0.256,1.63793245875043e-190,8.23568819584301e-186
"40","ADCY4",196883,"ENSG00000284814, ENSG00000129467","Endothelial",0.414,0.033,4.4365142746628,0.697,0.394,9.86829688753971e-107,4.96187835802384e-102
"41","ADCY6",112,"ENSG00000174233","Pericyte",0.438,0.571,2.17490757168826,0.474,0.052,0.000194653640913641,1
"42","ADCY7",113,"ENSG00000121281","Microglia",0.509,0.303,3.25229455461011,0.655,0.31,5.04528959174971e-226,2.53682205962767e-221
"43","ADD3.AS1",NA,"NA","Astrocyte",0.602,0.253,2.41982723516061,0.717,0.434,1.11426913514392e-282,5.60265663841714e-278
"44","ADGRA3",166647,"ENSG00000152990","Astrocyte",0.864,0.341,2.9324722954601,0.868,0.736,0,0
"45","ADGRL4",64123,"ENSG00000162618","Endothelial",0.771,0.103,5.90772130216668,0.873,0.746,4.13461703324354e-226,2.07892679048519e-221
"46","ADGRV1",84059,"ENSG00000164199","Astrocyte",1,0.8,4.59207199116621,1,1,0,0
"47","ADHFE1",137872,"ENSG00000147576","Astrocyte",0.72,0.27,2.37526119128491,0.778,0.556,0,0
"48","ADIRF",10974,"ENSG00000148671","Pericyte",0.562,0.033,4.90236993427739,0.774,0.548,4.17032294123801e-34,2.09688007808388e-29
"49","ADORA2A.AS1",NA,"NA","Pericyte",0.5,0.573,2.88708054113841,0.531,0.0620000000000001,5.71203663486381e-15,2.87206914037587e-10
"50","ADORA2B",136,"ENSG00000170425","Astrocyte",0.481,0.211,3.49056349758335,0.673,0.346,0,0
"51","ADPGK",83440,"ENSG00000159322","Microglia",0.413,0.389,2.2070424833111,0.56,0.12,2.12801066326079e-98,1.06998504159416e-93
"52","AFAP1L1",134265,"ENSG00000157510","Endothelial",0.386,0.116,4.33105342386263,0.653,0.306,8.21603220532769e-46,4.13110315316081e-41
"53","AFF1",4299,"ENSG00000172493","Microglia",0.779,0.725,2.10537903799187,0.665,0.33,5.61952289099084e-117,2.8255523048191e-112
"54","AFMID",125061,"ENSG00000183077","Oligodendrocyte",0.501,0.375,2.1507819168238,0.613,0.226,2.88310894545728e-298,1.44965600886537e-293
"55","AGBL2",79841,"ENSG00000285501, ENSG00000165923","VLMC",0.273,0.477,2.17131446519008,0.454,0.092,5.01342602950517e-07,0.0252080074189549
"56","AGRN",375790,"ENSG00000188157","Pericyte",0.688,0.453,2.24938204041929,0.713,0.426,8.7812822896112e-14,4.41531654803941e-09
"57","AGT",183,"ENSG00000135744","Astrocyte",0.607,0.027,4.13100248239897,0.795,0.59,0,0
"58","AHCYL1",10768,"ENSG00000168710","Astrocyte",0.897,0.643,2.02301336002668,0.827,0.654,0,0
"59","AHCYL2",23382,"ENSG00000158467","Astrocyte",0.989,0.873,2.0930864296112,0.916,0.832,0,0
"60","AIF1",199,"ENSG00000235588, ENSG00000235985, ENSG00000234836, ENSG00000237727, ENSG00000206428, ENSG00000204472","Microglia",0.428,0.008,5.50010272741182,0.712,0.424,0,0
"61","AIFM3",150209,"ENSG00000183773","Astrocyte",0.655,0.224,3.16664335920399,0.769,0.538,0,0
"62","AKAP13",11214,"ENSG00000170776","Microglia",0.952,0.835,2.54158446016666,0.834,0.668,3.16240906777914e-303,1.59009090337003e-298
"63","AKAP7",9465,"ENSG00000118507","VLMC",0.909,0.724,3.08149134336643,0.862,0.724,2.44791087866507e-08,0.00123083406890158
"64","AKIRIN1",79647,"ENSG00000174574","VLMC",0.364,0.469,2.07397500107298,0.462,0.076,NA,NA
"65","AKR1A1",10327,"ENSG00000117448","Microglia",0.384,0.424,2.17183988477067,0.508,0.016,3.75934413417741e-40,1.89023582410574e-35
"66","AKR1C1",1645,"ENSG00000187134","VLMC",0.727,0.174,2.65336551270613,0.811,0.622,3.74901346879201e-06,0.188504146224331
"67","AKR1C2",1646,"ENSG00000151632","VLMC",0.909,0.182,4.2733596878142,0.934,0.868,2.41285337276362e-15,1.21320680435928e-10
"68","ALDH1A2",8854,"ENSG00000128918","VLMC",0.818,0.25,3.88526431703252,0.863,0.726,1.48666870173986e-11,7.47511889921818e-07
"69","ALDH1L1",10840,"ENSG00000144908","Astrocyte",0.728,0.071,4.14093055289359,0.85,0.7,0,0
"70","ALOX5",240,"ENSG00000275565, ENSG00000012779","Microglia",0.623,0.248,4.70374005475986,0.754,0.508,0,0
"71","ALOX5AP",241,"ENSG00000132965","Microglia",0.369,0.132,5.11975638658556,0.64,0.28,0,0
"72","ALPL",249,"ENSG00000162551","Endothelial",0.7,0.276,4.82775668587215,0.789,0.578,1.08520073103902e-127,5.4564977957373e-123
"73","AMER2",219287,"ENSG00000165566","Oligodendrocyte",0.77,0.405,2.55461747832257,0.789,0.578,0,0
