"","gene","entrez_id","cluster","adapted_cluster_name","pct.1","pct.2","avg_logFC","MAST_p_val","MAST_p_val_adj","roc_myAUC","roc_power"
"1","AARD",441376,"Inh_LAMP5","LAMP5.PAX6.Other",0.455,0.042,2.60919374724686,8.70226113877034e-156,4.37558392318511e-151,0.712,0.424
"2","ABCA1",19,"VLMC_CYP1B1","VLMC_CYP1B1",0.818,0.431,2.81005313873267,1.62118946046821e-05,0.815150272618018,0.796,0.592
"3","ABCA10",10349,"VLMC_CYP1B1","VLMC_CYP1B1",1,0.466,3.64078803855346,2.41685680838477e-14,1.21521977182395e-09,0.999,0.998
"4","ABCA2",20,"Oligo","Oligo",0.951,0.439,3.14351122260307,0,0,0.928,0.856
"5","ABCA4",24,"VLMC_CYP1B1","VLMC_CYP1B1",0.636,0.091,4.77789182190879,2.88285832410267e-16,1.44952999394206e-11,0.799,0.598
"6","ABCA6",23460,"VLMC_CYP1B1","VLMC_CYP1B1",1,0.35,3.62878849618424,1.21154724073884e-12,6.09178068115894e-08,0.98,0.96
"7","ABCA9",10350,"VLMC_CYP1B1","VLMC_CYP1B1",1,0.394,4.53376919659379,1.01584130608204e-21,5.1077516711111e-17,1,1
"8","ABCB1",5243,"Endo_CLDN5","Endothelial",0.943,0.185,5.95829240554236,1.41749169482116e-185,7.12728999073026e-181,0.966,0.932
"9","ABCB5",340273,"Inh_PAX6","LAMP5.PAX6.Other",0.576,0.255,2.58359640100819,9.96586332053114e-51,5.01093573619626e-46,0.704,0.408
"10","ABCC4",10257,"Micro_C1QC","Microglia",0.9,0.614,3.57855456951536,0,0,0.868,0.736
"11","ABCC9",10060,"Peri_MUSTN1","Peri_MUSTN1",0.625,0.289,3.17623863739279,1.84592921950988e-13,9.28151670861763e-09,0.727,0.454
"12","ABCG2",9429,"Endo_CLDN5","Endothelial",0.957,0.433,5.11273499531568,0,0,0.964,0.928
"13","ABI3BP",25890,"Inh_VIP","VIP",0.366,0.285,2.54806957707683,4.0323692441934e-62,2.02751557967288e-57,0.565,0.13
"14","ACACB",32,"Astro_FGFR3","Astrocyte",0.934,0.409,2.68730523204865,0,0,0.91,0.82
"15","ACBD7",414149,"Astro_FGFR3","Astrocyte",0.379,0.065,3.29106217820731,3.99479908407704e-293,2.00862492746477e-288,0.666,0.332
"16","ACER2",340485,"Endo_CLDN5","Endothelial",0.5,0.277,2.95270726755218,3.91626251025603e-17,1.96913595278183e-12,0.65,0.3
"17","ACOT11",26027,"Astro_FGFR3","Astrocyte",0.87,0.347,2.97365231660893,0,0,0.868,0.736
"18","ACOX2",8309,"VLMC_CYP1B1","VLMC_CYP1B1",0.455,0.126,2.55952918770477,0.00352424588214722,1,0.676,0.352
"19","ACSBG1",23205,"Astro_FGFR3","Astrocyte",0.928,0.188,3.88142957015191,0,0,0.946,0.892
"20","ACSL5",51703,"Endo_CLDN5","Endothelial",0.414,0.187,2.68515907687637,1.57649505739622e-08,0.000792677479809393,0.626,0.252
"21","ACSS1",84532,"Astro_FGFR3","Astrocyte",0.928,0.136,2.97220640475343,0,0,0.934,0.868
"22","ACVR1",90,"Endo_CLDN5","Endothelial",0.8,0.592,2.65009424769617,1.06666951430479e-32,5.36332098487592e-28,0.756,0.512
"23","ADAM19",8728,"VLMC_CYP1B1","VLMC_CYP1B1",0.455,0.375,2.50018324792351,0.000366380039276171,1,0.608,0.216
"24","ADAM28",10863,"Micro_C1QC","Microglia",0.879,0.064,5.82068306624238,0,0,0.933,0.866
"25","ADAMTS12",81792,"VLMC_CYP1B1","VLMC_CYP1B1",1,0.345,6.04189286127364,2.26875453056732e-73,1.14075246551455e-68,0.999,0.998
"26","ADAMTS3",9508,"Pyramidal","Pyramidal",0.746,0.272,3.0770904158779,0,0,0.812,0.624
"27","ADAMTS4",9507,"Oligo","Oligo",0.351,0.044,3.40459937125722,0,0,0.659,0.318
"28","ADAMTS9-AS2",100507098,"Peri_MUSTN1","Peri_MUSTN1",0.844,0.412,2.56932956983765,5.76973983042627e-14,2.90108288413663e-09,0.824,0.648
"29","ADAMTSL2",9719,"Micro_C1QC","Microglia",0.453,0.252,2.53634938767881,1.41785474502357e-138,7.12911544345302e-134,0.635,0.27
"30","ADAP2",55803,"Micro_C1QC","Microglia",0.617,0.209,4.66771698920425,0,0,0.759,0.518
"31","ADCY4",196883,"Endo_CLDN5","Endothelial",0.414,0.027,4.38029375827262,5.391463235173e-68,2.71088162927734e-63,0.699,0.398
"32","ADCY7",113,"Micro_C1QC","Microglia",0.509,0.219,3.41878537032208,2.42814885628604e-201,1.22089752642919e-196,0.682,0.364
"33","ADGRA3",166647,"Astro_FGFR3","Astrocyte",0.864,0.27,2.85041723507864,0,0,0.877,0.754
"34","ADGRL4",64123,"Endo_CLDN5","Endothelial",0.771,0.079,5.89475787692365,3.91516028598424e-167,1.96858174339573e-162,0.875,0.75
"35","ADGRV1",84059,"Astro_FGFR3","Astrocyte",1,0.688,4.88157706165051,0,0,1,1
"36","ADIRF",10974,"Peri_MUSTN1","Peri_MUSTN1",0.562,0.053,4.3385195611203,2.85113501162596e-26,1.43357919519565e-21,0.769,0.538
"37","ADORA2A-AS1",646023,"Peri_MUSTN1","Peri_MUSTN1",0.5,0.498,2.92922511570738,1.28628555627551e-13,6.46757240550892e-09,0.55,0.1
"38","ADORA2B",136,"Astro_FGFR3","Astrocyte",0.481,0.169,3.36542547448589,1.16485857319991e-319,5.85702539190645e-315,0.684,0.368
"39","ADTRP",84830,"Pyramidal","Pyramidal",0.445,0.039,2.90536289070321,0,0,0.709,0.418
"40","AFAP1L1",134265,"Endo_CLDN5","Endothelial",0.386,0.092,4.38872590492579,1.07104577811064e-45,5.3853252769181e-41,0.662,0.324
"41","AGT",183,"Astro_FGFR3","Astrocyte",0.608,0.032,3.6870804284602,0,0,0.793,0.586
"42","AIF1",199,"Micro_C1QC","Microglia",0.428,0.01,5.42369087762714,0,0,0.711,0.422
"43","AIF1L",83543,"Oligo","Oligo",0.41,0.142,2.5082986937232,5.6380340215062e-281,2.83485988635353e-276,0.653,0.306
"44","AIFM3",150209,"Astro_FGFR3","Astrocyte",0.656,0.109,3.89598851703182,0,0,0.801,0.602
"45","AKAP13",11214,"Micro_C1QC","Microglia",0.952,0.758,2.52335764123959,1.62656572316304e-304,8.17853511263611e-300,0.848,0.696
"46","AKAP7",9465,"VLMC_CYP1B1","VLMC_CYP1B1",0.909,0.615,2.92726014116079,2.60534754800198e-07,0.0130999480061088,0.864,0.728
"47","AKR1C1",1645,"VLMC_CYP1B1","VLMC_CYP1B1",0.727,0.141,2.62160178152287,3.2848740926689e-06,0.165166754253485,0.816,0.632
"48","AKR1C2",1646,"VLMC_CYP1B1","VLMC_CYP1B1",0.909,0.138,4.25782900632145,8.19420721835738e-15,4.12012933146227e-10,0.937,0.874
"49","ALDH1A1",216,"VLMC_CYP1B1","VLMC_CYP1B1",0.364,0.063,3.25041372470046,0.00107569550850055,1,0.657,0.314
"50","ALDH1A2",8854,"VLMC_CYP1B1","VLMC_CYP1B1",0.818,0.192,4.04063208522713,8.75558014748838e-12,4.40239325395863e-07,0.871,0.742
"51","ALDH1L1",10840,"Astro_FGFR3","Astrocyte",0.728,0.061,3.87466321212897,0,0,0.85,0.7
"52","ALOX5",240,"Micro_C1QC","Microglia",0.623,0.184,4.5239300565779,0,0,0.767,0.534
"53","ALOX5AP",241,"Micro_C1QC","Microglia",0.369,0.115,4.97881811055294,0,0,0.645,0.29
"54","ALPK1",80216,"Micro_C1QC","Microglia",0.471,0.249,3.45852605627392,8.4378040544436e-182,4.24261225661479e-177,0.647,0.294
"55","ALPL",249,"Endo_CLDN5","Endothelial",0.7,0.218,4.80059075801574,4.63138366285921e-116,2.32870601952224e-111,0.799,0.598
"56","AMOTL1",154810,"VLMC_CYP1B1","VLMC_CYP1B1",0.909,0.298,3.15642854603639,2.13815538799659e-09,0.000107508591063857,0.913,0.826
"57","AMZ2",51321,"Astro_FGFR3","Astrocyte",0.986,0.59,2.82239397876925,0,0,0.949,0.898
"58","ANGPTL4",51129,"Astro_FGFR3","Astrocyte",0.432,0.103,3.6291344087137,2.6169743238766e-317,1.31584085978839e-312,0.681,0.362
"59","ANKRD29",147463,"Endo_CLDN5","Endothelial",0.643,0.35,2.94800088913114,1.0975537783689e-28,5.51861015301665e-24,0.728,0.456
"60","ANLN",54443,"Oligo","Oligo",0.793,0.149,4.22041363500202,0,0,0.871,0.742
