"","subclass","term","estimate","std.error","statistic","p.value","dataset","mapping","filtering","class"
"1","Astro","factor(msex)1",1.13256223302592,0.583617271792039,1.94059067091745,0.10998760097335,"Cain","M1","Unfiltered","Non-Neuronal"
"2","Astro","LOADAD",-0.133312534488452,0.942659357125455,-0.141421748461687,0.89305814416985,"Cain","M1","Unfiltered","Non-Neuronal"
"3","Astro","factor(msex)1",-0.697995797632581,0.538991254636789,-1.29500393861296,0.221839437942096,"Zhou","M1","Unfiltered","Non-Neuronal"
"4","Astro","(Intercept)",-0.392258742319795,0.680566117210539,-0.576371247995066,0.58933709154367,"Cain","M1","Filtered","Non-Neuronal"
"5","Astro","scale(age_death)",-0.054741216482492,0.219291718834194,-0.249627376599122,0.805421486063308,"Mathys","M1","Unfiltered","Non-Neuronal"
"6","Astro","LOADAD",0.355254773126444,0.469956461034524,0.755931245938008,0.458502136908749,"Mathys","M1","Filtered","Non-Neuronal"
"7","Astro","scale(age_death)",0.709756737399157,0.486594851294289,1.45861949733188,0.204477156059402,"Cain","M1","Filtered","Non-Neuronal"
"8","Astro","scale(pmi)",-0.0600228321596237,0.228944726493494,-0.262171717509857,0.795870409373045,"Mathys","M1","Unfiltered","Non-Neuronal"
"9","Astro","scale(pmi)",-0.0661486155422136,0.223730835160504,-0.295661594856867,0.770536351368991,"Mathys","M1","Filtered","Non-Neuronal"
"10","Astro","scale(pmi)",-0.14542900507381,0.273516849276338,-0.531700352130341,0.605504787461619,"Zhou","M1","Unfiltered","Non-Neuronal"
"11","Astro","(Intercept)",0.184266742418357,0.40348127211977,0.456692181647674,0.656778404918516,"Zhou","M1","Filtered","Non-Neuronal"
"12","Astro","scale(pmi)",-0.382553430266838,0.355154474698643,-1.07714658696457,0.330617508595525,"Cain","M1","Unfiltered","Non-Neuronal"
"13","Astro","(Intercept)",0.078468960400872,0.393607258967025,0.199358519471425,0.845619605715578,"Zhou","M1","Unfiltered","Non-Neuronal"
"14","Astro","factor(msex)1",-0.720423958229052,0.552512363854809,-1.30390558720305,0.218892084359912,"Zhou","M1","Filtered","Non-Neuronal"
"15","Astro","scale(age_death)",0.183907254912528,0.267367693622393,0.68784396656487,0.505796626270372,"Zhou","M1","Filtered","Non-Neuronal"
"16","Astro","LOADAD",0.132362043967817,0.480908469135296,0.275233339528855,0.785960372812462,"Mathys","M1","Unfiltered","Non-Neuronal"
"17","Astro","scale(age_death)",0.196940952680535,0.260824658527908,0.755070298153817,0.466066554182657,"Zhou","M1","Unfiltered","Non-Neuronal"
"18","Astro","(Intercept)",0.115728895690649,0.465788852395689,0.248457847574972,0.806313568820775,"Mathys","M1","Unfiltered","Non-Neuronal"
"19","Astro","(Intercept)",-0.0309431338731762,0.455181172115366,-0.06797981939669,0.946476740012932,"Mathys","M1","Filtered","Non-Neuronal"
