"","subclass","term","estimate","std.error","statistic","p.value","dataset","class","class_color","mapping","filtering"
"1","ASTRO","(Intercept)",-0.0309431338731762,0.455181172115366,-0.06797981939669,0.946476740012932,"Mathys","Non-Neuronal","#171799","M1","Filtered"
"2","ASTRO","scale(age_death)",-0.0399927261826295,0.214297661055542,-0.186622317694191,0.853836794442315,"Mathys","Non-Neuronal","#171799","M1","Filtered"
"3","ASTRO","factor(msex)1",-0.409208168599476,0.437598658584035,-0.935122081780543,0.360879770982341,"Mathys","Non-Neuronal","#171799","M1","Filtered"
"4","ASTRO","scale(pmi)",-0.0661486155422136,0.223730835160504,-0.295661594856867,0.770536351368991,"Mathys","Non-Neuronal","#171799","M1","Filtered"
"5","ASTRO","LOADAD",0.355254773126444,0.469956461034524,0.755931245938008,0.458502136908749,"Mathys","Non-Neuronal","#171799","M1","Filtered"
"6","ASTRO","LOADAD",-0.148893188454432,1.01216549979603,-0.147103599642979,0.888797833803997,"Cain","Non-Neuronal","#171799","M1","Filtered"
"7","ASTRO","scale(pmi)",-0.154307108152683,0.280378280069916,-0.550353287402307,0.593077018514142,"Zhou","Non-Neuronal","#171799","M1","Filtered"
"8","ASTRO","(Intercept)",0.184266742418357,0.40348127211977,0.456692181647674,0.656778404918516,"Zhou","Non-Neuronal","#171799","M1","Filtered"
"9","ASTRO","scale(age_death)",0.183907254912528,0.267367693622393,0.68784396656487,0.505796626270372,"Zhou","Non-Neuronal","#171799","M1","Filtered"
"10","ASTRO","factor(msex)1",-0.720423958229052,0.552512363854809,-1.30390558720305,0.218892084359912,"Zhou","Non-Neuronal","#171799","M1","Filtered"
"11","ASTRO","(Intercept)",-0.392258742319795,0.680566117210539,-0.576371247995066,0.58933709154367,"Cain","Non-Neuronal","#171799","M1","Filtered"
"12","ASTRO","LOADAD",0.171784483835075,0.526744189467971,0.326125066531029,0.75045001753849,"Zhou","Non-Neuronal","#171799","M1","Filtered"
"13","ASTRO","factor(msex)1",0.933410673094021,0.626649768156251,1.48952528274339,0.196529266483573,"Cain","Non-Neuronal","#171799","M1","Filtered"
"14","ASTRO","scale(pmi)",-0.347764106358662,0.381341471519822,-0.911949348106991,0.403621137359933,"Cain","Non-Neuronal","#171799","M1","Filtered"
"15","ASTRO","scale(age_death)",0.709756737399157,0.486594851294289,1.45861949733188,0.204477156059402,"Cain","Non-Neuronal","#171799","M1","Filtered"
"16","ENDO","scale(age_death)",-0.0219201032009766,0.21510901331956,-0.101902299967378,0.919848969184953,"Mathys","Non-Neuronal","#171799","M1","Filtered"
"17","ENDO","(Intercept)",0.24077316135709,0.284308245140344,0.846873650246185,0.415110512109878,"Zhou","Non-Neuronal","#171799","M1","Filtered"
"18","ENDO","scale(age_death)",0.00575642818009576,0.188397442542114,0.0305547044716861,0.976172001068993,"Zhou","Non-Neuronal","#171799","M1","Filtered"
"19","ENDO","(Intercept)",-0.336058919722623,0.456904533316392,-0.735512334017297,0.470565835462338,"Mathys","Non-Neuronal","#171799","M1","Filtered"
"20","ENDO","(Intercept)",-0.510187097540889,0.637395078085366,-0.800425223039705,0.45978917451904,"Cain","Non-Neuronal","#171799","M1","Filtered"
"21","ENDO","factor(msex)1",0.248006966451938,0.439255450639647,0.564607601546637,0.578618848742104,"Mathys","Non-Neuronal","#171799","M1","Filtered"
"22","ENDO","scale(pmi)",-0.231306135852443,0.224577902360136,-1.02995946360527,0.315324609830467,"Mathys","Non-Neuronal","#171799","M1","Filtered"
"23","ENDO","LOADAD",0.339086837227645,0.471735762949308,0.718806721601226,0.480574592228716,"Mathys","Non-Neuronal","#171799","M1","Filtered"
"24","ENDO","LOADAD",1.10661082913994,0.947959781515576,1.16736052596105,0.295701520784636,"Cain","Non-Neuronal","#171799","M1","Filtered"
"25","ENDO","scale(pmi)",-0.128004615532015,0.197565196429943,-0.647910754753843,0.530333750060318,"Zhou","Non-Neuronal","#171799","M1","Filtered"
"26","ENDO","LOADAD",0.543728912688581,0.371163983296496,1.46492908029343,0.170929164366285,"Zhou","Non-Neuronal","#171799","M1","Filtered"
"27","ENDO","factor(msex)1",-0.0862366340581606,0.586898859354418,-0.146936107786987,0.888923360865949,"Cain","Non-Neuronal","#171799","M1","Filtered"
"28","ENDO","factor(msex)1",-1.36703364720368,0.389321218703986,-3.51132581921532,0.00487222048801345,"Zhou","Non-Neuronal","#171799","M1","Filtered"
"29","ENDO","scale(age_death)",-0.886866654900765,0.455728187744486,-1.94604301149352,0.109222186647483,"Cain","Non-Neuronal","#171799","M1","Filtered"
"30","ENDO","scale(pmi)",-0.710310360801295,0.357151452106998,-1.98882114747358,0.10340564607315,"Cain","Non-Neuronal","#171799","M1","Filtered"
"31","L2/3 IT","scale(age_death)",0.269687677265079,0.213212471616225,1.26487759004317,0.220455635435658,"Mathys","Glutamatergic","#3DCC3D","M1","Filtered"
"32","L2/3 IT","scale(pmi)",-0.148510094584251,0.2225978767401,-0.667167615249305,0.512289870903043,"Mathys","Glutamatergic","#3DCC3D","M1","Filtered"
"33","L2/3 IT","factor(msex)1",0.520388304305158,0.603886419841659,0.861732086046256,0.407228069607369,"Zhou","Glutamatergic","#3DCC3D","M1","Filtered"
"34","L2/3 IT","factor(msex)1",0.366775800522078,0.435382687394168,0.842421646844268,0.409513428578447,"Mathys","Glutamatergic","#3DCC3D","M1","Filtered"
"35","L2/3 IT","(Intercept)",-0.103623576180541,0.440998024358411,-0.234975148315683,0.818544854729419,"Zhou","Glutamatergic","#3DCC3D","M1","Filtered"
"36","L2/3 IT","scale(age_death)",-0.0928943290129052,0.292228246543596,-0.317882785499473,0.756526922091201,"Zhou","Glutamatergic","#3DCC3D","M1","Filtered"
"37","L2/3 IT","(Intercept)",-0.0170469013459692,0.452876164218767,-0.0376414187648315,0.970346773956692,"Mathys","Glutamatergic","#3DCC3D","M1","Filtered"
"38","L2/3 IT","(Intercept)",1.31416117623239,0.610136711366674,2.15387986290604,0.083832834807278,"Cain","Glutamatergic","#3DCC3D","M1","Filtered"
"39","L2/3 IT","scale(age_death)",0.860849916479122,0.436238852961891,1.97334536030958,0.105471760671669,"Cain","Glutamatergic","#3DCC3D","M1","Filtered"
"40","L2/3 IT","factor(msex)1",-0.346836844827676,0.561799976596929,-0.617367140042653,0.564019927348744,"Cain","Glutamatergic","#3DCC3D","M1","Filtered"
"41","L2/3 IT","LOADAD",-0.248446067038482,0.46757663203433,-0.531348339538577,0.601029592674083,"Mathys","Glutamatergic","#3DCC3D","M1","Filtered"
"42","L2/3 IT","LOADAD",-2.28148550763711,0.907420034273188,-2.51425516460467,0.0535489280829808,"Cain","Glutamatergic","#3DCC3D","M1","Filtered"
"43","L2/3 IT","scale(pmi)",-0.319116432154415,0.306448591614282,-1.04133757141256,0.320065858508933,"Zhou","Glutamatergic","#3DCC3D","M1","Filtered"
"44","L2/3 IT","LOADAD",-0.183044075867787,0.575722252676683,-0.317938163787776,0.756486034598866,"Zhou","Glutamatergic","#3DCC3D","M1","Filtered"
