"","subclass","term","estimate","std.error","statistic","p.value","dataset","class","class_color","mapping","filtering"
"1","ASTRO","(Intercept)",0.115728895690649,0.465788852395689,0.248457847574972,0.806313568820775,"Mathys","Non-Neuronal","#171799","M1","Unfiltered"
"2","ASTRO","scale(age_death)",-0.054741216482492,0.219291718834194,-0.249627376599122,0.805421486063308,"Mathys","Non-Neuronal","#171799","M1","Unfiltered"
"3","ASTRO","factor(msex)1",-0.417584591312608,0.447796590628951,-0.93253186837821,0.362183640905011,"Mathys","Non-Neuronal","#171799","M1","Unfiltered"
"4","ASTRO","scale(pmi)",-0.0600228321596237,0.228944726493494,-0.262171717509857,0.795870409373045,"Mathys","Non-Neuronal","#171799","M1","Unfiltered"
"5","ASTRO","LOADAD",0.132362043967817,0.480908469135296,0.275233339528855,0.785960372812462,"Mathys","Non-Neuronal","#171799","M1","Unfiltered"
"6","ASTRO","LOADAD",-0.133312534488452,0.942659357125455,-0.141421748461687,0.89305814416985,"Cain","Non-Neuronal","#171799","M1","Unfiltered"
"7","ASTRO","scale(pmi)",-0.14542900507381,0.273516849276338,-0.531700352130341,0.605504787461619,"Zhou","Non-Neuronal","#171799","M1","Unfiltered"
"8","ASTRO","(Intercept)",0.078468960400872,0.393607258967025,0.199358519471425,0.845619605715578,"Zhou","Non-Neuronal","#171799","M1","Unfiltered"
"9","ASTRO","scale(age_death)",0.196940952680535,0.260824658527908,0.755070298153817,0.466066554182657,"Zhou","Non-Neuronal","#171799","M1","Unfiltered"
"10","ASTRO","factor(msex)1",-0.697995797632581,0.538991254636789,-1.29500393861296,0.221839437942096,"Zhou","Non-Neuronal","#171799","M1","Unfiltered"
"11","ASTRO","(Intercept)",-0.499624849268737,0.63383114585543,-0.788261751628558,0.466254327269014,"Cain","Non-Neuronal","#171799","M1","Unfiltered"
"12","ASTRO","LOADAD",0.366558927422691,0.513853680256443,0.713352733485838,0.49048527192798,"Zhou","Non-Neuronal","#171799","M1","Unfiltered"
"13","ASTRO","factor(msex)1",1.13256223302592,0.583617271792039,1.94059067091745,0.10998760097335,"Cain","Non-Neuronal","#171799","M1","Unfiltered"
"14","ASTRO","scale(pmi)",-0.382553430266838,0.355154474698643,-1.07714658696457,0.330617508595525,"Cain","Non-Neuronal","#171799","M1","Unfiltered"
"15","ASTRO","scale(age_death)",0.690622326465547,0.453180028161466,1.523946960477,0.188027998597609,"Cain","Non-Neuronal","#171799","M1","Unfiltered"
"16","ENDO","scale(age_death)",0.0159900134079089,0.215457189015662,0.0742143415170358,0.941577105321993,"Mathys","Non-Neuronal","#171799","M1","Unfiltered"
"17","ENDO","(Intercept)",0.215338248638877,0.247264374249132,0.870882630353827,0.402424649690884,"Zhou","Non-Neuronal","#171799","M1","Unfiltered"
