"","subclass","term","estimate","std.error","statistic","p.value","dataset","mapping","filtering","class"
"1","Astrocyte","(Intercept)",0.227466689032533,0.453732808132728,0.501322992200276,0.621617152129737,"Mathys","MTGnCgG_Top20PctMostVar","Filtered","Non-neuronal"
"2","Astrocyte","scale(age_death)",-0.0498983452820012,0.213615776494294,-0.23358923250378,0.817678167952242,"Mathys","MTGnCgG_Top20PctMostVar","Filtered","Non-neuronal"
"3","Astrocyte","factor(msex)1",-0.616067845464281,0.436206241290064,-1.41233156967742,0.173224137211429,"Mathys","MTGnCgG_Top20PctMostVar","Filtered","Non-neuronal"
"4","Astrocyte","scale(pmi)",-0.0363372413632603,0.22301893470569,-0.162933436173091,0.872205912533146,"Mathys","MTGnCgG_Top20PctMostVar","Filtered","Non-neuronal"
"5","Astrocyte","LOADAD",0.106634182484878,0.468461082813129,0.227626555112187,0.822247420080329,"Mathys","MTGnCgG_Top20PctMostVar","Filtered","Non-neuronal"
"6","Astrocyte","LOADAD",0.420970177975645,0.85827836256516,0.490482105033476,0.644557967745522,"Cain","MTGnCgG_Top20PctMostVar","Filtered","Non-neuronal"
"7","Astrocyte","(Intercept)",-0.0214849581492043,0.412839468587538,-0.0520419189151452,0.959428347550351,"Zhou","MTGnCgG_Top20PctMostVar","Unfiltered","Non-neuronal"
"8","Astrocyte","scale(age_death)",0.0329345992930248,0.273568921731214,0.120388672385029,0.906346063121371,"Zhou","MTGnCgG_Top20PctMostVar","Unfiltered","Non-neuronal"
"9","Astrocyte","factor(msex)1",-0.486912537138458,0.565327132740263,-0.861293415687104,0.407459318584797,"Zhou","MTGnCgG_Top20PctMostVar","Unfiltered","Non-neuronal"
"10","Astrocyte","scale(pmi)",-0.246598807577841,0.286881270943332,-0.859584896451996,0.408360830930613,"Zhou","MTGnCgG_Top20PctMostVar","Unfiltered","Non-neuronal"
"11","Astrocyte","LOADAD",0.408154319152252,0.538961300778736,0.757298007412623,0.464784551259096,"Zhou","MTGnCgG_Top20PctMostVar","Unfiltered","Non-neuronal"
"12","Astrocyte","LOADAD",0.192756485026366,1.03965669896396,0.185403975387696,0.860198625242394,"Cain","MTGnCgG_Top20PctMostVar","Unfiltered","Non-neuronal"
"13","Astrocyte","LOADAD",-0.0550889674885499,0.479565622361925,-0.114872636652372,0.909691536380345,"Mathys","MTGnCgG_Top20PctMostVar","Unfiltered","Non-neuronal"
