"","subclass","estimate","std.error","statistic","p.value","dataset","term","mapping","filtering","class"
"1","Astrocyte",0.236532694656188,0.467359588849086,0.506104293780879,0.618316708416471,"Mathys","(Intercept)","All_Hodge","Unfiltered","Non-neuronal"
"2","Astrocyte",-0.0320022683615679,0.220031215915176,-0.145444219032562,0.885816001142337,"Mathys","scale(age_death)","All_Hodge","Unfiltered","Non-neuronal"
"3","Astrocyte",-0.462605254908334,0.449306653450313,-1.02959805147753,0.315490157190743,"Mathys","factor(msex)1","All_Hodge","Unfiltered","Non-neuronal"
"4","Astrocyte",-0.0548174708162906,0.229716775514991,-0.238630682036164,0.813820049915119,"Mathys","scale(pmi)","All_Hodge","Unfiltered","Non-neuronal"
"5","Astrocyte",-0.0226283942190441,0.482530192066905,-0.0468952919238399,0.963061796427469,"Mathys","LOADAD","All_Hodge","Unfiltered","Non-neuronal"
"6","Astrocyte",-0.624735714786794,0.625926197890258,-0.998098045572342,0.364053904419542,"Cain","(Intercept)","All_Hodge","Unfiltered","Non-neuronal"
"7","Astrocyte",0.491586535074347,0.447528105618852,1.09844840782585,0.322066188662815,"Cain","scale(age_death)","All_Hodge","Unfiltered","Non-neuronal"
"8","Astrocyte",1.17930441282346,0.576338575888156,2.04620072672754,0.0961066841651429,"Cain","factor(msex)1","All_Hodge","Unfiltered","Non-neuronal"
"9","Astrocyte",-0.553728014931714,0.350725096842335,-1.57880921530014,0.175212638789432,"Cain","scale(pmi)","All_Hodge","Unfiltered","Non-neuronal"
"10","Astrocyte",0.0701670167501256,0.930902798275855,0.0753752345358543,0.942839049829778,"Cain","LOADAD","All_Hodge","Unfiltered","Non-neuronal"
"11","Astrocyte",-0.236331762696584,0.292511242328551,-0.807940784823355,0.436248658939441,"Zhou","scale(pmi)","All_Hodge","Unfiltered","Non-neuronal"
"12","Astrocyte",0.29005486692361,0.549538278115552,0.527815583508124,0.60810974726973,"Zhou","LOADAD","All_Hodge","Unfiltered","Non-neuronal"
"13","Astrocyte",0.021139820172533,0.420941337305541,0.050220347347803,0.960847111437013,"Zhou","(Intercept)","All_Hodge","Unfiltered","Non-neuronal"
"14","Astrocyte",0.100035011697368,0.278937641676464,0.358628584855525,0.726661112753842,"Zhou","scale(age_death)","All_Hodge","Unfiltered","Non-neuronal"
"15","Astrocyte",-0.443112676358235,0.576421532769062,-0.768730262781081,0.458240807879713,"Zhou","factor(msex)1","All_Hodge","Unfiltered","Non-neuronal"
"16","Endothelial",-0.250950073853393,0.380454482630968,-0.659606037805075,0.538671976577203,"Cain","scale(pmi)","All_Hodge","Unfiltered","Non-neuronal"
"17","Endothelial",0.594684554315965,0.625192199485994,0.951202773810821,0.385182738644551,"Cain","factor(msex)1","All_Hodge","Unfiltered","Non-neuronal"
"18","Endothelial",-0.555439385888342,0.363057259758591,-1.52989472310145,0.1542778442404,"Zhou","(Intercept)","All_Hodge","Unfiltered","Non-neuronal"
"19","Endothelial",0.533520062548708,1.00981123303239,0.528336430707538,0.619866969915532,"Cain","LOADAD","All_Hodge","Unfiltered","Non-neuronal"
"20","Endothelial",-0.0216520262311985,0.497157213146497,-0.0435516686847674,0.966042301180552,"Zhou","factor(msex)1","All_Hodge","Unfiltered","Non-neuronal"
"21","Endothelial",-0.0671970543695976,0.252287719633723,-0.266350872991978,0.794895603448497,"Zhou","scale(pmi)","All_Hodge","Unfiltered","Non-neuronal"
"22","Endothelial",1.12711779145008,0.473970702573858,2.37803261958886,0.0366282536554022,"Zhou","LOADAD","All_Hodge","Unfiltered","Non-neuronal"
"23","Endothelial",-0.3874370885254,0.240580638810185,-1.61042505515618,0.135603461439274,"Zhou","scale(age_death)","All_Hodge","Unfiltered","Non-neuronal"
"24","Endothelial",-0.564102308432336,0.678983140720492,-0.830804587922092,0.443932964865033,"Cain","(Intercept)","All_Hodge","Unfiltered","Non-neuronal"
"25","Endothelial",-0.73795053636557,0.485463046183371,-1.5200962095204,0.188961039437094,"Cain","scale(age_death)","All_Hodge","Unfiltered","Non-neuronal"
"26","L2/3 IT",1.03533024762474,0.79263656519723,1.30618532261014,0.248347232250649,"Cain","(Intercept)","All_Hodge","Unfiltered","Glutamatergic"
"27","L2/3 IT",0.57213068698522,0.566723587641148,1.009540981639,0.359045521879911,"Cain","scale(age_death)","All_Hodge","Unfiltered","Glutamatergic"
"28","L2/3 IT",-0.406028571794135,0.729841682170244,-0.556324175109835,0.60196705501456,"Cain","factor(msex)1","All_Hodge","Unfiltered","Glutamatergic"
"29","L2/3 IT",0.677458817812083,0.444137882431812,1.52533446168284,0.187692903466447,"Cain","scale(pmi)","All_Hodge","Unfiltered","Glutamatergic"
"30","L2/3 IT",-1.66463192345534,1.17884121010578,-1.41209172973005,0.21702505607428,"Cain","LOADAD","All_Hodge","Unfiltered","Glutamatergic"
"31","L2/3 IT",-0.493456727778566,0.538737155818397,-0.915950797989707,0.379335169346967,"Zhou","factor(msex)1","All_Hodge","Unfiltered","Glutamatergic"
"32","L2/3 IT",-0.190526338653686,0.273387904126276,-0.696908443197556,0.50032306846788,"Zhou","scale(pmi)","All_Hodge","Unfiltered","Glutamatergic"
"33","L2/3 IT",-0.201255803675736,0.393421699111362,-0.511552372760121,0.619076604689941,"Zhou","(Intercept)","All_Hodge","Unfiltered","Glutamatergic"
"34","L2/3 IT",0.387496699807986,0.469960546480741,0.82453027750887,0.419363827981593,"Mathys","LOADAD","All_Hodge","Unfiltered","Glutamatergic"
"35","L2/3 IT",-0.285093500336824,0.45518512911639,-0.626324284561427,0.538185837216671,"Mathys","(Intercept)","All_Hodge","Unfiltered","Glutamatergic"
"36","L2/3 IT",0.772604153185396,0.513611432146003,1.50425809245961,0.16067383343419,"Zhou","LOADAD","All_Hodge","Unfiltered","Glutamatergic"
"37","L2/3 IT",-0.0822017438787583,0.260701696908459,-0.31530958506811,0.758427651112827,"Zhou","scale(age_death)","All_Hodge","Unfiltered","Glutamatergic"
"38","L2/3 IT",-0.0292309684696089,0.214299523997413,-0.136402395695297,0.892866865395624,"Mathys","scale(age_death)","All_Hodge","Unfiltered","Glutamatergic"
"39","L2/3 IT",-0.223764776635235,0.22373278010726,-1.00014301224863,0.32918906716129,"Mathys","scale(pmi)","All_Hodge","Unfiltered","Glutamatergic"
"40","L2/3 IT",0.0772825259577354,0.437602462735978,0.176604412768954,0.861595236728547,"Mathys","factor(msex)1","All_Hodge","Unfiltered","Glutamatergic"
"41","L3/5 IT",0.0678321825267822,0.437276553976917,0.155124215807745,0.878278273197281,"Mathys","factor(msex)1","All_Hodge","Unfiltered","Glutamatergic"
"42","L3/5 IT",0.318803448205752,0.214139922308939,1.488762323103,0.152149789912172,"Mathys","scale(age_death)","All_Hodge","Unfiltered","Glutamatergic"
"43","L3/5 IT",0.0758445864082131,0.223566152908066,0.33924896690154,0.73795850059975,"Mathys","scale(pmi)","All_Hodge","Unfiltered","Glutamatergic"
