"","subclass","term","estimate","std.error","statistic","p.value","dataset","class"
"1","Ast0","(Intercept)",0.687710166579567,0.420892382207247,1.63393350806938,0.117916486713413,"Mathys","Ast"
"2","Ast0","scale(age_death)",-0.131979216969411,0.198154621914476,-0.66604157750291,0.512994335534233,"Mathys","Ast"
"3","Ast0","factor(msex)1",-0.114099702739255,0.404634359119426,-0.281982239440964,0.780854360569257,"Mathys","Ast"
"4","Ast0","scale(pmi)",-0.259573109706196,0.206877195175496,-1.25472075105232,0.224045263944092,"Mathys","Ast"
"5","Ast0","LOADAD",-0.988972358226133,0.434554648864904,-2.27582965873088,0.0340058279792826,"Mathys","Ast"
"6","Ast1","(Intercept)",-0.408806141550955,0.405550127136994,-1.00802863615639,0.325481539131957,"Mathys","Ast"
"7","Ast1","scale(age_death)",0.109637389618594,0.190931543328881,0.574223555244316,0.572218982773389,"Mathys","Ast"
"8","Ast1","factor(msex)1",-0.370370770020311,0.389884737101459,-0.949949394720549,0.353477033056111,"Mathys","Ast"
"9","Ast1","scale(pmi)",0.0699789598110359,0.199336163712878,0.351060030992835,0.729214334384308,"Mathys","Ast"
"10","Ast1","LOADAD",0.9165376736886,0.418714380552404,2.18893287705912,0.0406337892476724,"Mathys","Ast"
"11","Ast2","(Intercept)",-0.285678972063414,0.448839638326087,-0.636483384419505,0.531679102008488,"Mathys","Ast"
"12","Ast2","scale(age_death)",-0.258420987514686,0.211312089723074,-1.22293517542394,0.235569536181332,"Mathys","Ast"
"13","Ast2","factor(msex)1",-0.144080904543136,0.431502082430287,-0.33390546745835,0.741926599487757,"Mathys","Ast"
"14","Ast2","scale(pmi)",0.135318809322471,0.220613841888836,0.613374066486075,0.546542202940848,"Mathys","Ast"
"15","Ast2","LOADAD",0.554434072256436,0.463409079552794,1.19642470706764,0.245522087404065,"Mathys","Ast"
"16","Ast3","(Intercept)",-0.26980730093803,0.353107359963598,-0.764094243081888,0.453732020952136,"Mathys","Ast"
"17","Ast3","scale(age_death)",0.149613159655899,0.16624167689106,0.899973836007095,0.378843238408914,"Mathys","Ast"
