"","gene","cluster","avg_logFC","pct.1","pct.2","p_val","p_val_adj"
"1","Cyp4f15","Astrocytes",8.821946559,0.839,0.011,0,0
"2","Gjb6","Astrocytes",8.274013009,0.978,0.013,0,0
"3","Slc39a12","Astrocytes",8.262584891,0.985,0.066,0,0
"4","Acsbg1","Astrocytes",8.215667773,0.985,0.181,0,0
"5","Mlc1","Astrocytes",8.120770675,0.915,0.017,0,0
"6","Nat8","Astrocytes",8.116807055,0.915,0.071,0,0
"7","Gm35552","Astrocytes",7.829474167,0.563,0.02,0,0
"8","Etnppl","Astrocytes",7.729509998,0.536,0.007,0,0
"9","Gm13325","Astrocytes",7.647506057,0.784,0.008,0,0
"10","Aqp4","Astrocytes",7.611654785,0.887,0.008,0,0
"11","Chrdl1","Astrocytes",7.595710647,0.646,0.007,0,0
"12","Ppp1r3g","Astrocytes",7.541674693,0.749,0.004,0,0
"13","F3","Astrocytes",7.359002149,0.995,0.076,0,0
"14","Gli3","Astrocytes",7.334845246,0.947,0.03,0,0
"15","Pdzph1","Astrocytes",7.321903559,0.543,0.014,0,0
"16","Slc1a3","Astrocytes",7.321559293,1,0.061,0,0
"17","Ntsr2","Astrocytes",7.274234794,0.998,0.158,0,0
"18","Btbd17","Astrocytes",7.205567942,0.915,0.043,0,0
"19","Gm13111","Astrocytes",7.149571169,0.503,0.002,0,0
"20","Gm33002","Astrocytes",6.999792319,0.906,0.039,0,0
"21","Eva1a","Astrocytes",6.919134424,0.782,0.011,0,0
"22","C030018K13Rik","Astrocytes",6.911401385,0.621,0.001,0,0
"23","Igfbp2","Astrocytes",6.827951103,0.79,0.084,0,0
"24","Grin2c","Astrocytes",6.792745717,0.846,0.003,0,0
"25","Plcd4","Astrocytes",6.780932904,0.855,0.247,0,0
"26","Dio2","Astrocytes",6.751245592,0.88,0.008,0,0
"27","Slc7a10","Astrocytes",6.725826092,0.926,0.038,0,0
"28","Gm26512","Astrocytes",6.725648771,0.981,0.037,0,0
"29","Cbs","Astrocytes",6.720235302,0.86,0.021,0,0
