"","gene","entrez_id","cluster","adapted_cluster_name","pct.1","pct.2","avg_logFC","MAST_p_val","MAST_p_val_adj","roc_myAUC","roc_power"
"1","ABCA1",19,"VLMC_CYP1B1","VLMC_CYP1B1",0.818,0.479,3.14773660746072,5.20119082178141e-07,0.0261521075709991,0.804,0.608
"2","ABCA10",10349,"VLMC_CYP1B1","VLMC_CYP1B1",1,0.681,3.03297261689705,1.5805407513322e-11,7.94711695177343e-07,0.997,0.994
"3","ABCA2",20,"Oligo","Oligo",0.951,0.566,3.0969490080555,0,0,0.92,0.84
"4","ABCA4",24,"VLMC_CYP1B1","VLMC_CYP1B1",0.636,0.163,4.01867506453125,4.10760648603261e-10,2.06534561724206e-05,0.782,0.564
"5","ABCA6",23460,"VLMC_CYP1B1","VLMC_CYP1B1",1,0.545,3.16660547878561,2.51960663404169e-10,1.2668834116625e-05,0.967,0.934
"6","ABCA9",10350,"VLMC_CYP1B1","VLMC_CYP1B1",1,0.605,3.94501511728952,2.49281662198111e-18,1.25341312569832e-13,1,1
"7","ABCB1",5243,"Endo_CLDN5","Endothelial",0.943,0.242,5.85293127820729,3.58547039147782e-215,1.80281036753896e-210,0.964,0.928
"8","ABCB5",340273,"Inh_PAX6","LAMP5.PAX6.Other",0.664,0.314,2.89820482712895,7.87898804172485e-131,3.96163397725967e-126,0.734,0.468
"9","ABCC4",10257,"Micro_C1QC","Microglia",0.9,0.685,3.84737671223411,0,0,0.867,0.734
"10","ABCC9",10060,"Peri_MUSTN1","Peri_MUSTN1",0.625,0.371,3.26173095827968,3.56875267759238e-15,1.79440453382023e-10,0.71,0.42
"11","ABCG2",9429,"Endo_CLDN5","Endothelial",0.957,0.52,5.59373130779983,0,0,0.964,0.928
"12","ABTB2",25841,"Oligo","Oligo",0.637,0.47,2.86154267106552,0,0,0.688,0.376
"13","ACACB",32,"Astro_FGFR3","Astrocyte",0.934,0.479,3.13579622765102,0,0,0.917,0.834
"14","ACBD7",414149,"Astro_FGFR3","Astrocyte",0.379,0.089,3.33746025167437,0,0,0.659,0.318
"15","ACER2",340485,"Endo_CLDN5","Endothelial",0.5,0.391,2.68727757722817,9.87556240294745e-14,4.96553153182601e-09,0.608,0.216
"16","ACOT11",26027,"Astro_FGFR3","Astrocyte",0.87,0.443,2.80649248175057,0,0,0.851,0.702
"17","ACOX2",8309,"VLMC_CYP1B1","VLMC_CYP1B1",0.455,0.15,2.96119356397275,0.000411673493665645,1,0.671,0.342
"18","ACSBG1",23205,"Astro_FGFR3","Astrocyte",0.928,0.258,4.2585280781772,0,0,0.946,0.892
"19","ACSF2",80221,"Astro_FGFR3","Astrocyte",0.419,0.156,2.81495150321627,0,0,0.655,0.31
"20","ACSL5",51703,"Endo_CLDN5","Endothelial",0.414,0.253,2.68426291011818,4.93228078518798e-07,0.0248000010160037,0.599,0.198
"21","ACSS1",84532,"Astro_FGFR3","Astrocyte",0.928,0.113,3.58308596024746,0,0,0.946,0.892
"22","ACVR1",90,"Endo_CLDN5","Endothelial",0.8,0.671,2.70659303038746,1.87620640446971e-31,9.43375342231416e-27,0.737,0.474
