"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"EIF5A",0.000463319208982677,-0.965715615201678,0.833,0.958,1
"GABRA3",0.000776850738877524,0.177983155195356,0.792,0.583,1
"GALNT16",0.000937975195377702,0.100083458556983,0.792,0.708,1
"ABCE1",0.00141182471780218,0.076227365387884,0.833,0.792,1
"NMT1",0.00146291239243054,-0.115069329784787,0.833,1,1
"C14orf37",0.00193415039022693,0.0756374142056202,0.75,0.792,1
"CCDC175",0.0020262826390685,0.293761118528163,0.583,0.375,1
"RALBP1",0.0022138773863205,-0.0261452801043223,0.833,0.958,1
"ALKBH3",0.00286627189676253,-0.780852760979051,0.625,0.833,1
"SVEP1",0.00292130223561133,0.156004248476581,0.625,0.667,1
"TMTC4",0.00312425335786763,0.0825210236880036,0.75,0.625,1
"CENPP",0.00397677632740632,-0.74464370632712,0.792,0.958,1
"ZNF142",0.00415812057729029,0.159064694629687,0.625,0.583,1
"ZNF780B",0.00424284029984279,-0.0831503683321702,0.708,0.917,1
"YLPM1",0.00461599305875249,-0.674007840349248,0.917,0.958,1
"SLC33A1",0.00501215487710232,0.108213584640233,0.708,0.625,1
"TMEM181",0.00515387301586621,-0.693147180559945,0.75,1,1
"C11orf54",0.00547144394739675,-0.725512465061977,0.75,0.875,1
"SOX12",0.00565819258759169,0.115831815525122,0.667,0.583,1
"MSRB3",0.00577084583249801,0.0198026272961798,0.75,0.792,1
"EXOC3",0.0063562107027736,-0.760588461355478,0.458,0.833,1
"UTP20",0.006418131320404,0.121889817609037,0.667,0.458,1
"MARCH3",0.00642155424519941,0.14058195062119,0.625,0.625,1
"TRIM71",0.00663771453960036,0.202940843996691,0.5,0.458,1
"SLC35F1",0.00667952946938498,-0.600056757493934,1,1,1
"CRTC3",0.00680010510530287,-0.131974164175916,0.792,1,1
"CHRM3",0.00710203004266343,-0.602064551127536,1,1,1
"MAML2",0.00741414113961701,0.0400053346136988,0.708,0.625,1
"CEP89",0.00751153811482635,-0.718253101691022,0.75,0.792,1
"SPTLC2",0.00773932347760125,-0.708895537528085,0.583,0.917,1
"CEP250",0.00814112734616349,-0.693147180559945,0.667,0.875,1
"NSMCE2",0.00831510015784524,-0.658809042979053,0.875,0.958,1
"STX5",0.00842945394907638,0.0104712998672953,0.708,0.833,1
"EIF4B",0.00863030225193121,-0.693147180559945,0.875,0.917,1
"KIAA0922",0.00871732304067785,-0.0348467313301681,0.75,0.833,1
"SLF2",0.00878938152061069,-0.715823889230975,0.833,0.875,1
"CSNK2A1",0.00892211343229964,-0.663515382953574,0.75,1,1
"CPLX2",0.00929789296861116,-0.663294217410264,0.875,1,1
"CFAP44",0.00948073482269135,0.0470675108579859,0.75,0.708,1
"BCL9L",0.00986369974881746,0.195744577126095,0.5,0.375,1
"RELL2",0.009904159357046,0.0637158143861078,0.625,0.708,1
"ZNF618",0.01003892387943,-0.0468835858988503,0.75,0.917,1
"ROBO2",0.0100985125467955,-0.506065394777843,1,1,1
"FGF18",0.0102379274634122,0.25489224962879,0.458,0.292,1
"CELF5",0.0103524246431976,-0.230948068234112,0.958,0.958,1
"LRRC4C",0.0104812047606568,-0.316571082303918,0.958,1,1
"RMND1",0.0108372516425846,-0.72951482473082,0.458,0.833,1
"TMED10",0.0110538853779048,-0.0536527134923199,0.833,0.875,1
"ART3",0.011094435990686,0.241162056816888,0.417,0.292,1
"CFAP161",0.0111673526734445,-0.0906965614708122,0.75,0.833,1
"RIN1",0.0112494538571982,0.19782574332992,0.5,0.292,1
"C12orf43",0.0113180752385493,-0.727436254038578,0.417,0.792,1
"NEDD4L",0.0118136574357619,-0.664404711694291,0.875,0.958,1
"RNF157",0.0118351656333116,-0.633885716523218,0.917,1,1
"PFDN2",0.0123541456640993,-0.804995480696514,0.917,0.917,1
"MAP2K6",0.012557173168422,-0.676149604191374,0.667,0.875,1
"ATP6V0E2",0.0127157964307458,-0.749341738903587,0.875,1,1
"ZBTB33",0.0128274133408814,0.111225635110224,0.625,0.5,1
"SMPD4",0.0128467126803571,0.0153849188394795,0.875,1,1
"SASH1",0.0129856636103771,-0.698396536446089,0.917,0.958,1
"CYP20A1",0.01313178638462,-0.701310491199106,0.625,0.875,1
"SMC6",0.0133040857433034,-0.115069329784787,0.792,0.875,1
"TTYH3",0.0133699430543702,-0.0298529631496811,0.833,0.875,1
"KTN1",0.0134876196550273,-0.230136586805181,0.958,1,1
"TANC1",0.0135669242583303,-0.700990358020971,0.75,0.875,1
"CLUH",0.0136142247348118,0.0350913198112701,0.667,0.75,1
"ITGB1",0.0140318644194297,0.092781733450966,0.583,0.833,1
"CC2D1A",0.0141611115719084,-0.154150679827258,0.875,0.917,1
"CTBS",0.0142132556460783,0.173271721274037,0.542,0.458,1
"UPRT",0.0143361250261843,0.141650517063027,0.458,0.625,1
"MAML1",0.0144878531337873,-0.0553500950831649,0.875,0.875,1
"JAK1",0.014806953902127,-0.662239643096869,0.833,0.958,1
"FAM177A1",0.0148227306765901,-0.667570338770296,0.708,0.917,1
"HSD17B12",0.0148495575900418,-0.679258068399278,0.708,0.917,1
"ANKAR",0.0149771262639411,-0.636794244008813,0.792,0.958,1
"CCDC12",0.0156414051216841,-0.7339691750802,0.5,0.917,1
"STARD13",0.0158011470001277,-0.703097511413113,0.75,1,1
"CLIC5",0.015851358693185,0.128617377822094,0.583,0.583,1
"TSPAN9",0.0164149135664049,-0.693147180559945,0.625,0.875,1
"CCNA1",0.0164923205604198,0.133531392624523,0.583,0.542,1
"APPL2",0.0168195199701199,-0.660711904806792,0.708,0.917,1
"SPOP",0.0169827196421692,-0.130937357447475,0.833,0.917,1
"GABRA5",0.0170861189518955,0.234839591077401,0.417,0.333,1
"SNCB",0.0172867661068579,-0.705694396612034,0.792,1,1
"LSM3",0.0176489732324194,-0.814291563919034,0.542,0.792,1
"STPG1",0.017755469005291,-0.768370601797533,0.208,0.625,1
"GCDH",0.0180409750726791,0.0826917158451133,0.625,0.583,1
"HAUS5",0.0181706448918913,0.115069329784787,0.583,0.458,1
"PCSK7",0.0182871425866224,-0.657107244076748,0.833,0.958,1
"DDX41",0.018367472389357,0.0555698511548108,0.792,0.875,1
"ROR2",0.0188528900492073,0.247836163904581,0.417,0.25,1
"ZNF701",0.0193154807651103,0.150282203049338,0.458,0.375,1
"HADHA",0.0195532517087197,-0.737598943130779,0.833,0.917,1
"RNF114",0.0203421207590155,-0.0590889163700064,0.792,0.833,1
"PLBD2",0.0203770259120586,0.131769277631123,0.583,0.667,1
"CENPJ",0.0205723539205115,0.0597192347016223,0.75,0.625,1
"CCDC178",0.0207162176821169,0.0540672212702757,0.542,0.5,1
"CHIC2",0.0209683685457111,-0.0388398333162638,0.792,0.917,1
"FAXC",0.021246060670664,-0.637680099047073,0.792,1,1
"JMJD8",0.0213767294845538,0.0769610411361284,0.583,0.583,1
"CSGALNACT1",0.0215044982922832,-0.715288306437159,0.583,0.875,1
"PVRL1",0.0215232891372788,0.0438026226583927,0.708,0.625,1
"GP6",0.0217554069013641,0.0730251350148898,0.583,0.708,1
"GPC1",0.0218933284005109,-0.102478669282937,0.875,0.833,1
"ALKBH5",0.0220137625838885,-0.680568398353085,0.625,0.917,1
"FAM21A",0.0221049547674293,0.0119761910467158,0.75,0.833,1
"ZNF512B",0.0223148185715709,0.0240975515790607,0.708,0.792,1
"ATPAF2",0.0226213981542707,0.0137933221323356,0.667,0.708,1
"TELO2",0.0226283910805432,0.105360515657826,0.542,0.458,1
"ECT2L",0.0229885147031754,0.154150679827258,0.458,0.292,1
"ADAM32",0.0231061079274452,0.0789884113186303,0.667,0.708,1
"ZNF83",0.0232833353904237,-0.151880531292719,0.833,0.833,1
"USP43",0.0233380412128766,0.182321556793955,0.417,0.333,1
