"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FO538757.2",3.66893151002368,0.446437330846691,0.195802107422608,2.28004354357191,0.0226051060722029,0.990512677498131
"SAMD11",0.025945462455322,0.544499469503201,3.02812716371392,0.179813937812105,0.857298641176555,0.990512677498131
"NOC2L",2.3116319912072,0.0408617275846364,0.252937271314038,0.161548859020875,0.871661132742857,0.990512677498131
"KLHL17",0.25217763287955,0.0365027360982326,0.635024564331092,0.057482400128384,0.954160925588047,0.994603287528664
"PLEKHN1",0.0248687766355089,0.726062977922555,3.02845727748624,0.239746812121194,0.810526542223055,0.990512677498131
"PERM1",0.0248687766355089,0.726062977922555,3.02845727748624,0.239746812121194,0.810526542223055,0.990512677498131
"HES4",1.38430115191205,0.353631406571743,0.333680538419449,1.05979032594108,0.289239998890456,0.990512677498131
"ISG15",0.60341240117961,0.365747677873313,0.535063712796284,0.683559114786326,0.494253609515641,0.990512677498131
"AGRN",0.810503525780275,0.115418205824898,0.375092922736675,0.30770563460064,0.75830633183789,0.990512677498131
"RNF223",0,NA,NA,NA,NA,NA
"C1orf159",1.33391396949292,-0.0337919195095774,0.282345037105038,-0.119683065287973,0.904734215864656,0.990512677498131
"TTLL10",0.0372784344290674,0.985273172226836,3.02771539089728,0.325418028124118,0.744864712928303,0.990512677498131
"TNFRSF18",0.149411708026436,0.911619343045326,2.32307259553712,0.392419653521223,0.694748166836467,0.990512677498131
"TNFRSF4",0.00387913408071758,0.943220607302438,3.02876966251748,0.311420382664042,0.755481060640259,0.990512677498131
"SDF4",1.74278441639794,-0.118932986890748,0.267309094785819,-0.444926825202273,0.656372636150549,0.990512677498131
"B3GALT6",0.53335312874996,-0.540916917755858,0.535507248872249,-1.01010195267198,0.312446446808407,0.990512677498131
"FAM132A",0.059639743638249,0.62563594734239,3.02733140801013,0.206662523200135,0.836273427665063,0.990512677498131
"UBE2J2",2.05851223380113,0.387960949033685,0.247887074788369,1.56507131065588,0.117566189636097,0.990512677498131
"SCNN1D",0.363778374342785,-0.290295077836172,0.552982219137434,-0.524962770573325,0.599609071841615,0.990512677498131
