"","gene","entrez_id","cluster","pct.1","pct.2","avg_logFC","MAST_p_val","MAST_p_val_adj","roc_myAUC","roc_power"
"1","ABCA1",19,"VLMC_CYP1B1",0.818,0.431,2.81005313873267,1.62118946046821e-05,0.815150272618018,0.796,0.592
"2","ABCA10",10349,"VLMC_CYP1B1",1,0.466,3.64078803855346,2.41685680838477e-14,1.21521977182395e-09,0.999,0.998
"3","ABCA2",20,"Oligo",0.951,0.439,3.14351122260307,0,0,0.928,0.856
"4","ABCA4",24,"VLMC_CYP1B1",0.636,0.091,4.77789182190879,2.88285832410267e-16,1.44952999394206e-11,0.799,0.598
"5","ABCA6",23460,"VLMC_CYP1B1",1,0.35,3.62878849618424,1.21154724073884e-12,6.09178068115894e-08,0.98,0.96
"6","ABCA9",10350,"VLMC_CYP1B1",1,0.394,4.53376919659379,1.01584130608204e-21,5.1077516711111e-17,1,1
"7","ABCB1",5243,"Endo_CLDN5",0.943,0.185,5.95829240554236,1.41749169482116e-185,7.12728999073026e-181,0.966,0.932
"8","ABCC4",10257,"Micro_C1QC",0.9,0.614,3.57855456951536,0,0,0.868,0.736
"9","ABCC9",10060,"Peri_MUSTN1",0.625,0.289,3.17623863739279,1.84592921950988e-13,9.28151670861763e-09,0.727,0.454
"10","ABCG2",9429,"Endo_CLDN5",0.957,0.433,5.11273499531568,0,0,0.964,0.928
"11","ACACB",32,"Astro_FGFR3",0.934,0.409,2.68730523204865,0,0,0.91,0.82
"12","ACBD7",414149,"Astro_FGFR3",0.379,0.065,3.29106217820731,3.99479908407704e-293,2.00862492746477e-288,0.666,0.332
"13","ACER2",340485,"Endo_CLDN5",0.5,0.277,2.95270726755218,3.91626251025603e-17,1.96913595278183e-12,0.65,0.3
"14","ACOT11",26027,"Astro_FGFR3",0.87,0.347,2.97365231660893,0,0,0.868,0.736
"15","ACOX2",8309,"VLMC_CYP1B1",0.455,0.126,2.55952918770477,0.00352424588214722,1,0.676,0.352
"16","ACSBG1",23205,"Astro_FGFR3",0.928,0.188,3.88142957015191,0,0,0.946,0.892
"17","ACSL5",51703,"Endo_CLDN5",0.414,0.187,2.68515907687637,1.57649505739622e-08,0.000792677479809393,0.626,0.252
"18","ACSS1",84532,"Astro_FGFR3",0.928,0.136,2.97220640475343,0,0,0.934,0.868
"19","ACVR1",90,"Endo_CLDN5",0.8,0.592,2.65009424769617,1.06666951430479e-32,5.36332098487592e-28,0.756,0.512
"20","ADAM19",8728,"VLMC_CYP1B1",0.455,0.375,2.50018324792351,0.000366380039276171,1,0.608,0.216
"21","ADAM28",10863,"Micro_C1QC",0.879,0.064,5.82068306624238,0,0,0.933,0.866
"22","ADAMTS12",81792,"VLMC_CYP1B1",1,0.345,6.04189286127364,2.26875453056732e-73,1.14075246551455e-68,0.999,0.998
"23","ADAMTS3",9508,"Pyramidal",0.746,0.272,3.0770904158779,0,0,0.812,0.624
"24","ADAMTS4",9507,"Oligo",0.351,0.044,3.40459937125722,0,0,0.659,0.318
"25","ADAMTS9-AS2",100507098,"Peri_MUSTN1",0.844,0.412,2.56932956983765,5.76973983042627e-14,2.90108288413663e-09,0.824,0.648
"26","ADAMTSL2",9719,"Micro_C1QC",0.453,0.252,2.53634938767881,1.41785474502357e-138,7.12911544345302e-134,0.635,0.27
"27","ADAP2",55803,"Micro_C1QC",0.617,0.209,4.66771698920425,0,0,0.759,0.518
"28","ADARB2",105,"Inhibitory",0.779,0.627,2.51628799736122,7.45221039009362e-311,3.74704590624297e-306,0.718,0.436
"29","ADCY4",196883,"Endo_CLDN5",0.414,0.027,4.38029375827262,5.391463235173e-68,2.71088162927734e-63,0.699,0.398
"30","ADCY7",113,"Micro_C1QC",0.509,0.219,3.41878537032208,2.42814885628604e-201,1.22089752642919e-196,0.682,0.364
"31","ADGRA3",166647,"Astro_FGFR3",0.864,0.27,2.85041723507864,0,0,0.877,0.754
"32","ADGRL4",64123,"Endo_CLDN5",0.771,0.079,5.89475787692365,3.91516028598424e-167,1.96858174339573e-162,0.875,0.75
"33","ADGRV1",84059,"Astro_FGFR3",1,0.688,4.88157706165051,0,0,1,1
"34","ADIRF",10974,"Peri_MUSTN1",0.562,0.053,4.3385195611203,2.85113501162596e-26,1.43357919519565e-21,0.769,0.538
"35","ADORA2A-AS1",646023,"Peri_MUSTN1",0.5,0.498,2.92922511570738,1.28628555627551e-13,6.46757240550892e-09,0.55,0.1
"36","ADORA2B",136,"Astro_FGFR3",0.481,0.169,3.36542547448589,1.16485857319991e-319,5.85702539190645e-315,0.684,0.368
"37","ADTRP",84830,"Pyramidal",0.445,0.039,2.90536289070321,0,0,0.709,0.418
"38","AFAP1L1",134265,"Endo_CLDN5",0.386,0.092,4.38872590492579,1.07104577811064e-45,5.3853252769181e-41,0.662,0.324
"39","AGT",183,"Astro_FGFR3",0.608,0.032,3.6870804284602,0,0,0.793,0.586
"40","AIF1",199,"Micro_C1QC",0.428,0.01,5.42369087762714,0,0,0.711,0.422
"41","AIF1L",83543,"Oligo",0.41,0.142,2.5082986937232,5.6380340215062e-281,2.83485988635353e-276,0.653,0.306
"42","AIFM3",150209,"Astro_FGFR3",0.656,0.109,3.89598851703182,0,0,0.801,0.602
"43","AKAP13",11214,"Micro_C1QC",0.952,0.758,2.52335764123959,1.62656572316304e-304,8.17853511263611e-300,0.848,0.696
"44","AKAP7",9465,"VLMC_CYP1B1",0.909,0.615,2.92726014116079,2.60534754800198e-07,0.0130999480061088,0.864,0.728
"45","AKR1C1",1645,"VLMC_CYP1B1",0.727,0.141,2.62160178152287,3.2848740926689e-06,0.165166754253485,0.816,0.632
"46","AKR1C2",1646,"VLMC_CYP1B1",0.909,0.138,4.25782900632145,8.19420721835738e-15,4.12012933146227e-10,0.937,0.874
"47","ALDH1A1",216,"VLMC_CYP1B1",0.364,0.063,3.25041372470046,0.00107569550850055,1,0.657,0.314
"48","ALDH1A2",8854,"VLMC_CYP1B1",0.818,0.192,4.04063208522713,8.75558014748838e-12,4.40239325395863e-07,0.871,0.742
"49","ALDH1L1",10840,"Astro_FGFR3",0.728,0.061,3.87466321212897,0,0,0.85,0.7
"50","ALOX5",240,"Micro_C1QC",0.623,0.184,4.5239300565779,0,0,0.767,0.534
"51","ALOX5AP",241,"Micro_C1QC",0.369,0.115,4.97881811055294,0,0,0.645,0.29
"52","ALPK1",80216,"Micro_C1QC",0.471,0.249,3.45852605627392,8.4378040544436e-182,4.24261225661479e-177,0.647,0.294
"53","ALPL",249,"Endo_CLDN5",0.7,0.218,4.80059075801574,4.63138366285921e-116,2.32870601952224e-111,0.799,0.598
"54","AMOTL1",154810,"VLMC_CYP1B1",0.909,0.298,3.15642854603639,2.13815538799659e-09,0.000107508591063857,0.913,0.826
"55","AMZ2",51321,"Astro_FGFR3",0.986,0.59,2.82239397876925,0,0,0.949,0.898
"56","ANGPTL4",51129,"Astro_FGFR3",0.432,0.103,3.6291344087137,2.6169743238766e-317,1.31584085978839e-312,0.681,0.362
"57","ANKRD29",147463,"Endo_CLDN5",0.643,0.35,2.94800088913114,1.0975537783689e-28,5.51861015301665e-24,0.728,0.456
"58","ANKRD55",79722,"Inhibitory",0.777,0.421,2.665141681159,0,0,0.792,0.584
"59","ANLN",54443,"Oligo",0.793,0.149,4.22041363500202,0,0,0.871,0.742
"60","ANO1",55107,"Inhibitory",0.401,0.212,2.52027010844195,1.74979224479701e-297,8.79813038606384e-293,0.62,0.24
"61","ANO3",63982,"Pyramidal",0.97,0.421,3.04492496977984,0,0,0.955,0.91
"62","ANTXR2",118429,"VLMC_CYP1B1",0.636,0.203,3.03166315910414,1.87466092628429e-05,0.942598260345003,0.756,0.512
"63","ANXA1",301,"VLMC_CYP1B1",0.455,0.035,3.42051202778818,8.00077559326949e-06,0.402286997605183,0.715,0.43
"64","ANXA2",302,"VLMC_CYP1B1",0.636,0.14,4.00171500959249,2.82085075956196e-10,1.41835197041535e-05,0.782,0.564
"65","ANXA3",306,"Endo_CLDN5",0.5,0.073,5.01353837684121,6.45719888512708e-68,3.24674417143075e-63,0.728,0.456
"66","AOAH",313,"Micro_C1QC",0.931,0.416,3.93496187514625,0,0,0.932,0.864
"67","APBB1IP",54518,"Micro_C1QC",0.991,0.287,6.26972260824063,0,0,0.992,0.984
"68","APLP1",333,"Oligo",0.944,0.613,2.6782276389681,0,0,0.906,0.812
"69","APOE",348,"Astro_FGFR3",0.732,0.117,2.59537952246665,0,0,0.828,0.656
"70","APOLD1",81575,"Endo_CLDN5",0.571,0.38,2.81684390492446,1.191423784498e-22,5.99059793083437e-18,0.665,0.33
"71","AQP4",361,"Astro_FGFR3",0.848,0.11,4.85573446917835,0,0,0.909,0.818
"72","ARAP3",64411,"Endo_CLDN5",0.357,0.156,3.16214153011182,4.82020242842385e-20,2.42364598303579e-15,0.619,0.238
"73","ARHGAP10",79658,"Peri_MUSTN1",0.875,0.641,3.14113189713506,8.43870769855113e-37,4.24306661790849e-32,0.866,0.732
"74","ARHGAP15",55843,"Micro_C1QC",0.867,0.391,3.4299567835629,0,0,0.875,0.75
"75","ARHGAP22",58504,"Micro_C1QC",0.941,0.532,2.9058325607623,0,0,0.911,0.822
"76","ARHGAP25",9938,"Micro_C1QC",0.547,0.173,4.06606163202436,4.06998456745629e-297,2.0464289403627e-292,0.722,0.444
"77","ARHGAP27",201176,"Micro_C1QC",0.425,0.24,3.17616438857276,2.39354159647116e-132,1.20349665012166e-127,0.62,0.24
"78","ARHGAP42",143872,"Peri_MUSTN1",0.906,0.526,2.53040101424814,4.08156426558096e-16,2.05225132837676e-11,0.842,0.684
"79","ARHGDIB",397,"Micro_C1QC",0.353,0.03,4.23588440141041,2.84613492379566e-218,1.4310651010337e-213,0.665,0.33
"80","ARHGEF26",26084,"Astro_FGFR3",0.904,0.247,3.34343871493519,0,0,0.916,0.832
"81","ARHGEF26-AS1",100507524,"Astro_FGFR3",0.836,0.186,2.96958244284599,0,0,0.875,0.75
"82","ARID3A",1820,"Micro_C1QC",0.511,0.403,2.52141604729166,7.48517408463831e-110,3.76362038149699e-105,0.601,0.202
"83","ARL15",54622,"Endo_CLDN5",0.9,0.818,2.58986691704722,5.48475004412745e-18,2.75778716968772e-13,0.774,0.548
"84","ARL4C",10123,"Inhibitory",0.825,0.148,2.81481309026453,0,0,0.876,0.752
"85","ARRB2",409,"Micro_C1QC",0.524,0.327,2.63684905688143,5.20730465931e-202,2.61828485574766e-197,0.657,0.314
"86","ARRDC5",645432,"Micro_C1QC",0.373,0.276,3.33956904073596,1.04249889797318e-215,5.24178870889893e-211,0.579,0.158
"87","ASIC4",55515,"OPC_MYT1",0.503,0.072,3.21506386093341,1.40683531819613e-249,7.07370866342197e-245,0.725,0.45
"88","ASPA",443,"Oligo",0.362,0.017,3.68151084129804,0,0,0.674,0.348
"89","ASPN",54829,"VLMC_CYP1B1",0.364,0.042,3.83023002811439,0.000693257254985618,1,0.663,0.326
"90","ATF3",467,"Endo_CLDN5",0.357,0.267,2.82082338453589,6.67619807954979e-15,3.35685915637843e-10,0.577,0.154
"91","ATP10A",57194,"Endo_CLDN5",0.986,0.247,5.80347496965967,3.06477600225599e-200,1.54100002169434e-195,0.986,0.972
"92","ATP13A4",84239,"Astro_FGFR3",0.978,0.317,2.93789871193757,0,0,0.956,0.912
"93","ATP1B2",482,"Astro_FGFR3",0.961,0.368,2.54842550055094,0,0,0.92,0.84
"94","ATP8B4",79895,"Micro_C1QC",0.924,0.461,4.00691610636312,0,0,0.919,0.838
"95","B2M",567,"Endo_CLDN5",0.971,0.502,3.04478845188066,2.98652096664756e-45,1.50165260724006e-40,0.938,0.876
"96","B4GALT1",2683,"Micro_C1QC",0.401,0.162,3.14151651860397,5.19875498539739e-138,2.61398599420766e-133,0.638,0.276
"97","BCAN",63827,"OPC_MYT1",0.921,0.298,2.80399736044538,0,0,0.911,0.822
"98","BCAS1",8537,"Oligo",0.939,0.26,2.60889930389698,0,0,0.923,0.846
"99","BCHE",590,"OPC_MYT1",0.602,0.12,2.97326413275642,5.48985054686298e-292,2.76035175346818e-287,0.764,0.528
"100","BEST3",144453,"OPC_MYT1",0.386,0.069,3.33010780863002,8.05074361449533e-191,4.04799439680439e-186,0.667,0.334
"101","BHLHE41",79365,"Micro_C1QC",0.751,0.198,2.9770992315265,0,0,0.824,0.648
"102","BHMT2",23743,"VLMC_CYP1B1",0.636,0.115,3.73483757705335,3.39424703918022e-09,0.00017066613537702,0.791,0.582
"103","BICC1",80114,"VLMC_CYP1B1",0.909,0.536,2.82392257154698,1.37879679757068e-09,6.93272817786512e-05,0.922,0.844
"104","BIN2",51411,"Micro_C1QC",0.592,0.193,4.82832086113666,0,0,0.746,0.492
"105","BLM",641,"OPC_MYT1",0.62,0.38,2.55493206270934,1.45202725215513e-181,7.3009382265612e-177,0.679,0.358
"106","BLNK",29760,"Micro_C1QC",0.928,0.178,5.09792887965604,0,0,0.951,0.902
"107","BMPR1B",658,"Astro_FGFR3",0.986,0.567,4.75858958935117,0,0,0.977,0.954
"108","BNC2",54796,"Micro_C1QC",0.825,0.492,4.55156414826952,0,0,0.83,0.66
"109","BOK",666,"Oligo",0.368,0.09,2.78008693243642,2.12219880893436e-269,1.06706278312028e-264,0.649,0.298
"110","BROX",148362,"Micro_C1QC",0.675,0.381,2.92766171868486,2.03585432678315e-255,1.02364791404984e-250,0.738,0.476
"111","BST1",683,"VLMC_CYP1B1",0.364,0.107,2.53829431400891,0.00547284308162976,1,0.634,0.268
"112","BST2",684,"Endo_CLDN5",0.4,0.02,4.04884304516874,7.9149389722096e-32,3.97971046461671e-27,0.692,0.384
"113","BTBD11",121551,"Inhibitory",0.813,0.38,2.99441637933126,0,0,0.836,0.672
"114","BTNL9",153579,"Endo_CLDN5",0.643,0.103,3.83619057913536,2.08497263855472e-46,1.0483450923917e-41,0.796,0.592
"115","C10orf11",83938,"Micro_C1QC",0.999,0.738,3.59423221924383,0,0,0.991,0.982
"116","C10orf54",64115,"Micro_C1QC",0.452,0.033,3.44088459948924,1.92081712758187e-245,9.65806059919441e-241,0.712,0.424
"117","C10orf90",118611,"Oligo",0.938,0.265,3.28906231014279,0,0,0.938,0.876
"118","C12orf75",387882,"Micro_C1QC",0.428,0.128,3.70792700479599,4.31864121322458e-208,2.17145598842145e-203,0.67,0.34
"119","C14orf93",60686,"VLMC_CYP1B1",0.364,0.167,2.65967403671102,0.0186242029992937,1,0.616,0.232
"120","C1QA",712,"Micro_C1QC",0.367,0.007,4.98955699663422,8.89233545488197e-311,4.4711551900692e-306,0.681,0.362
"121","C1QB",713,"Micro_C1QC",0.485,0.014,5.28469216929235,0,0,0.739,0.478
"122","C1QC",714,"Micro_C1QC",0.557,0.006,4.13223252610128,0,0,0.777,0.554
"123","C1QL1",10882,"OPC_MYT1",0.53,0.078,3.09604162617046,8.05161907291365e-266,4.04843458605171e-261,0.738,0.476
"124","C1QTNF1",114897,"Peri_MUSTN1",0.625,0.116,4.09764354978501,2.34937404853544e-70,1.18128876534411e-65,0.786,0.572
"125","C1S",716,"VLMC_CYP1B1",0.455,0.094,3.17764717987575,0.00159029587255454,1,0.689,0.378
"126","C21orf91",54149,"Oligo",0.369,0.048,3.26500556625536,0,0,0.666,0.332
"127","C22orf31",25770,"VLMC_CYP1B1",0.545,0.1,3.35850089979962,4.25781083004754e-07,0.0214086986345621,0.736,0.472
"128","C22orf34",348645,"Endo_CLDN5",0.371,0.213,3.52299696458935,5.49030537821044e-35,2.76058044721799e-30,0.608,0.216
"129","C2orf82",389084,"Astro_FGFR3",0.413,0.127,2.63471299021307,6.91220339384564e-243,3.47552498845953e-238,0.662,0.324
"130","C3",718,"Micro_C1QC",0.927,0.239,5.91524392879883,0,0,0.951,0.902
"131","CA2",760,"Oligo",0.777,0.191,3.18092805962507,0,0,0.845,0.69
