"","gene","entrez_id","ensembl_id","subclass","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"1","A2M",2,"ENSG00000175899","Pericyte",0.167,0.02,2.98473117468393,0.563,0.126,4.86078174658405e-39,8.71343735892657e-35
"2","A2M",2,"ENSG00000175899","Microglia",0.244,0.014,4.37300142778329,0.657,0.314,0,0
"3","AATK",9625,"ENSG00000181409","Oligodendrocyte",0.349,0.258,1.68644026835194,0.581,0.162,0,0
"4","ABCA1",19,"ENSG00000165029","Astrocyte",0.175,0.039,1.78294986074904,0.556,0.112,8.2943873039871e-232,1.48685186811273e-227
"5","ABCA2",20,"ENSG00000107331","Oligodendrocyte",0.552,0.206,2.59071918357344,0.672,0.344,0,0
"6","ABCA8",10351,"ENSG00000141338","Oligodendrocyte",0.401,0.011,4.45080975433871,0.881,0.762,0,0
"7","ABCA9",10350,"ENSG00000154258","Pericyte",0.281,0.085,3.02814429767899,0.65,0.3,5.82412502177341e-113,1.0440326514031e-108
"8","ABCB1",5243,"ENSG00000085563","Pericyte",0.253,0.035,4.44456729772466,0.707,0.414,4.61724280669047e-207,8.27686945527333e-203
"9","ABCC1",4363,"ENSG00000278183, ENSG00000103222","LAMP5",0.301,0.105,1.31667207409762,0.579,0.158,5.34385526511949e-81,9.57939494825319e-77
"10","ABCC4",10257,"ENSG00000125257","Microglia",0.311,0.053,3.51985644860119,0.63,0.26,0,0
"11","ABCC9",10060,"ENSG00000069431","Astrocyte",0.154,0.029,2.64382799629831,0.685,0.37,0,0
"12","ABCC9",10060,"ENSG00000069431","L5.6.NP",0.186,0.034,1.27977734170574,0.576,0.152,7.77029083837129e-33,1.39290233568644e-28
"13","ABCD2",225,"ENSG00000173208","Astrocyte",0.151,0.072,1.68985513519498,0.565,0.13,5.77357865405685e-271,1.03497170952623e-266
"14","ABHD17B",51104,"ENSG00000107362","Oligodendrocyte",0.168,0.129,1.60082227477829,0.571,0.142,0,0
"15","ABHD2",11057,"ENSG00000140526","OPC",0.64,0.277,1.62029746554759,0.648,0.296,0,0
"16","ABHD3",171586,"ENSG00000158201","Microglia",0.2,0.075,2.48405782820777,0.598,0.196,0,0
"17","ABLIM1",3983,"ENSG00000099204","Astrocyte",0.618,0.301,1.68394616532729,0.6,0.2,0,0
"18","ABLIM3",22885,"ENSG00000173210","L5.6.NP",0.394,0.109,1.41185967777666,0.613,0.226,7.14664651468012e-55,1.28110785422156e-50
"19","ABR",29,"ENSG00000159842, ENSG00000276016, ENSG00000278741","Microglia",0.452,0.381,1.64228050212725,0.568,0.136,0,0
"20","AC013461.1",NA,NA,"Pericyte",0.156,0.072,1.70374468188598,0.526,0.052,3.44394643322999e-24,6.17361837620808e-20
"21","ACACB",32,"ENSG00000076555","Astrocyte",0.417,0.049,2.53540282192081,0.678,0.356,0,0
"22","ACADVL",37,"ENSG00000072778","Astrocyte",0.341,0.214,1.33091618997661,0.576,0.152,0,0
"23","ACER3",55331,"ENSG00000078124","Oligodendrocyte",0.307,0.236,1.55904000197915,0.57,0.14,0,0
"24","ACOT11",26027,"ENSG00000162390","Astrocyte",0.455,0.099,2.60091736813786,0.683,0.366,0,0
"25","ACSBG1",23205,"ENSG00000103740","Astrocyte",0.454,0.013,3.79082537279336,0.811,0.622,0,0
"26","ACSS1",84532,"ENSG00000154930","Astrocyte",0.48,0.03,2.97741711667689,0.72,0.44,0,0
"27","ACSS3",79611,"ENSG00000111058","Astrocyte",0.354,0.038,3.36056536295755,0.769,0.538,0,0
"28","ACSS3",79611,"ENSG00000111058","Pericyte",0.205,0.052,2.21336467571181,0.558,0.116,6.3712905604075e-36,1.14211754585865e-31
"29","ACTN1",87,"ENSG00000072110","IT",0.525,0.077,1.79620027125366,0.729,0.458,0,0
"30","ADAM11",4185,"ENSG00000073670","IT",0.289,0.057,1.29505643008472,0.585,0.17,0,0
"31","ADAM12",8038,"ENSG00000148848","Pericyte",0.181,0.069,2.0815236800401,0.543,0.0860000000000001,2.31759677253144e-29,4.15452397443986e-25
"32","ADAM28",10863,"ENSG00000042980","Microglia",0.367,0.011,5.49298913079377,0.752,0.504,0,0
"33","ADAMTS12",81792,"ENSG00000151388, ENSG00000281690","L5.6.NP",0.255,0.008,2.81820924284281,0.733,0.466,5.23733462395711e-120,9.38844604690552e-116
"34","ADAMTS17",170691,"ENSG00000140470","Astrocyte",0.254,0.097,1.34983311730265,0.554,0.108,3.82738356974417e-223,6.86096778712341e-219
"35","ADAMTS17",170691,"ENSG00000140470","PVALB",0.525,0.085,1.80563871147291,0.69,0.38,0,0
"36","ADAMTS17",170691,"ENSG00000140470","OPC",0.509,0.089,2.15058393722903,0.72,0.44,0,0
"37","ADAMTS19",171019,"ENSG00000145808","L5.6.NP",0.625,0.176,1.45338302021818,0.687,0.374,4.95287093155561e-98,8.87851643190658e-94
"38","ADAMTS19",171019,"ENSG00000145808","SST",0.299,0.175,1.25345132822822,0.571,0.142,2.00034639606606e-141,3.58582094958802e-137
"39","ADAMTS3",9508,"ENSG00000156140","IT",0.218,0.01,2.4000365866567,0.824,0.648,0,0
"40","ADAMTS6",11174,"ENSG00000049192","OPC",0.167,0.041,1.67847413202129,0.558,0.116,2.46591956514026e-161,4.42040741247042e-157
"41","ADAMTS6",11174,"ENSG00000049192","VIP",0.264,0.036,2.63523342890426,0.733,0.466,0,0
"42","ADAMTS9",56999,"ENSG00000163638","Pericyte",0.156,0.019,3.7983092281112,0.581,0.162,1.87352341018329e-52,3.35847806509456e-48
"43","ADAMTSL1",92949,"ENSG00000178031","L5.6.NP",0.189,0.051,1.6783842809388,0.57,0.14,8.90376700273512e-27,1.5960892729103e-22
"44","ADAMTSL1",92949,"ENSG00000178031","L6b",0.309,0.045,1.80238289159449,0.621,0.242,5.92971345825309e-262,1.06296043452645e-257
"45","ADAMTSL3",57188,"ENSG00000156218","Pericyte",0.17,0.116,1.42170634992913,0.521,0.042,1.2278853908426e-18,2.20110735162445e-14
"46","ADAMTSL3",57188,"ENSG00000156218","LAMP5",0.424,0.112,1.4466474138493,0.627,0.254,3.99358969585017e-147,7.15890888878102e-143
"47","ADAP2",55803,"ENSG00000184060","Microglia",0.234,0.033,3.49653634299078,0.63,0.26,0,0
"48","ADARB2",105,"ENSG00000185736","LAMP5",0.931,0.193,2.28672888380516,0.834,0.668,0,0
"49","ADARB2",105,"ENSG00000185736","VIP",0.959,0.168,2.86550865628821,0.749,0.498,0,0
"50","ADCY2",108,"ENSG00000078295","Astrocyte",0.793,0.402,1.82877886522319,0.617,0.234,0,0
