"","gene","entrez_id","ensembl_id","subclass","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"1","AARD",441376,"ENSG00000205002","LAMP5",0.455,0.042,2.59243862913096,0.712,0.424,1.90624282185198e-154,9.58477953255395e-150
"2","ABCA1",19,"ENSG00000165029","VLMC",0.818,0.433,2.81104902678802,0.796,0.592,1.67409648777116e-05,0.841752455016216
"3","ABCA10",10349,"ENSG00000154263","VLMC",1,0.468,3.63676289848706,0.999,0.998,2.47443392665095e-14,1.24417012265936e-09
"4","ABCA2",20,"ENSG00000107331","Oligodendrocyte",0.951,0.439,3.14944993939329,0.928,0.856,0,0
"5","ABCA4",24,"ENSG00000198691","VLMC",0.636,0.09,4.78693235160492,0.8,0.6,2.17454773694656e-16,1.0933843476141e-11
"6","ABCA6",23460,"ENSG00000154262","VLMC",1,0.351,3.62531132608503,0.98,0.96,1.29695077218549e-12,6.52119817762586e-08
"7","ABCA9",10350,"ENSG00000154258","VLMC",1,0.395,4.53243848888794,1,1,1.02482193724313e-21,5.15290718265216e-17
"8","ABCB1",5243,"ENSG00000085563","Endothelial",0.943,0.185,5.96675804596451,0.966,0.932,1.14821198645012e-186,5.77332468906983e-182
"9","ABCB5",340273,"ENSG00000004846","PAX6",0.576,0.255,2.55959745017692,0.704,0.408,6.8424170382457e-49,3.44043571100032e-44
"10","ABCC4",10257,"ENSG00000125257","Microglia",0.9,0.613,3.58491327562762,0.868,0.736,0,0
"11","ABCC9",10060,"ENSG00000069431","Pericyte",0.625,0.288,3.18626552926897,0.727,0.454,1.40442035806565e-13,7.0615660023899e-09
"12","ABCG2",9429,"ENSG00000118777","Endothelial",0.957,0.433,5.12196089320626,0.964,0.928,0,0
"13","ACACB",32,"ENSG00000076555","Astrocyte",0.933,0.409,2.69262063361207,0.91,0.82,0,0
"14","ACBD7",414149,"ENSG00000176244","Astrocyte",0.378,0.064,3.291116059137,0.666,0.332,9.73260043119139e-294,4.89364882280734e-289
"15","ACER2",340485,"ENSG00000177076","Endothelial",0.5,0.277,2.94306137787968,0.65,0.3,4.94511255927305e-17,2.48645204592808e-12
"16","ACOT11",26027,"ENSG00000162390","Astrocyte",0.869,0.345,2.97835328105832,0.869,0.738,0,0
"17","ACOX2",8309,"ENSG00000168306","VLMC",0.455,0.126,2.56727145381296,0.676,0.352,0.00341335955507497,1
"18","ACSBG1",23205,"ENSG00000103740","Astrocyte",0.928,0.188,3.89099356524418,0.946,0.892,0,0
"19","ACSL5",51703,"ENSG00000197142","Endothelial",0.414,0.187,2.69036780972267,0.626,0.252,1.43795008081172e-08,0.000723015680132943
"20","ACSS1",84532,"ENSG00000154930","Astrocyte",0.928,0.136,2.97902470990251,0.934,0.868,0,0
"21","ACVR1",90,"ENSG00000115170","Endothelial",0.8,0.592,2.64895639483963,0.756,0.512,1.3565602946662e-32,6.82092081761111e-28
"22","ADAM19",8728,"ENSG00000135074","VLMC",0.455,0.375,2.50164099235518,0.608,0.216,0.000367042680600794,1
"23","ADAM28",10863,"ENSG00000042980","Microglia",0.879,0.063,5.82074267176335,0.933,0.866,0,0
"24","ADAMTS3",9508,"ENSG00000156140","IT",0.845,0.297,2.9140100031143,0.872,0.744,0,0
"25","ADAMTS4",9507,"ENSG00000158859","Oligodendrocyte",0.351,0.044,3.40664025222758,0.659,0.318,0,0
"26","ADAMTS9.AS2",NA,NA,"Pericyte",0.844,0.414,2.53490847760922,0.822,0.644,1.08143495108535e-13,5.43756307755223e-09
"27","ADAMTSL1",92949,"ENSG00000178031","L6 CT",0.982,0.693,3.0769871530281,0.946,0.892,0,0
"28","ADAMTSL2",9719,"ENSG00000197859","Microglia",0.453,0.251,2.54209628757266,0.636,0.272,2.25332593364532e-139,1.1329948126962e-134
"29","ADAP2",55803,"ENSG00000184060","Microglia",0.617,0.208,4.67735816071895,0.759,0.518,0,0
"30","ADCY4",196883,"ENSG00000129467, ENSG00000284814","Endothelial",0.414,0.027,4.38211427854879,0.699,0.398,4.03956662747132e-68,2.03113449595885e-63
"31","ADCY7",113,"ENSG00000121281","Microglia",0.509,0.219,3.41318974046824,0.682,0.364,5.34246003863065e-201,2.68624233202388e-196
"32","ADGRA3",166647,"ENSG00000152990","Astrocyte",0.864,0.268,2.85353425760947,0.877,0.754,0,0
"33","ADGRL4",64123,"ENSG00000162618","Endothelial",0.771,0.079,5.88956366919346,0.876,0.752,8.77291342390151e-166,4.41110859867192e-161
"34","ADGRV1",84059,"ENSG00000164199","Astrocyte",1,0.687,4.88572097058579,1,1,0,0
"35","ADIRF",10974,"ENSG00000148671","Pericyte",0.562,0.052,4.34042790226846,0.769,0.538,2.68330765307227e-26,1.34919392104127e-21
"36","ADORA2A.AS1",NA,NA,"Pericyte",0.5,0.498,2.93240233229997,0.55,0.1,1.03355141191256e-13,5.19679985423755e-09
"37","ADORA2B",136,"ENSG00000170425","Astrocyte",0.481,0.169,3.37023637727746,0.684,0.368,8.69555536680594e-322,4.37221219398369e-317
"38","AFAP1L1",134265,"ENSG00000157510","Endothelial",0.386,0.091,4.39699584043895,0.662,0.324,4.51903397059215e-46,2.27221547075344e-41
"39","AGT",183,"ENSG00000135744","Astrocyte",0.607,0.032,3.70525428400772,0.793,0.586,0,0
"40","AIF1",199,"ENSG00000237727, ENSG00000235588, ENSG00000235985, ENSG00000206428, ENSG00000204472, ENSG00000234836","Microglia",0.428,0.01,5.42594586921386,0.711,0.422,0,0
"41","AIF1L",83543,"ENSG00000126878","Oligodendrocyte",0.41,0.141,2.50951783401107,0.653,0.306,4.91995595623286e-282,2.47380305435344e-277
"42","AIFM3",150209,"ENSG00000183773","Astrocyte",0.655,0.109,3.87625248959547,0.801,0.602,0,0
"43","AKAP13",11214,"ENSG00000170776","Microglia",0.952,0.756,2.53269433321431,0.849,0.698,1.68279808012689e-307,8.46127702668603e-303
"44","AKAP7",9465,"ENSG00000118507","VLMC",0.909,0.616,2.92610786304146,0.864,0.728,2.67040724219182e-07,0.0134270746544647
"45","AKR1C1",1645,"ENSG00000187134","VLMC",0.727,0.142,2.60818829942698,0.815,0.63,3.60063920458982e-06,0.181043739845981
"46","AKR1C2",1646,"ENSG00000151632","VLMC",0.909,0.139,4.24661134098135,0.937,0.874,9.9944348051134e-15,5.02530176435907e-10
"47","ALDH1A1",216,"ENSG00000165092","VLMC",0.364,0.063,3.26225087385901,0.657,0.314,0.00101818828663732,1
"48","ALDH1A2",8854,"ENSG00000128918","VLMC",0.818,0.192,4.03349633133402,0.871,0.742,9.88642148066052e-12,4.97099158469091e-07
"49","ALDH1L1",10840,"ENSG00000144908","Astrocyte",0.728,0.061,3.88249512405054,0.85,0.7,0,0
"50","ALOX5",240,"ENSG00000012779, ENSG00000275565","Microglia",0.623,0.184,4.52056612760855,0.767,0.534,0,0
"51","ALOX5AP",241,"ENSG00000132965","Microglia",0.369,0.115,4.98380593326084,0.645,0.29,0,0
"52","ALPK1",80216,"ENSG00000073331","Microglia",0.471,0.248,3.46871498026143,0.648,0.296,1.79834486845658e-183,9.04225783308652e-179
"53","ALPL",249,"ENSG00000162551","Endothelial",0.7,0.217,4.80785742194348,0.799,0.598,5.14906894828618e-117,2.58900335788777e-112
"54","AMOTL1",154810,"ENSG00000166025","VLMC",0.909,0.301,3.13861725937852,0.912,0.824,2.67558714748898e-09,0.000134531197362893
"55","AMZ2",51321,"ENSG00000196704","Astrocyte",0.986,0.59,2.82081000529294,0.949,0.898,0,0
"56","ANGPTL4",51129,"ENSG00000167772","Astrocyte",0.431,0.102,3.63465857369738,0.68,0.36,1.48091236684455e-318,7.44617547173109e-314
"57","ANKRD29",147463,"ENSG00000154065","Endothelial",0.643,0.351,2.93984439715179,0.728,0.456,2.06492023189044e-28,1.03826254179683e-23
"58","ANKRD34B",340120,"ENSG00000189127","L5 ET",0.6,0.041,2.60408338694673,0.787,0.574,1.58886246319785e-43,7.98895935120512e-39
"59","ANLN",54443,"ENSG00000011426","Oligodendrocyte",0.793,0.148,4.22017204980328,0.871,0.742,0,0
"60","ANTXR2",118429,"ENSG00000163297","VLMC",0.636,0.202,3.04167362212633,0.756,0.512,1.7136087455902e-05,0.861619613370207
"61","ANXA2",302,"ENSG00000182718","VLMC",0.636,0.14,4.00808631494252,0.782,0.564,2.54805861980425e-10,1.28118935462378e-05
"62","ANXA3",306,"ENSG00000138772","Endothelial",0.5,0.073,5.01849705477762,0.728,0.456,3.6855331776306e-68,1.85312293704444e-63
"63","AOAH",313,"ENSG00000136250","Microglia",0.931,0.414,3.94745294935932,0.932,0.864,0,0
"64","APBB1IP",54518,"ENSG00000077420","Microglia",0.991,0.288,6.27610902082117,0.992,0.984,0,0
"65","APLP1",333,"ENSG00000105290","Oligodendrocyte",0.944,0.615,2.66282669111282,0.905,0.81,0,0
"66","APOE",348,"ENSG00000130203","Astrocyte",0.732,0.118,2.60077217113414,0.828,0.656,0,0
"67","APOLD1",81575,"ENSG00000178878","Endothelial",0.571,0.38,2.82278151202848,0.665,0.33,9.54666311628912e-23,4.80015768150133e-18
"68","AQP4",361,"ENSG00000171885","Astrocyte",0.848,0.109,4.86556268324169,0.909,0.818,0,0
"69","ARAP3",64411,"ENSG00000120318","Endothelial",0.357,0.156,3.1565380562988,0.619,0.238,5.73324448510055e-20,2.88273265955341e-15
"70","ARHGAP10",79658,"ENSG00000071205","Pericyte",0.875,0.641,3.1475840126353,0.866,0.732,4.86734971840111e-37,2.44735211190926e-32
"71","ARHGAP15",55843,"ENSG00000075884","Microglia",0.867,0.39,3.43930464705788,0.876,0.752,0,0
"72","ARHGAP22",58504,"ENSG00000128805","Microglia",0.941,0.527,2.91568148229997,0.912,0.824,0,0
"73","ARHGAP25",9938,"ENSG00000163219","Microglia",0.547,0.173,4.07374148440863,0.723,0.446,1.36822045430956e-299,6.8795492663139e-295
"74","ARHGAP27",201176,"ENSG00000276907, ENSG00000276836, ENSG00000159314","Microglia",0.425,0.24,3.17106915520966,0.62,0.24,3.01113468827969e-132,1.51402863261391e-127
"75","ARHGAP42",143872,"ENSG00000165895","Pericyte",0.906,0.528,2.52431227538017,0.841,0.682,6.08983947054298e-16,3.06203218418371e-11
"76","ARHGDIB",397,"ENSG00000111348","Microglia",0.353,0.03,4.24262239242121,0.665,0.33,2.99260979251371e-219,1.50471412977382e-214
