"","gene","entrez_id","ensembl_id","class","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"1","AASS",10157,"ENSG00000008311","Non-neuronal",0.56,0.14,3.26766113541397,0.735,0.47,0,0
"2","ABCA8",10351,"ENSG00000141338","Non-neuronal",0.454,0.109,5.23814026538592,0.692,0.384,0,0
"3","ABCG2",9429,"ENSG00000118777","Non-neuronal",0.468,0.407,3.26400494817927,0.566,0.132,1.38712213359201e-81,6.97458879991398e-77
"4","ABTB2",25841,"ENSG00000166016","Non-neuronal",0.552,0.338,3.28235440360092,0.663,0.326,0,0
"5","ACACB",32,"ENSG00000076555","Non-neuronal",0.58,0.373,3.01434530067978,0.666,0.332,0,0
"6","ACSBG1",23205,"ENSG00000103740","Non-neuronal",0.382,0.18,3.95471097640903,0.626,0.252,0,0
"7","ACSS1",84532,"ENSG00000154930","Non-neuronal",0.421,0.056,4.17970207512544,0.691,0.382,0,0
"8","ACSS3",79611,"ENSG00000111058","Non-neuronal",0.355,0.234,2.83737231528825,0.58,0.16,2.23030610257318e-138,1.12142021143482e-133
"9","ADAMTS3",9508,"ENSG00000156140","Glutamatergic",0.746,0.272,3.08621902491112,0.812,0.624,0,0
"10","ADARB2",105,"ENSG00000185736","GABAergic",0.782,0.627,2.55066508904827,0.724,0.448,0,0
"11","ADGRG1",9289,"ENSG00000205336","Non-neuronal",0.447,0.192,2.74106468184512,0.649,0.298,7.04094896284293e-277,3.54025954800705e-272
"12","ADGRV1",84059,"ENSG00000164199","Non-neuronal",0.684,0.761,3.12417026421859,0.494,0.012,1.16950048165545e-80,5.88036537181175e-76
"13","ADTRP",84830,"ENSG00000111863","Glutamatergic",0.445,0.039,2.910730028634,0.709,0.418,0,0
"14","AHNAK",79026,"ENSG00000124942","Non-neuronal",0.534,0.422,2.65779979223131,0.607,0.214,2.37781261223804e-172,1.19558795955941e-167
"15","ANKRD55",79722,"ENSG00000164512","GABAergic",0.775,0.421,2.6492031785173,0.79,0.58,0,0
"16","ANLN",54443,"ENSG00000011426","Non-neuronal",0.397,0.16,3.18331224240206,0.637,0.274,3.28842574608e-275,1.65345334938648e-270
"17","ANO3",63982,"ENSG00000134343","Glutamatergic",0.97,0.421,3.05787702844004,0.955,0.91,0,0
"18","AOAH",313,"ENSG00000136250","Non-neuronal",0.481,0.428,2.90767430694875,0.556,0.112,1.98165862234454e-87,9.9639777190106e-83
"19","APBB1IP",54518,"ENSG00000077420","Non-neuronal",0.432,0.258,4.95726366768209,0.617,0.234,1.51447247439941e-219,7.61491904852767e-215
"20","APCDD1",147495,"ENSG00000154856","Non-neuronal",0.369,0.034,3.99639615374817,0.672,0.344,0,0
"21","APOD",347,"ENSG00000189058","Non-neuronal",0.566,0.234,3.87157086420402,0.711,0.422,0,0
"22","ARHGAP24",83478,"ENSG00000138639","Non-neuronal",0.787,0.777,3.38767284249623,0.625,0.25,9.43027920791956e-314,4.74163868853404e-309
"23","ARHGAP31",57514,"ENSG00000031081","Non-neuronal",0.436,0.137,3.02056162763791,0.667,0.334,0,0
"24","ARL4C",10123,"ENSG00000188042","GABAergic",0.823,0.148,2.80708064192024,0.875,0.75,0,0
"25","ATP10B",23120,"ENSG00000118322","Non-neuronal",0.744,0.543,3.15618430412331,0.732,0.464,0,0
"26","ATP13A4",84239,"ENSG00000127249","Non-neuronal",0.522,0.281,3.31710343421516,0.666,0.332,0,0
"27","ATP1A2",477,"ENSG00000018625","Non-neuronal",0.429,0.143,4.49678788359981,0.664,0.328,0,0
"28","BCAS1",8537,"ENSG00000064787","Non-neuronal",0.638,0.169,4.88847708787295,0.779,0.558,0,0
"29","BEST1",7439,"ENSG00000167995","Non-neuronal",0.535,0.344,3.0220945894435,0.647,0.294,6.37462483657499e-220,3.20522511407827e-215
"30","BMP7",655,"ENSG00000101144","Non-neuronal",0.386,0.159,2.77043878883479,0.634,0.268,8.84094395481489e-310,4.44531502992047e-305
"31","BMPR1B",658,"ENSG00000138696","Non-neuronal",0.694,0.546,3.63845993363937,0.698,0.396,0,0
"32","BNC2",54796,"ENSG00000173068","Non-neuronal",0.59,0.45,4.10942000584257,0.634,0.268,1.15824584804373e-209,5.82377594854869e-205
"33","BTBD11",121551,"ENSG00000151136","GABAergic",0.822,0.38,3.0130312435075,0.842,0.684,0,0
"34","C10orf11",83938,"ENSG00000148655","Non-neuronal",0.803,0.713,2.84257165287606,0.669,0.338,2.11418689702717e-266,1.06303431369423e-261
"35","C10orf90",118611,"ENSG00000154493","Non-neuronal",0.626,0.183,4.66575257175181,0.768,0.536,0,0
"36","C3",718,"ENSG00000125730","Non-neuronal",0.377,0.211,4.66404570434693,0.606,0.212,1.99206883091401e-205,1.00163212887187e-200
"37","CAPN3",825,"ENSG00000092529","Non-neuronal",0.47,0.221,3.35575561898752,0.657,0.314,0,0
"38","CARD11",84433,"ENSG00000198286","Non-neuronal",0.478,0.426,2.52770035022064,0.563,0.126,2.51537633640224e-76,1.26475637570641e-71
"39","CARNS1",57571,"ENSG00000172508","Non-neuronal",0.428,0.073,4.70596974711191,0.69,0.38,0,0
