"gene","entrez_id","ensembl_id","subclass","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj","2ByFC_reference_group","2ByFC_avg_logFC","2ByFC_pct.2","2ByFC_p_val","2ByPct_reference_group","2ByPct_avg_logFC","2ByPct_pct.2","2ByPct_p_val"
"ACACB",32,"ENSG00000076555","Astrocyte",0.933,0.409,2.69262063361207,0.91,0.82,0,0,"Pericyte",0.751676057295541,0.312,1.33006217920535e-18,"VLMC",1.39231476372237,0.636,3.71893725829509e-05
"ACBD7",414149,"ENSG00000176244","Astrocyte",0.378,0.064,3.291116059137,0.666,0.332,9.73260043119139e-294,4.89364882280734e-289,"L5/6 IT Car3",2.05309042811845,0.185,0.000102367283374156,"L5/6 IT Car3",2.05309042811845,0.185,0.000102367283374156
"ACOT11",26027,"ENSG00000162390","Astrocyte",0.869,0.345,2.97835328105832,0.869,0.738,0,0,"L6b",1.88051009859059,0.675,1.14601831692997e-42,"L6b",1.88051009859059,0.675,1.14601831692997e-42
"ACSBG1",23205,"ENSG00000103740","Astrocyte",0.928,0.188,3.89099356524418,0.946,0.892,0,0,"Oligodendrocyte",2.60766005242366,0.232,0,"VLMC",5.64606987720593,0.273,9.87211472437105e-14
"ACSS1",84532,"ENSG00000154930","Astrocyte",0.928,0.136,2.97902470990251,0.934,0.868,0,0,"VLMC",1.54304062942866,0.182,2.22943422472414e-09,"OPC",2.43472378607167,0.266,1.63884902492512e-281
"ADGRA3",166647,"ENSG00000152990","Astrocyte",0.864,0.268,2.85353425760947,0.877,0.754,0,0,"OPC",1.34937303406911,0.391,5.52100351944968e-129,"VLMC",1.7679104950553,0.636,5.72209962289589e-06
"ADGRV1",84059,"ENSG00000164199","Astrocyte",1,0.687,4.88572097058579,1,1,0,0,"L5 ET",3.58039239385322,1,1.72409988890527e-299,"L5 ET",3.58039239385322,1,1.72409988890527e-299
"ADORA2B",136,"ENSG00000170425","Astrocyte",0.481,0.169,3.37023637727746,0.684,0.368,8.69555536680594e-322,4.37221219398369e-317,"Pericyte",0.765320340038748,0.156,0.000664598017371753,"SST",2.21363177884243,0.274,1.04657596214164e-25
"AGT",183,"ENSG00000135744","Astrocyte",0.607,0.032,3.70525428400772,0.793,0.586,0,0,"Pericyte",0.714207833997358,0.156,1.30435088749581e-06,"Pericyte",0.714207833997358,0.156,1.30435088749581e-06
"AIFM3",150209,"ENSG00000183773","Astrocyte",0.655,0.109,3.87625248959547,0.801,0.602,0,0,"L5 ET",2.87487157644621,0.446,6.77341421396764e-16,"L5 ET",2.87487157644621,0.446,6.77341421396764e-16
"ALDH1L1",10840,"ENSG00000144908","Astrocyte",0.728,0.061,3.88249512405054,0.85,0.7,0,0,"OPC",1.97047434735363,0.166,1.578132611522e-150,"OPC",1.97047434735363,0.166,1.578132611522e-150
"AMZ2",51321,"ENSG00000196704","Astrocyte",0.986,0.59,2.82081000529294,0.949,0.898,0,0,"L5/6 IT Car3",2.05609973271513,0.938,1.39694309013477e-30,"L5/6 IT Car3",2.05609973271513,0.938,1.39694309013477e-30
"ANGPTL4",51129,"ENSG00000167772","Astrocyte",0.431,0.102,3.63465857369738,0.68,0.36,1.48091236684455e-318,7.44617547173109e-314,"Pericyte",0.927473823764102,0.281,0.0673584811175759,"Pericyte",0.927473823764102,0.281,0.0673584811175759
"APOE",348,"ENSG00000130203","Astrocyte",0.732,0.118,2.60077217113414,0.828,0.656,0,0,"Microglia",0.482686116735396,0.367,2.70145935525371e-56,"Microglia",0.482686116735396,0.367,2.70145935525371e-56
"AQP4",361,"ENSG00000171885","Astrocyte",0.848,0.109,4.86556268324169,0.909,0.818,0,0,"L6 CT",3.99855171812035,0.3,9.40316039356444e-121,"L5/6 IT Car3",4.14819974513,0.338,1.92534262849088e-35
"ARHGEF26",26084,"ENSG00000114790, ENSG00000277101","Astrocyte",0.904,0.247,3.3497043635327,0.916,0.832,0,0,"OPC",1.99951107342918,0.326,1.39507701872414e-228,"L6b",3.06171787887277,0.437,8.26065633498302e-124
"ARHGEF26.AS1",NA,NA,"Astrocyte",0.836,0.188,2.9475796352966,0.874,0.748,0,0,"OPC",1.69155486442987,0.301,1.53892460915439e-156,"L6b",2.37285531251257,0.461,6.7890822960111e-70
"ATP13A4",84239,"ENSG00000127249","Astrocyte",0.978,0.317,2.94391826215806,0.956,0.912,0,0,"OPC",0.817174098816245,0.836,2.60962052442562e-82,"OPC",0.817174098816245,0.836,2.60962052442562e-82
"ATP1B2",482,"ENSG00000129244","Astrocyte",0.961,0.374,2.52931148922509,0.918,0.836,0,0,"Pericyte",0.624039490489384,0.844,4.10063358100301e-05,"LAMP5",1.20899183752413,0.916,1.05971372962827e-44
"BMPR1B",658,"ENSG00000138696","Astrocyte",0.986,0.567,4.76551890295352,0.977,0.954,0,0,"Pericyte",2.34540259069174,0.625,4.89576511022385e-36,"VLMC",4.14773340476486,0.727,5.48268027492801e-17
"C2orf82",389084,"ENSG00000182600","Astrocyte",0.413,0.126,2.63726673558047,0.662,0.324,3.04912498700871e-243,1.53313053471785e-238,"Oligodendrocyte",2.12673965906879,0.068,2.90934796378098e-124,"L6b",2.26603054754829,0.44,1.93585055047605e-58
"CABLES1",91768,"ENSG00000134508","Astrocyte",0.84,0.476,2.58699066975871,0.828,0.656,0,0,"OPC",0.912437933083415,0.696,2.02887322225004e-43,"L5/6 IT Car3",2.53632312863309,0.785,1.1169048806464e-17
"CACHD1",57685,"ENSG00000158966","Astrocyte",0.918,0.469,2.63464913077109,0.887,0.774,0,0,"Pericyte",-0.0276472386716469,0.719,0.000449673486015239,"L5/6 IT Car3",1.02558842236632,0.954,7.40481013441983e-07
"CASC17",101928165,NA,"Astrocyte",0.442,0.276,2.87536720675765,0.617,0.234,1.7518500878167e-221,8.80847742655115e-217,"VIP",2.36411024503296,0.285,1.44117344731507e-34,"VLMC",3.1744707388797,0.636,0.0300571010160249
"CD38",952,"ENSG00000004468","Astrocyte",0.571,0.28,3.85646897520368,0.701,0.402,0,0,"Pericyte",0.425190138416286,0.469,0.430684444517993,"VLMC",4.24760887626943,0.636,0.011095069425789
"CDC42EP4",23580,"ENSG00000179604","Astrocyte",0.646,0.179,3.06122977622134,0.774,0.548,0,0,"Endothelial",0.249141603288145,0.271,3.66724067419201e-09,"VLMC",2.32911015458215,0.545,0.0832696443959413
"CFAP47",286464,"ENSG00000165164","Astrocyte",0.57,0.423,2.66463415946987,0.619,0.238,3.73040198706987e-132,1.8756834231186e-127,"SST",1.64634235560199,0.49,6.26184514527663e-05,"VLMC",3.66542168799542,0.636,0.221506333150759
"CLDN10",9071,"ENSG00000134873","Astrocyte",0.719,0.282,2.94510464405736,0.791,0.582,0,0,"OPC",0.925654283748399,0.468,2.05100531679413e-46,"OPC",0.925654283748399,0.468,2.05100531679413e-46
