"","gene","entrez_id","ensembl_id","class","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"1","AASS",10157,"ENSG00000008311","Non-neuronal",0.56,0.168,3.55546476358563,0.732,0.464,0,0
"2","ABCA8",10351,"ENSG00000141338","Non-neuronal",0.454,0.185,4.84547392932772,0.67,0.34,0,0
"3","ABCG2",9429,"ENSG00000118777","Non-neuronal",0.468,0.54,3.15486110752375,0.517,0.034,2.8313900444488e-239,1.4236512282493e-234
"4","ABTB2",25841,"ENSG00000166016","Non-neuronal",0.552,0.464,3.17808673758166,0.626,0.252,0,0
"5","ACACB",32,"ENSG00000076555","Non-neuronal",0.58,0.484,2.95324916660912,0.637,0.274,0,0
"6","ACSBG1",23205,"ENSG00000103740","Non-neuronal",0.382,0.272,3.70816805217204,0.595,0.19,0,0
"7","ACSS1",84532,"ENSG00000154930","Non-neuronal",0.421,0.08,4.18039116663769,0.684,0.368,0,0
"8","ACSS3",79611,"ENSG00000111058","Non-neuronal",0.355,0.333,2.82804629088703,0.545,0.0900000000000001,0,0
"9","ADAMTS3",9508,"ENSG00000156140","Glutamatergic",0.782,0.362,3.06973097161562,0.8,0.6,0,0
"10","ADARB2",105,"ENSG00000185736","GABAergic",0.89,0.699,3.43065092185919,0.794,0.588,0,0
"11","ADGRG1",9289,"ENSG00000205336","Non-neuronal",0.447,0.2,2.9499424851429,0.649,0.298,0,0
"12","ADGRV1",84059,"ENSG00000164199","Non-neuronal",0.684,0.87,3.06487023344647,0.454,0.092,0,0
"13","AHNAK",79026,"ENSG00000124942","Non-neuronal",0.534,0.544,2.58489357319754,0.572,0.144,0,0
"14","ANK1",286,"ENSG00000029534","GABAergic",0.88,0.435,2.82175551635583,0.87,0.74,0,0
"15","ANKRD55",79722,"ENSG00000164512","GABAergic",0.844,0.518,2.50781401439762,0.808,0.616,0,0
"16","ANLN",54443,"ENSG00000011426","Non-neuronal",0.397,0.186,3.43304315013397,0.631,0.262,0,0
"17","ANO1",55107,"ENSG00000131620","GABAergic",0.523,0.25,2.7196055070782,0.674,0.348,0,0
"18","ANO3",63982,"ENSG00000134343","Glutamatergic",0.95,0.494,3.02691781519135,0.927,0.854,0,0
"19","AOAH",313,"ENSG00000136250","Non-neuronal",0.481,0.539,2.64971616148612,0.515,0.03,3.07349098651933e-202,1.54538200293179e-197
"20","APBB1IP",54518,"ENSG00000077420","Non-neuronal",0.432,0.353,4.99741929151339,0.588,0.176,0,0
"21","APCDD1",147495,"ENSG00000154856","Non-neuronal",0.369,0.046,3.95260442919023,0.668,0.336,0,0
"22","APOD",347,"ENSG00000189058","Non-neuronal",0.566,0.273,3.96303217517756,0.702,0.404,0,0
"23","ARHGAP15",55843,"ENSG00000075884","Non-neuronal",0.431,0.46,2.59390942308615,0.524,0.048,3.03022406256744e-188,1.52362696089954e-183
"24","ARHGAP24",83478,"ENSG00000138639","Non-neuronal",0.787,0.895,3.36762036484347,0.582,0.164,0,0
"25","ARHGAP31",57514,"ENSG00000031081","Non-neuronal",0.436,0.182,2.99446791564023,0.655,0.31,0,0
"26","ARX",170302,"ENSG00000004848","GABAergic",0.516,0.023,2.66209090282348,0.748,0.496,0,0
"27","ATP10B",23120,"ENSG00000118322","Non-neuronal",0.744,0.679,3.31959856554894,0.713,0.426,0,0
"28","ATP13A4",84239,"ENSG00000127249","Non-neuronal",0.522,0.354,3.33033860471342,0.647,0.294,0,0
"29","ATP1A2",477,"ENSG00000018625","Non-neuronal",0.429,0.203,3.96229521362304,0.643,0.286,0,0
"30","AXL",558,"ENSG00000167601","Non-neuronal",0.533,0.444,2.51497160263393,0.608,0.216,0,0
"31","B2M",567,"ENSG00000166710, ENSG00000273686","Non-neuronal",0.61,0.326,2.52798460456173,0.693,0.386,0,0
"32","BCAS1",8537,"ENSG00000064787","Non-neuronal",0.638,0.242,4.86800960071912,0.766,0.532,0,0
"33","BEST1",7439,"ENSG00000167995","Non-neuronal",0.535,0.413,3.01685364063473,0.634,0.268,0,0
"34","BMP7",655,"ENSG00000101144","Non-neuronal",0.386,0.214,2.94905852708695,0.617,0.234,0,0
"35","BNC2",54796,"ENSG00000173068","Non-neuronal",0.59,0.593,3.77346565018647,0.586,0.172,0,0
"36","BTBD11",121551,"ENSG00000151136","GABAergic",0.892,0.468,3.65657002309857,0.882,0.764,0,0
"37","C10orf11",83938,"ENSG00000148655","Non-neuronal",0.803,0.841,2.99080171439733,0.642,0.284,0,0
"38","C10orf90",118611,"ENSG00000154493","Non-neuronal",0.626,0.279,4.37885628507965,0.746,0.492,0,0
"39","C3",718,"ENSG00000125730","Non-neuronal",0.377,0.303,4.59269868724118,0.575,0.15,0,0
"40","CA2",760,"ENSG00000104267","Non-neuronal",0.459,0.194,2.77150435060989,0.66,0.32,0,0
"41","CAPN3",825,"ENSG00000092529","Non-neuronal",0.47,0.285,3.28897159759483,0.638,0.276,0,0
"42","CARNS1",57571,"ENSG00000172508","Non-neuronal",0.428,0.088,4.74473540376637,0.685,0.37,0,0
"43","CBLN2",147381,"ENSG00000141668","Glutamatergic",0.704,0.212,3.09214022534484,0.796,0.592,0,0
"44","CCDC144NL",339184,NA,"Glutamatergic",0.543,0.101,2.62063886773687,0.738,0.476,0,0
"45","CD22",933,"ENSG00000012124","Non-neuronal",0.401,0.154,4.03983612883301,0.65,0.3,0,0
"46","CD38",952,"ENSG00000004468","Non-neuronal",0.378,0.389,2.88387143252281,0.534,0.0680000000000001,4.84001271172912e-313,2.43360679158452e-308
"47","CD9",928,"ENSG00000010278","Non-neuronal",0.453,0.144,4.83058833573404,0.683,0.366,0,0
"48","CDC14A",8556,"ENSG00000079335","Non-neuronal",0.426,0.251,3.32679559024107,0.627,0.254,0,0
"49","CDH1",999,"ENSG00000039068","Non-neuronal",0.471,0.495,2.72332231573497,0.55,0.1,0,0
"50","CDH23",64072,"ENSG00000107736","Non-neuronal",0.389,0.356,2.60752390084866,0.553,0.106,2.20777247463394e-260,1.11009007797069e-255
"51","CDK18",5129,"ENSG00000117266","Non-neuronal",0.489,0.33,3.01465821490718,0.633,0.266,0,0
"52","CECR2",27443,"ENSG00000099954","Non-neuronal",0.835,0.791,3.24101549992334,0.731,0.462,0,0
"53","CERCAM",51148,"ENSG00000167123","Non-neuronal",0.576,0.272,4.73412095805935,0.713,0.426,0,0
"54","CHD7",55636,"ENSG00000171316","Non-neuronal",0.619,0.233,3.20223797734718,0.745,0.49,0,0
"55","CLDN10",9071,"ENSG00000134873","Non-neuronal",0.397,0.399,2.68003451803782,0.543,0.0860000000000001,0,0
"56","CLDN11",5010,"ENSG00000013297","Non-neuronal",0.553,0.339,4.20303694318973,0.679,0.358,0,0
"57","CLDND1",56650,"ENSG00000080822","Non-neuronal",0.509,0.565,2.54340100670999,0.565,0.13,0,0
"58","CLIC4",25932,"ENSG00000169504","Non-neuronal",0.625,0.499,3.47348440652134,0.667,0.334,0,0
"59","CLMN",79789,"ENSG00000165959","Non-neuronal",0.544,0.297,3.34949564550535,0.679,0.358,0,0
"60","CNDP1",84735,"ENSG00000150656","Non-neuronal",0.533,0.258,5.30733807946476,0.694,0.388,0,0
"61","CNKSR3",154043,"ENSG00000153721","Non-neuronal",0.494,0.428,2.54625487885962,0.588,0.176,0,0
"62","CNTN2",6900,"ENSG00000184144","Non-neuronal",0.457,0.442,2.65748977974649,0.579,0.158,0,0
"63","COL24A1",255631,"ENSG00000171502","Glutamatergic",0.928,0.662,2.97105805866638,0.826,0.652,0,0
"64","COL4A5",1287,"ENSG00000188153","Non-neuronal",0.635,0.434,5.15031907322392,0.716,0.432,0,0
"65","COL5A3",50509,"ENSG00000080573","Non-neuronal",0.47,0.536,2.85988665136642,0.528,0.056,0,0
"66","COL9A2",1298,"ENSG00000049089","Non-neuronal",0.493,0.053,4.81646679736392,0.732,0.464,0,0
"67","COLEC12",81035,"ENSG00000158270","Non-neuronal",0.372,0.334,3.07426955901001,0.556,0.112,2.26198857070144e-300,1.13735047323439e-295
"68","CPM",1368,"ENSG00000135678","Non-neuronal",0.532,0.366,3.96187724119977,0.655,0.31,0,0
"69","CPNE4",131034,"ENSG00000196353","Glutamatergic",0.943,0.572,2.81612923574412,0.893,0.786,0,0
"70","CRYAB",1410,"ENSG00000109846","Non-neuronal",0.491,0.227,3.48618542473007,0.671,0.342,0,0
"71","CSF1R",1436,"ENSG00000182578","Non-neuronal",0.38,0.236,3.96731950270775,0.596,0.192,0,0
"72","CSRP1",1465,"ENSG00000159176","Non-neuronal",0.43,0.123,3.64521435646732,0.673,0.346,0,0
"73","CST3",1471,"ENSG00000101439","Non-neuronal",0.499,0.217,3.53213730116326,0.682,0.364,0,0
"74","CTNNA3",29119,"ENSG00000183230","Non-neuronal",0.952,0.991,2.67367183021841,0.573,0.146,2.81463717011142e-301,1.41522771550372e-296
"75","CUEDC1",404093,"ENSG00000180891","Non-neuronal",0.616,0.477,2.68509408259433,0.656,0.312,0,0
"76","CXCL14",9547,"ENSG00000145824","GABAergic",0.627,0.207,4.6610608417422,0.761,0.522,0,0
"77","CYP27A1",1593,"ENSG00000135929","Non-neuronal",0.413,0.213,2.96606949849159,0.628,0.256,0,0
"78","DAAM2",23500,"ENSG00000146122","Non-neuronal",0.597,0.176,4.2458492179795,0.754,0.508,0,0
"79","DLGAP1.AS4",NA,NA,"Glutamatergic",0.881,0.081,3.06890829081657,0.928,0.856,0,0
"80","DLX1",1745,"ENSG00000144355","GABAergic",0.563,0.012,3.68773959044528,0.778,0.556,0,0
"81","DLX6.AS1",NA,NA,"GABAergic",0.832,0.058,5.11435672889023,0.909,0.818,0,0
"82","DOCK1",1793,"ENSG00000150760","Non-neuronal",0.843,0.55,4.37903375987593,0.845,0.69,0,0
"83","DOCK2",1794,"ENSG00000134516","Non-neuronal",0.486,0.478,3.2721519429237,0.558,0.116,8.00319164838443e-296,4.02408479272417e-291
"84","DOCK5",80005,"ENSG00000147459","Non-neuronal",0.783,0.526,4.96587675554433,0.8,0.6,0,0
"85","DOCK8",81704,"ENSG00000107099","Non-neuronal",0.441,0.409,4.88897591432193,0.571,0.142,0,0
"86","EBF1",1879,"ENSG00000164330","Non-neuronal",0.446,0.371,3.01307810376013,0.578,0.156,5.42506190637462e-143,2.72777537714422e-138
"87","EFHD1",80303,"ENSG00000115468","Non-neuronal",0.536,0.391,3.28782783611597,0.641,0.282,0,0
"88","ELF1",1997,"ENSG00000120690","Non-neuronal",0.537,0.47,2.56280746384402,0.605,0.21,0,0
"89","ENOSF1",55556,"ENSG00000132199","Non-neuronal",0.494,0.259,2.75951617400549,0.657,0.314,0,0
"90","ENPP2",5168,"ENSG00000136960","Non-neuronal",0.584,0.345,4.34459440990969,0.694,0.388,0,0
"91","ERBB3",2065,"ENSG00000065361","Non-neuronal",0.441,0.19,4.06565902847135,0.659,0.318,0,0
"92","ERBB4",2066,"ENSG00000178568","GABAergic",0.989,0.897,2.58072389957837,0.913,0.826,0,0
"93","EYA2",2139,"ENSG00000064655","Non-neuronal",0.615,0.601,3.49241867391898,0.62,0.24,0,0
"94","FA2H",79152,"ENSG00000103089","Non-neuronal",0.552,0.223,4.92151217534355,0.718,0.436,0,0
"95","FAM107B",83641,"ENSG00000065809","Non-neuronal",0.698,0.571,3.82539296680104,0.698,0.396,0,0
"96","FAXDC2",10826,"ENSG00000170271","Non-neuronal",0.538,0.389,2.75897326543314,0.639,0.278,0,0
"97","FBLN1",2192,"ENSG00000077942","Non-neuronal",0.353,0.336,2.63562791739711,0.543,0.0860000000000001,0,0
"98","FBN2",2201,"ENSG00000138829","GABAergic",0.43,0.312,2.71553016353696,0.577,0.154,5.44028086017218e-301,2.73542761930318e-296
"99","FGF13",2258,"ENSG00000129682","GABAergic",0.909,0.762,2.76097583968672,0.743,0.486,0,0
"100","FGFR2",2263,"ENSG00000066468","Non-neuronal",0.689,0.436,3.02280913775822,0.733,0.466,0,0
