"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","group_2"
"SST",0,6.03818978338062,0.926,0.049,0,"Oligo"
"CDH9",0,5.97187791594976,0.982,0.317,0,"Oligo"
"GRIK1",0,5.93723300419732,0.995,0.379,0,"Oligo"
"SNORD115@",0,5.85356896647879,0.995,0.119,0,"Oligo"
"ST6GALNAC5",0,5.6502189986004,0.945,0.219,0,"Oligo"
"ROBO2",0,5.57069623741816,1,0.732,0,"Oligo"
"MEG3",0,5.39385686064067,1,0.352,0,"Oligo"
"NXPH1",0,5.35336349781424,0.892,0.284,0,"Oligo"
"MGAT4C",0,5.25300426488269,0.982,0.573,0,"Oligo"
"LINC00599",0,5.05813799814297,0.883,0.029,0,"Oligo"
"GRIK2",0,5.01181391226613,1,0.465,0,"Oligo"
"GRIP1",0,4.99707596338112,1,0.519,0,"Oligo"
"NRG3",0,4.98154467997535,1,0.715,0,"Oligo"
"MIR124-2HG",0,4.9546127733289,0.885,0.04,0,"Oligo"
"SNTG1",0,4.93379009621681,0.998,0.635,0,"Oligo"
"CNTN5",0,4.9192347899124,0.991,0.848,0,"Oligo"
"XKR4",0,4.90695837900491,0.986,0.404,0,"Oligo"
"GRIN3A",0,4.87428349830344,0.949,0.218,0,"Oligo"
"GRIA1",0,4.86424049303874,0.998,0.3,0,"Oligo"
"LRFN5",0,4.85070204140609,0.975,0.305,0,"Oligo"
"DLGAP1",0,4.83463810012171,1,0.825,0,"Oligo"
"KCND2",0,4.81726085482137,0.954,0.343,0,"Oligo"
"SYNPR",0,4.75985475985538,0.995,0.283,0,"Oligo"
"NETO2",0,4.73496052646647,0.929,0.238,0,"Oligo"
"MIAT",0,4.69710282819067,0.972,0.077,0,"Oligo"
"TENM1",0,4.54845882301438,0.949,0.474,0,"Oligo"
"TENM2",0,4.51752585049075,0.995,0.62,0,"Oligo"
"KIAA1217",0,4.44341820913553,0.989,0.821,0,"Oligo"
"RALYL",0,4.4421338598361,0.949,0.552,0,"Oligo"
"CACNA2D3",0,4.4399594639888,0.986,0.596,0,"Oligo"
"FGF14",0,4.42280543182089,0.998,0.482,0,"Oligo"
"FRMPD4",0,4.41941827462221,0.998,0.514,0,"Oligo"
"PTPRO",0,4.41671919847222,0.878,0.227,0,"Oligo"
"ZNF385D",0,4.35504584511976,0.936,0.592,0,"Oligo"
"PAM",0,4.33519854976288,0.984,0.208,0,"Oligo"
"ZMAT4",0,4.33370150703933,0.869,0.383,0,"Oligo"
"FAM155A",0,4.33322661085617,1,0.545,0,"Oligo"
"GAD1",0,4.32182795767817,0.989,0.091,0,"Oligo"
"GRM5",0,4.28122877799306,0.991,0.395,0,"Oligo"
"KCNC2",0,4.27414845316251,1,0.254,0,"Oligo"
"SLC4A10",0,4.27002418703814,1,0.42,0,"Oligo"
"SLC8A1",0,4.257742192995,0.956,0.394,0,"Oligo"
"LINC01322",0,4.25058712829372,0.938,0.329,0,"Oligo"
"GALNTL6",0,4.24178673925816,0.961,0.629,0,"Oligo"
"LOC101927885",0,4.23531379777088,0.816,0.013,0,"Oligo"
"UNC5D",0,4.2199130906432,0.922,0.464,0,"Oligo"
"UNC80",0,4.20695297301878,0.977,0.239,0,"Oligo"
"CDH10",0,4.18349143761544,0.903,0.207,0,"Oligo"
"RIMS2",0,4.16889293673625,1,0.795,0,"Oligo"
"PCDH11X",0,4.1605329531109,0.903,0.597,0,"Oligo"
"CACNA1B",0,4.15973548087996,0.984,0.347,0,"Oligo"
"ADGRL2",0,4.15274923566293,0.966,0.59,0,"Oligo"
"KCNB2",0,4.14352423430758,0.929,0.329,0,"Oligo"
"NETO1",0,4.11276014194741,0.938,0.139,0,"Oligo"
"KCNIP1",0,4.08633975057285,0.901,0.263,0,"Oligo"
