"","entrez_id","gene","chromosome","gene_name","mouse_homologenes","ensembl_gene_id"
"1",1,"A1BG","19","alpha-1-B glycoprotein","A1bg","ENSG00000121410"
"2",2,"A2M","12","alpha-2-macroglobulin","A2m","ENSG00000175899"
"3",3,"A2MP1","12","alpha-2-macroglobulin pseudogene 1",NA,NA
"4",9,"NAT1","8","N-acetyltransferase 1 (arylamine N-acetyltransferase)","Nat2","ENSG00000171428"
"5",10,"NAT2","8","N-acetyltransferase 2 (arylamine N-acetyltransferase)","Nat1","ENSG00000156006"
"6",11,"NATP","8","N-acetyltransferase pseudogene",NA,NA
"7",12,"SERPINA3","14","serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3","Serpina3c;Serpina3k;Serpina3m;Serpina3n","ENSG00000196136"
"8",13,"AADAC","3","arylacetamide deacetylase","Aadac","ENSG00000114771"
"9",14,"AAMP","2","angio-associated, migratory cell protein","Aamp","ENSG00000127837"
"10",15,"AANAT","17","aralkylamine N-acetyltransferase","Aanat","ENSG00000129673"
"11",16,"AARS","16","alanyl-tRNA synthetase","Aars","ENSG00000090861"
"12",18,"ABAT","16","4-aminobutyrate aminotransferase","Abat","ENSG00000183044"
"13",19,"ABCA1","9","ATP-binding cassette, sub-family A (ABC1), member 1","Abca1","ENSG00000165029"
"14",20,"ABCA2","9","ATP-binding cassette, sub-family A (ABC1), member 2","Abca2","ENSG00000107331"
"15",21,"ABCA3","16","ATP-binding cassette, sub-family A (ABC1), member 3","Abca3","ENSG00000167972"
"16",22,"ABCB7","X","ATP-binding cassette, sub-family B (MDR/TAP), member 7","Abcb7","ENSG00000131269"
"17",23,"ABCF1","6","ATP-binding cassette, sub-family F (GCN20), member 1","Abcf1","ENSG00000236149, ENSG00000236342, ENSG00000225989, ENSG00000204574, ENSG00000206490, ENSG00000231129, ENSG00000232169"
"18",24,"ABCA4","1","ATP-binding cassette, sub-family A (ABC1), member 4","Abca4","ENSG00000198691"
"19",25,"ABL1","9","ABL proto-oncogene 1, non-receptor tyrosine kinase","Abl1","ENSG00000097007"
"20",26,"AOC1","7","amine oxidase, copper containing 1","Aoc1","ENSG00000002726"
"21",27,"ABL2","1","ABL proto-oncogene 2, non-receptor tyrosine kinase","Abl2","ENSG00000143322"
"22",28,"ABO","9","ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)","Abo","ENSG00000175164, ENSG00000281879"
"23",29,"ABR","17","active BCR-related","Abr","ENSG00000159842, ENSG00000276016, ENSG00000278741"
"24",30,"ACAA1","3","acetyl-CoA acyltransferase 1","Acaa1a","ENSG00000060971"
"25",31,"ACACA","17","acetyl-CoA carboxylase alpha","Acaca","ENSG00000275176, ENSG00000278540"
"26",32,"ACACB","12","acetyl-CoA carboxylase beta","Acacb","ENSG00000076555"
"27",33,"ACADL","2","acyl-CoA dehydrogenase, long chain","Acadl","ENSG00000115361"
"28",34,"ACADM","1","acyl-CoA dehydrogenase, C-4 to C-12 straight chain","Acadm","ENSG00000117054"
"29",35,"ACADS","12","acyl-CoA dehydrogenase, C-2 to C-3 short chain","Acads","ENSG00000122971"
"30",36,"ACADSB","10","acyl-CoA dehydrogenase, short/branched chain","Acadsb","ENSG00000196177"
"31",37,"ACADVL","17","acyl-CoA dehydrogenase, very long chain","Acadvl","ENSG00000072778"
"32",38,"ACAT1","11","acetyl-CoA acetyltransferase 1","Acat1","ENSG00000075239"
"33",39,"ACAT2","6","acetyl-CoA acetyltransferase 2","Acat2;Acat3","ENSG00000120437"
"34",40,"ASIC2","17","acid sensing (proton gated) ion channel 2","Asic2","ENSG00000108684"
"35",41,"ASIC1","12","acid sensing (proton gated) ion channel 1","Asic1","ENSG00000110881"
"36",43,"ACHE","7","acetylcholinesterase (Yt blood group)","Ache","ENSG00000087085"
"37",47,"ACLY","17","ATP citrate lyase","Acly","ENSG00000131473"
"38",48,"ACO1","9","aconitase 1, soluble","Aco1","ENSG00000122729"
"39",49,"ACR","22","acrosin","Acr","ENSG00000100312, ENSG00000283539"
"40",50,"ACO2","22","aconitase 2, mitochondrial","Aco2","ENSG00000100412"
"41",51,"ACOX1","17","acyl-CoA oxidase 1, palmitoyl","Acox1","ENSG00000161533"
"42",52,"ACP1","2","acid phosphatase 1, soluble","Acp1","ENSG00000143727"
"43",53,"ACP2","11","acid phosphatase 2, lysosomal","Acp2","ENSG00000134575"
"44",54,"ACP5","19","acid phosphatase 5, tartrate resistant",NA,"ENSG00000102575"
"45",55,"ACPP","3","acid phosphatase, prostate","Acpp","ENSG00000014257"
"46",56,"ACRV1","11","acrosomal vesicle protein 1","Acrv1","ENSG00000134940"
"47",58,"ACTA1","1","actin, alpha 1, skeletal muscle","Acta1","ENSG00000143632"
"48",59,"ACTA2","10","actin, alpha 2, smooth muscle, aorta","Acta2","ENSG00000107796"
"49",60,"ACTB","7","actin, beta","Actb","ENSG00000075624"
"50",62,"ACTBP2","5","actin, beta pseudogene 2",NA,NA
"51",63,"ACTBP3","18","actin, beta pseudogene 3",NA,NA
"52",64,"ACTBP4","5","actin, beta pseudogene 4",NA,NA
"53",66,"ACTBP6","8","actin, beta pseudogene 6",NA,NA
"54",67,"ACTBP7","15","actin, beta pseudogene 7",NA,NA
"55",68,"ACTBP8","6","actin, beta pseudogene 8",NA,NA
"56",69,"ACTBP9","18","actin, beta pseudogene 9",NA,NA
"57",70,"ACTC1","15","actin, alpha, cardiac muscle 1","Actc1","ENSG00000159251"
"58",71,"ACTG1","17","actin gamma 1","Actg1","ENSG00000184009"
"59",72,"ACTG2","2","actin, gamma 2, smooth muscle, enteric","Actg2","ENSG00000163017"
"60",73,"ACTG1P1","3","actin gamma 1 pseudogene 1",NA,NA
"61",74,"ACTG1P2","Y","actin, gamma 1 pseudogene 2",NA,NA
"62",75,"ACTG1P3","20","actin gamma 1 pseudogene 3",NA,NA
"63",81,"ACTN4","19","actinin, alpha 4","Actn4","ENSG00000130402, ENSG00000282844"
"64",82,"ACTG1P9","6","actin gamma 1 pseudogene 9",NA,NA
"65",83,"ACTG1P10","X","actin gamma 1 pseudogene 10",NA,NA
"66",86,"ACTL6A","3","actin-like 6A","Actl6a","ENSG00000136518"
"67",87,"ACTN1","14","actinin, alpha 1","Actn1","ENSG00000072110"
"68",88,"ACTN2","1","actinin, alpha 2","Actn2","ENSG00000077522"
"69",89,"ACTN3","11","actinin, alpha 3 (gene/pseudogene)",NA,"ENSG00000248746"
"70",90,"ACVR1","2","activin A receptor, type I","Acvr1","ENSG00000115170"
"71",91,"ACVR1B","12","activin A receptor, type IB","Acvr1b","ENSG00000135503"
"72",92,"ACVR2A","2","activin A receptor, type IIA","Acvr2a","ENSG00000121989"
"73",93,"ACVR2B","3","activin A receptor, type IIB","Acvr2b","ENSG00000114739"
"74",94,"ACVRL1","12","activin A receptor type II-like 1","Acvrl1","ENSG00000139567"
"75",95,"ACY1","3","aminoacylase 1","Acy1","ENSG00000243989"
"76",97,"ACYP1","14","acylphosphatase 1, erythrocyte (common) type","Acyp1","ENSG00000119640"
"77",98,"ACYP2","2","acylphosphatase 2, muscle type","Acyp2","ENSG00000170634"
"78",100,"ADA","20","adenosine deaminase","Ada","ENSG00000196839"
"79",101,"ADAM8","10","ADAM metallopeptidase domain 8","Adam8","ENSG00000151651"
"80",102,"ADAM10","15","ADAM metallopeptidase domain 10","Adam10","ENSG00000137845"
"81",103,"ADAR","1","adenosine deaminase, RNA-specific","Adar","ENSG00000160710"
"82",104,"ADARB1","21","adenosine deaminase, RNA-specific, B1","Adarb1","ENSG00000197381"
"83",105,"ADARB2","10","adenosine deaminase, RNA-specific, B2 (non-functional)","Adarb2","ENSG00000185736"
"84",107,"ADCY1","7","adenylate cyclase 1 (brain)","Adcy1","ENSG00000164742"
"85",108,"ADCY2","5","adenylate cyclase 2 (brain)","Adcy2","ENSG00000078295"
"86",109,"ADCY3","2","adenylate cyclase 3","Adcy3","ENSG00000138031"
"87",111,"ADCY5","3","adenylate cyclase 5","Adcy5","ENSG00000173175"
"88",112,"ADCY6","12","adenylate cyclase 6","Adcy6","ENSG00000174233"
"89",113,"ADCY7","16","adenylate cyclase 7","Adcy7","ENSG00000121281"
"90",114,"ADCY8","8","adenylate cyclase 8 (brain)","Adcy8","ENSG00000155897"
"91",115,"ADCY9","16","adenylate cyclase 9","Adcy9","ENSG00000162104"
"92",116,"ADCYAP1","18","adenylate cyclase activating polypeptide 1 (pituitary)","Adcyap1","ENSG00000141433"
"93",117,"ADCYAP1R1","7","adenylate cyclase activating polypeptide 1 (pituitary) receptor type I","Adcyap1r1","ENSG00000078549"
"94",118,"ADD1","4","adducin 1 (alpha)","Add1","ENSG00000087274"
